Latitude  (graus) : -12.14
Longitude (graus) : -38.42
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83249;31/01/2016;0000;5;1.906783;4.62996;;5.77957;;123.7;32.4;22.987097;75.612903;
83249;29/02/2016;0000;9;1.951324;5.1444;;4.985632;;15.1;33.686207;21.503448;71.241379;
83249;31/03/2016;0000;9;1.952659;4.62996;;4.583333;;29.9;34.33871;22.048387;69.58871;
83249;30/04/2016;0000;9;1.74338;4.62996;;5.125;;78.6;32.39;21.073333;74.341667;
83249;31/05/2016;0000;0;1.336426;4.62996;;5.407609;;138.4;30.06129;20.490323;80.798387;
83249;30/06/2016;0000;9;1.54332;4.11552;;5.819444;;72.5;28.73;19.71;82.083333;
83249;31/07/2016;0000;0;1.488004;4.11552;;4.879032;;44;28.606452;17.793548;80.459677;
83249;31/08/2016;0000;9;1.68161;4.11552;;5.30914;;76.4;29.083333;17.893548;77.524194;
83249;30/09/2016;0000;9;1.920576;5.1444;;6.083333;;93.1;29.19;19.293333;79.008333;
83249;31/10/2016;0000;9;2.068823;4.11552;;5.725806;;53.3;31.635484;20.283871;74.032258;
83249;30/11/2016;0000;9;2.092056;4.62996;;5.833333;;73.9;32.41;20.99;70.333333;
83249;31/12/2016;0000;9;2.22924;6.17328;;5.416667;;48.6;33.006452;21.270968;71.701613;
83249;31/01/2017;0000;9;2.206522;5.3;;4.182796;;2.5;33.954839;20.63871;68.185484;
83249;28/02/2017;0000;9;2.085714;4.7;;5.452381;;14.5;33.567857;21.042857;69.241071;
83249;31/03/2017;0000;9;1.966667;5;;5.634409;;92.1;33.374194;21.383871;72.41129;
83249;30/04/2017;0000;14;1.632222;4;;5.888889;;79.6;30.893333;21.603333;80.975;
83249;31/05/2017;0000;0;1.404301;3.6;;6.043011;;132;29.109677;20.732258;84.669355;
83249;30/06/2017;0000;0;1.484444;4.2;;6.333333;;117.5;28.093333;19.496667;85.45;
83249;31/07/2017;0000;14;1.871739;4.1;;6.666667;;127.8;26.351613;17.848387;85.33871;
83249;31/08/2017;0000;0;1.67957;4.2;;5.806452;;37.5;27.370968;17.441935;83.233871;
83249;30/09/2017;0000;9;2.046328;5.1444;;6.602778;;107;27.366667;18.053333;82.725;
83249;31/10/2017;0000;9;2.052228;4.62996;;5.349462;;43.6;29.754839;18.393548;78.241935;
83249;30/11/2017;0000;9;2.011518;5.1444;;5.583333;;71;31.493333;20.21;74.316667;
83249;31/12/2017;0000;9;2.157329;4.11552;;5.026882;;74.2;32.9;21.219355;74.572581;
83249;31/01/2018;0000;9;2.179455;5.1444;;4.610215;;9;33.748387;20.648387;72.677419;
83249;28/02/2018;0000;9;2.523206;4.62996;;5.133929;;31.7;33.992857;21.403571;72.964286;
83249;31/03/2018;0000;9;1.945925;4.11552;;5.564516;;47.3;33.877419;21.883871;75.508065;
83249;30/04/2018;0000;0;1.377556;4.62996;;5.958333;;114.1;30.523333;20.353333;82.6;
83249;31/05/2018;0000;0;1.366308;4.62996;;5.887097;;113.3;29.003226;19.683871;87.217742;
83249;30/06/2018;0000;0;1.148916;4.62996;;6.125;;178.8;27.906667;18.656667;89.05;
83249;31/07/2018;0000;0;1.327587;3.60108;;5.268817;;20;27.658065;16.222581;84.798387;
83249;31/08/2018;0000;9;1.692674;4.11552;;5.107527;;55.9;28.964516;17.064516;83.201613;
83249;30/09/2018;0000;9;1.79765;4.62996;;4.620787;;36.3;30.13;16.916667;78.666667;
83249;31/10/2018;0000;9;2.259063;5.65884;;5.954301;;84.6;32.012903;19.180645;76.870968;
83249;30/11/2018;0000;9;2.149216;5.65884;;5.611111;;82.2;31.246667;19.68;79.408333;
83249;31/12/2018;0000;9;1.847559;5.1444;;5.577957;;31.5;33.403226;20.1;74.741935;
83249;31/01/2019;0000;9;2.234772;5.1444;;3.938172;;5.3;34.1;19.658065;71.346774;
83249;28/02/2019;0000;9;2.192494;5.1444;;6.08631;;1.8;36.396429;21.646429;71.125;
83249;31/03/2019;0000;9;1.692674;5.1444;;5.725806;;164.9;34.112903;21.335484;76.604839;
83249;30/04/2019;0000;0;1.303248;4.62996;;5.486111;;94.4;31.87;21.07;85.125;
83249;31/05/2019;0000;0;1.150575;3.60108;;5.282258;;74.3;30.935484;19.983871;87.306452;
83249;30/06/2019;0000;0;1.410375;4.11552;;6.27809;;225.3;28.206667;18.351724;90.225;
83249;31/07/2019;0000;0;1.559915;5.1444;;5.967742;;190.2;27.619355;17.287097;89.475806;
83249;31/08/2019;0000;0;1.687142;5.1444;;5.201613;;92.6;27.912903;16.374194;91.064516;
83249;30/09/2019;0000;9;1.874848;5.1444;;5.375;;99.9;28.946667;17.276667;86.7;
