Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
82353,31/01/2016,0,5.0,1.490323,5.0,112.0,6.9677419999999985,,156.1,32.483871,24.526667,83.370968,-3.21,-52.21,Amazônia
82353,29/02/2016,0,14.0,1.197701,4.7,162.1,7.172414,,336.1,32.668966,24.17931,86.275862,-3.21,-52.21,Amazônia
82353,31/03/2016,0,0.0,0.866667,5.3,115.0,8.043011,,566.2,31.493548,24.445161,90.814516,-3.21,-52.21,Amazônia
82353,30/04/2016,0,0.0,0.5911109999999999,2.7,127.4,7.877778,,441.0,32.29,24.573333,89.68333299999998,-3.21,-52.21,Amazônia
82353,31/05/2016,0,0.0,0.486364,2.2,130.2,7.2727270000000015,,217.1,32.845455,24.677273,86.806818,-3.21,-52.21,Amazônia
82353,30/06/2016,0,0.0,0.578788,2.7,245.0,5.590909,,72.7,33.704545,24.022727,81.579545,-3.21,-52.21,Amazônia
82353,31/08/2016,0,5.0,1.158824,4.0,,5.2352940000000014,,36.3,35.882609,24.243478,70.5,-3.21,-52.21,Amazônia
82353,30/09/2016,0,5.0,1.2380950000000002,4.6,,6.269841,,70.4,35.147619,24.72381,71.61904799999998,-3.21,-52.21,Amazônia
82353,31/10/2016,0,0.0,0.998333,3.3,,6.766667,,185.2,34.085,24.425,73.875,-3.21,-52.21,Amazônia
82353,30/11/2016,0,5.0,1.1277780000000002,5.0,,6.740741000000001,,4.6,34.555556,24.883333,73.19444399999998,-3.21,-52.21,Amazônia
82353,31/12/2016,0,0.0,0.853876,3.6010800000000005,,7.529851,,350.8,32.877272999999995,23.95,79.988636,-3.21,-52.21,Amazônia
82353,31/01/2017,0,0.0,0.736923,4.7,,8.030769,,318.8,31.045455,22.986364,83.534091,-3.21,-52.21,Amazônia
82353,28/02/2017,0,32.0,0.884483,3.7,,8.517241,,377.1,30.778947,23.378947,85.605263,-3.21,-52.21,Amazônia
82353,31/03/2017,0,32.0,0.683824,2.3,122.1,8.25,,229.1,31.5,23.634783,83.684783,-3.21,-52.21,Amazônia
82353,30/04/2017,0,0.0,0.801639,3.2,,7.819672,,369.2,31.9,23.7,82.875,-3.21,-52.21,Amazônia
82353,31/05/2017,0,0.0,0.777941,4.0,,7.220588,,216.6,32.317391,24.217391,80.532609,-3.21,-52.21,Amazônia
82353,30/06/2017,0,0.0,0.554545,2.7,225.5,6.348485,,54.2,33.290909,24.027273,77.159091,-3.21,-52.21,Amazônia
82353,31/07/2017,0,,,,,,,19.7,,,,-3.21,-52.21,Amazônia
82353,31/08/2017,0,0.0,1.336957,5.0,282.1,5.3695650000000015,,72.3,,24.116667,69.637097,-3.21,-52.21,Amazônia
82353,30/09/2017,0,32.0,1.398571,3.7,241.4,6.528571,,59.1,,24.147826,71.76087,-3.21,-52.21,Amazônia
82353,31/10/2017,0,0.0,1.522892,9.7,195.1,6.536585,,36.6,,24.417857,69.69642900000001,-3.21,-52.21,Amazônia
82353,30/11/2017,0,0.0,1.027778,3.8,174.7,6.622222,,3.8,,24.763333,66.333333,-3.21,-52.21,Amazônia
82353,31/12/2017,0,0.0,1.036559,5.7,133.0,7.054347999999999,,227.2,,24.041935,74.854839,-3.21,-52.21,Amazônia
82353,31/01/2018,0,0.0,1.108602,3.7,182.6,6.903225999999999,,190.4,,23.264516,78.701613,-3.21,-52.21,Amazônia
82353,28/02/2018,0,0.0,0.7035710000000001,3.5,97.4,8.011905,,279.9,,23.139286,84.38392900000002,-3.21,-52.21,Amazônia
