Latitude  (graus) : -9.1
Longitude (graus) : -45.93
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82970;31/01/2016;0000;;;;111.7;7.612903;;504.3;31.103226;23.096667;82.83871;
82970;29/02/2016;0000;;;;;3.862069;;36.7;34.572414;22.217241;69.605769;
82970;31/03/2016;0000;5;0.932584;3.5;191.9;5.387097;;200.3;33.993333;23.456667;77.298387;
82970;30/04/2016;0000;18;1.125556;6;198.7;4.488889;;24.5;34.123333;22.56;71.85;
82970;31/05/2016;0000;18;1.08172;4.1;253.3;3.989247;;6;35.446667;21.209677;64.104839;
82970;30/06/2016;0000;0;1.336667;5.8;267.9;2.855556;;38;34.49;19.976667;64.533333;
82970;31/07/2016;0000;18;1.526882;5.1;307.2;2.021505;;0;35.175862;17.219355;53.709677;
82970;31/08/2016;0000;14;1.45914;4.6;298.3;2.516129;;0;37.293548;18.529032;46.798387;
82970;30/09/2016;0000;14;1.577778;4.3;183.8;4.8;;16.2;37.56;22.106667;48.982143;
82970;31/10/2016;0000;14;1.623656;5;224.5;4.967742;;49.2;36.745161;23.164516;56.508333;
82970;30/11/2016;0000;0;1.268154;4.11552;197.3;5.625;;129.8;35.141379;22.675;61.775862;
82970;31/12/2016;0000;5;1.217508;3.08664;181.6;5.686813;;147.7;33.948387;21.592857;70.387097;
82970;31/01/2017;0000;0;1.12043;4.6;159.7;6.494624;;205;32.82;21.303226;76.354839;
82970;28/02/2017;0000;0;0.921429;3.8;84.3;8.119048;;243.3;31.260714;20.725926;85.196429;
82970;31/03/2017;0000;0;0.933333;5.6;167.3;6.473118;;219.3;32.883871;20.063333;82.766129;
82970;30/04/2017;0000;14;1.061111;4.3;221.8;4.555556;;205.1;33.61;20.573333;76.841667;
82970;31/05/2017;0000;0;1.006452;3.8;242.7;3.505376;;12;34.190323;19.593548;69.451613;
82970;30/06/2017;0000;0;1.328889;4.5;275.4;2.288889;;3.1;33.95;16.356667;64.283333;
82970;31/07/2017;0000;14;1.95303;5;306.1;1.806452;;0;32.925806;15.66129;58.048387;
82970;31/08/2017;0000;14;1.455914;4.6;286.6;1.924731;;0;36.56129;17;52.233871;
82970;30/09/2017;0000;14;1.970787;5.1;283.7;2.455556;;0;37.006667;20.996667;42.775;
82970;31/10/2017;0000;9;1.808696;5.5;267.4;4.666667;;3;38.422581;22.3;43.016129;
82970;30/11/2017;0000;18;1.158889;3.6;163.1;6.633333;;215.5;33.816667;23.083333;72.05;
82970;31/12/2017;0000;36;1;2.8;156;6.763441;;139.2;32.870968;22.670968;76.854839;
82970;31/01/2018;0000;14;1.065591;3;170.8;5.462366;;195.1;32.635484;21.76129;78.008065;
82970;28/02/2018;0000;;;;132.4;7.297619;;185.8;31.014286;22.332143;83.321429;
82970;31/03/2018;0000;;1.247692;4.1;156.4;6.150538;;290.1;32.087097;22.503226;80.854839;
82970;30/04/2018;0000;0;0.957778;3.6;183.6;5.011111;;108.7;32.496667;21.86;76.441667;
82970;31/05/2018;0000;0;1.319355;5;276.9;3.44086;;0;34.125806;20.464516;64.879032;
82970;30/06/2018;0000;14;1.226136;4;285.6;2;;0;33.863333;17.29;59.858333;
82970;31/07/2018;0000;18;1.325806;4.5;293.5;1.408602;;0;34.406452;15.641935;54.209677;
82970;31/08/2018;0000;0;1.323656;4.1;271.3;3.397849;;9.1;36;18.496774;53.572581;
82970;30/09/2018;0000;0;1.505063;4.3;235.2;5.133333;;4;37.34;20.936667;48.333333;
82970;31/10/2018;0000;36;1.185294;4;219.4;5.258065;;123.7;35.554839;22.616129;65.919355;
82970;30/11/2018;0000;36;1.333333;4.1;157.1;6.211111;;150.2;33.283333;23.156667;73.741667;
82970;31/12/2018;0000;;;;149.4;6.784946;;178.3;32.570968;22.077419;74.677419;
82970;31/01/2019;0000;;;;180.9;5.860215;;101;32.580645;22.245161;76.016129;
82970;28/02/2019;0000;;;;138.9;5.964286;;202.1;31.996429;22.003571;82.214286;
82970;31/03/2019;0000;;;;157;6.473118;;228;32.53871;22.745161;81.935484;
82970;30/04/2019;0000;;;;;5.211111;;153.1;32.763333;22.446667;82.016667;
82970;31/05/2019;0000;;;;;3.561644;;75.3;33.620833;21.45;75.645833;
82970;30/06/2019;0000;;;;251.9;2.868852;;0;33.81;18.67;66.2375;
82970;31/07/2019;0000;;;;;;;0;;;;
