Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
82590,31/01/2016,0,5,1.7666669999999998,5.5,179.1,7.838710000000002,,292.1,33.026667,24.203226,75.50862099999998,-5.61,-37.81,Caatinga
82590,29/02/2016,0,14,2.042529,8.0,261.3,7.482759,,40.9,33.4,24.068966,74.035714,-5.61,-37.81,Caatinga
82590,31/03/2016,0,5,1.807595,4.0,289.9,6.88172,,69.9,35.06129,25.119355,70.120968,-5.61,-37.81,Caatinga
82590,30/04/2016,0,14,1.8005400000000005,4.11552,236.9,7.7272729999999985,,36.9,34.113793,24.706897,71.284483,-5.61,-37.81,Caatinga
82590,31/05/2016,0,14,1.814369,4.11552,275.1,5.551075,,28.3,34.619355,24.512903,66.66129000000001,-5.61,-37.81,Caatinga
82590,30/06/2016,0,14,2.416134,5.6588400000000005,274.4,4.263889,,0.1,34.416667,23.946667,62.316667,-5.61,-37.81,Caatinga
82590,31/07/2016,0,14,3.427736,8.23104,284.1,4.008152,,0.0,34.37,23.522581,57.26666700000001,-5.61,-37.81,Caatinga
82590,31/08/2016,0,14,2.926223,7.202160000000001,331.7,2.66129,,0.0,35.151613,23.251613,58.72580600000001,-5.61,-37.81,Caatinga
82590,30/09/2016,0,5,2.658903,5.6588400000000005,322.2,3.511236,,0.0,35.956667,24.213333,65.075,-5.61,-37.81,Caatinga
82590,31/10/2016,0,14,2.771338,5.6588400000000005,323.5,5.026882,,0.0,36.525806,24.058065,64.572581,-5.61,-37.81,Caatinga
82590,30/11/2016,0,5,2.531279,5.1444,317.7,5.0,,0.0,36.7,24.27931,68.333333,-5.61,-37.81,Caatinga
82590,31/12/2016,0,14,2.334766,7.7166,254.3,6.909341,,54.4,35.86,24.629032,67.69166700000001,-5.61,-37.81,Caatinga
82590,31/01/2017,0,5,2.333333,5.5,299.6,7.333333,,15.3,36.26129,25.167742,60.298387,-5.61,-37.81,Caatinga
82590,28/02/2017,0,5,1.67619,4.0,249.0,8.321429,,217.7,34.139286,24.421429,67.910714,-5.61,-37.81,Caatinga
82590,31/03/2017,0,14,1.397849,4.0,249.9,9.086022,,117.6,32.512903,24.219355,77.685484,-5.61,-37.81,Caatinga
82590,30/04/2017,0,14,1.603333,4.5,266.4,7.411111,,144.7,32.52,24.156667,75.8,-5.61,-37.81,Caatinga
82590,31/05/2017,0,5,1.833333,4.5,272.9,6.72043,,28.4,34.006452,24.2,65.951613,-5.61,-37.81,Caatinga
82590,30/06/2017,0,18,2.213333,6.5,255.4,7.344444,,19.4,33.766667,23.613333,62.61666700000001,-5.61,-37.81,Caatinga
82590,31/07/2017,0,18,3.683871,6.6,219.3,7.602150999999999,,36.9,31.990323,22.777419,59.169355,-5.61,-37.81,Caatinga
82590,31/08/2017,0,14,2.849462,6.1,318.6,3.752688,,2.9,34.893548,23.274194,57.362903,-5.61,-37.81,Caatinga
82590,30/09/2017,0,18,3.418889,9.0,312.9,5.111111,,0.0,35.283333,23.803333,59.99166700000001,-5.61,-37.81,Caatinga
82590,31/10/2017,0,14,3.1301080000000003,6.1,318.3,5.0,,3.6,36.393548,24.196774,55.06451600000001,-5.61,-37.81,Caatinga
82590,30/11/2017,0,5,2.7555560000000003,6.0,320.0,5.288889,,0.6,36.346667,23.966667,58.108333,-5.61,-37.81,Caatinga
82590,31/12/2017,0,5,2.436559,5.5,290.5,6.096774,,0.0,36.145161,24.606452,62.091667,-5.61,-37.81,Caatinga
82590,31/01/2018,0,14,2.076344,5.5,236.0,8.333333,,21.5,34.919355,24.396774,65.185484,-5.61,-37.81,Caatinga
82590,28/02/2018,0,14,1.741667,4.0,209.1,8.571429,,98.8,33.528571,24.314286,71.61607099999998,-5.61,-37.81,Caatinga
