Latitude  (graus) : -15.9
Longitude (graus) : -52.23
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83368;31/01/2016;0000;9;0.730173;1.02888;96.2;8.400538;;378;31.464516;22.758065;83.241935;
83368;29/02/2016;0000;0;0.661604;2.05776;187.2;6.218391;;169.8;34.006897;22.486207;73.189655;
83368;31/03/2016;0000;0;0.650557;2;185.5;6.263441;;157;33.206667;22.872414;76.66129;
83368;30/04/2016;0000;0;0.491576;1.02888;263.3;3.608333;;14.2;35.596667;21.586667;65.391667;
83368;31/05/2016;0000;0;0.553161;1.02888;232.5;4.064516;;0.8;34.951613;20.245161;65.016129;
83368;30/06/2016;0000;0;0.548736;1.02888;226.7;3.313889;;0;33.671429;16.841379;61.558333;
83368;31/07/2016;0000;0;0.431466;1.02888;269.3;1.120968;;0;34.819355;15.441935;55.040323;
83368;31/08/2016;0000;0;0.58604;1.02888;267.6;3.193548;;27.2;35.874194;18.174194;55.66129;
83368;30/09/2016;0000;0;0.651303;1.02888;231.1;4.136111;;27.6;37.396667;21.276667;51.833333;
83368;31/10/2016;0000;0;0.739994;2;208.3;6.053763;;74.6;35.603226;22.432258;65.040323;
83368;30/11/2016;0000;0;0.651624;1.02888;138.5;7.561111;;274.2;32.78;22.383333;77.333333;
83368;31/12/2016;0000;0;0.608167;1.02888;155.4;7.392473;;163.4;33.058065;22.2;77.903226;
83368;31/01/2017;0000;0;0.55223;2;141.2;7.231183;;146.2;32.83871;22.212903;80.677419;
83368;28/02/2017;0000;0;0.623646;1.02888;125.7;7.705357;;217.8;32.053571;21.85;81.276786;
83368;31/03/2017;0000;0;0.61923;1.02888;189.2;6.19086;;173.4;33.296552;22.306667;75.41129;
83368;30/04/2017;0000;0;0.617328;1.02888;238.1;4.825;;48.2;34.073333;22.28;71.566667;
83368;31/05/2017;0000;0;0.519972;1.02888;239.5;3.755376;;78.4;33.687097;20.696774;70.209677;
83368;30/06/2017;0000;0;0.491576;1.02888;218.3;3.205556;;0;33.253333;18.283333;62.45;
83368;31/07/2017;0000;0;0.486471;1.02888;260.1;1.443548;;0;31.880645;14.648387;51.564516;
83368;31/08/2017;0000;0;0.519972;1.02888;274;2.577957;;0;36.719355;18.393548;42.983871;
83368;30/09/2017;0000;0;0.628439;1.02888;255.1;2.530556;;63.8;37.44;19.5;41.108333;
83368;31/10/2017;0000;0;0.674857;1.02888;207.8;5.284946;;72.2;37.232258;22.651613;52.830645;
83368;30/11/2017;0000;9;0.754512;1.02888;165.7;6.922222;;293.1;32.88;22.52;74.3;
83368;31/12/2017;0000;0;0.663794;1.02888;106.7;7.795699;;258.6;31.203226;22.203226;82.120968;
83368;31/01/2018;0000;0;0.497845;2.05776;163.9;6.814516;;255.4;31.564516;21.816129;81.225806;
83368;28/02/2018;0000;0;0.612429;1.02888;157.3;7.5;;154.6;32.578571;22.075;79.767857;
83368;31/03/2018;0000;0;0.674857;1.02888;205.4;6.88172;;166.1;33.380645;21.596774;75.919355;
83368;30/04/2018;0000;0;0.594464;1.02888;192;5.916667;;86.7;32.173333;19.793333;74.583333;
83368;31/05/2018;0000;0;0.464655;1.02888;232.8;2.836022;;32.4;33.223333;16.896774;65.532258;
83368;30/06/2018;0000;0;0.543341;1.02888;214.1;2.780899;;0;33.086207;15.26;63.327586;
83368;31/07/2018;0000;0;0.464655;2.05776;262.2;1.196237;;0;33.93871;13.529032;53.887097;
83368;31/08/2018;0000;0;0.553161;1.02888;271.7;3.467742;;25.8;36.080645;17.154839;52.274194;
83368;30/09/2018;0000;0;0.617328;1.02888;209.9;4.583333;;53.5;36.33;18.226667;55.308333;
83368;31/10/2018;0000;0;0.663794;1.02888;115;7.258065;;261.6;33.793548;21.293548;71.459677;
83368;30/11/2018;0000;0;0.5716;1.02888;;8.013889;;540;32.123333;20.96;73.7;
83368;31/12/2018;0000;0;0.559174;2.05776;185;6.346154;;237.1;33.666667;20.745161;72.433333;
83368;31/01/2019;0000;0;0.640425;2;232.6;6.155914;;194.3;34.435484;20.533333;69.41129;
83368;28/02/2019;0000;0;0.575683;2.05776;149.6;7.142857;;204.6;33.107143;20.810714;75.964286;
83368;31/03/2019;0000;0;0.531035;1.02888;197.5;5.806452;;179.6;33.009677;20.76129;69.41129;
83368;30/04/2019;0000;0;0.491576;1.02888;178.2;5.263889;;133.2;33.47;20.686667;59.241667;
83368;31/05/2019;0000;0;0.398276;1.02888;251;3.024194;;16.6;33.53871;18.903226;49.895161;
83368;30/06/2019;0000;0;0.40012;1.02888;261.3;1.861111;;0;32.99;14.946667;53.933333;
83368;31/07/2019;0000;0;0.458523;1.02888;279.4;1.787634;;6;33.467742;13.735484;52.717742;
83368;31/08/2019;0000;0;0.531035;1.02888;276.2;3.602151;;0;35.883871;17.764516;45.258065;
83368;30/09/2019;0000;0;0.480144;1.02888;259.9;2.111111;;11.6;39.076667;19.823333;31.875;
