Latitude  (graus) : -8.41
Longitude (graus) : -37.08
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82890;31/01/2016;0000;36;2.466304;5;152.7;5.505376;;211;30.825806;20.46129;84.991935;
82890;29/02/2016;0000;9;2.877011;5.5;259;3.712644;;96.6;30.731034;19.268966;83.098214;
82890;31/03/2016;0000;9;3.221693;6.17328;269.3;3.844086;;30;32.793548;20.316129;84.266129;
82890;30/04/2016;0000;9;3.174329;5.1444;224.4;3.849432;;19.1;31.633333;20.068966;80.233333;
82890;31/05/2016;0000;9;2.970476;5.1444;232.5;3.776882;;197.2;28.890323;18.948387;86.991935;
82890;30/06/2016;0000;9;2.852804;5.65884;248.3;3.622159;;17.2;28.346667;17.72;83.85;
82890;31/07/2016;0000;9;3.020261;5.65884;260.9;3.951613;;11.2;28.612903;16.833333;85.322581;
82890;31/08/2016;0000;9;3.301461;5.65884;289.6;2.678571;;6.2;30.126667;16.832258;76.491935;
82890;30/09/2016;0000;9;3.959454;6.17328;295.7;2.430556;;0.3;32.033333;18.193333;78.833333;
82890;31/10/2016;0000;9;4.004888;7.20216;307.6;2.217742;;0;33.058065;19.377419;76.798387;
82890;30/11/2016;0000;5;3.955472;8.23104;281.4;2.055556;;0;33.446667;19.813333;74.516667;
82890;31/12/2016;0000;9;3.394121;5.65884;271.1;3.045977;;4.4;33.780645;20.177419;75.862903;
82890;31/01/2017;0000;5;3.408696;5;282.8;1.898551;;0;33.377419;20.070968;79.072581;
82890;28/02/2017;0000;9;3.214286;6;220.9;3.678571;;3.8;33.514286;20.546429;76.875;
82890;31/03/2017;0000;9;2.972043;5.8;240.9;3.978495;;17.5;33.593548;21.009677;77.241935;
82890;30/04/2017;0000;9;3.151111;5;231;4.544444;;50.2;31.753333;20.74;80.891667;
82890;31/05/2017;0000;9;2.772043;5.1;164.1;5.526882;;140.5;29.358065;20.048387;86.016129;
82890;30/06/2017;0000;9;3.033333;5.8;150.3;6.416667;;106.5;26.386667;18.843333;91.033333;
82890;31/07/2017;0000;9;3.606522;6.6;108.3;7.597826;;198.3;24.090323;17.106452;93.241935;
82890;31/08/2017;0000;9;3.196774;6.6;240.1;4.473118;;37.8;27.180645;16.832258;88.709677;
82890;30/09/2017;0000;9;3.17381;5.8;254.5;4.154762;;80;27.876667;17.156667;86.666667;
82890;31/10/2017;0000;9;3.025;6.6;286.7;2.161765;;2.5;31.56129;18.23871;83.08871;
82890;30/11/2017;0000;9;3.025556;8.9;267.1;2.666667;;0;33.593333;19.303333;75.041667;
82890;31/12/2017;0000;9;2.997701;9.1;244.7;3.011494;;14.4;33.741935;19.954839;76.032258;
82890;31/01/2018;0000;9;2.711594;5;219.8;2.898551;;45.9;32.651613;19.880645;81.209677;
82890;28/02/2018;0000;9;2.407143;6.6;214.7;4.190476;;157.9;32.3;20.3;82.098214;
82890;31/03/2018;0000;9;2.302174;5.8;242.2;4.043011;;124.6;31.258065;20.012903;83.580645;
82890;30/04/2018;0000;14;2.44;5.8;169.9;4.588889;;87;29.38;19.796667;86.391667;
82890;31/05/2018;0000;9;2.495652;5.8;204.8;4.532609;;76.1;27.654839;18.567742;88.104839;
82890;30/06/2018;0000;9;2.703333;6.6;220.3;3.7;;10;28.446667;17.2;87.166667;
82890;31/07/2018;0000;14;3.190323;6.6;230.1;3.483871;;26;28.883871;17.3;83.741935;
82890;31/08/2018;0000;14;3.07957;6.6;283.6;2.268817;;5.3;30.710345;17.058065;77.741935;
82890;30/09/2018;0000;9;3.226966;6.6;282.2;2.711111;;19.4;31.68;18.576667;75.225;
82890;31/10/2018;0000;9;2.419355;5.8;298.6;2.236559;;18.7;33.623333;19.635484;72.516129;
82890;30/11/2018;0000;9;2.75;6.6;265.4;2.677778;;31;33.62;20.12;72.575;
82890;31/12/2018;0000;9;2.493103;6.6;236.5;3.586207;;25.9;32.812903;19.725806;73.806452;
82890;31/01/2019;0000;14;3.106452;5;240.9;2.322581;;13;32.696774;19.858065;79.193548;
82890;28/02/2019;0000;9;2.45412;5.1444;213.3;4.285714;;58.3;33.057143;21.357143;76.071429;
82890;31/03/2019;0000;9;2.668304;5.65884;217.6;4.271978;;159.4;32.5;20.84;78.966667;
82890;30/04/2019;0000;9;2.040419;6.68772;225;3.86236;;18.6;31.482759;20.31;81.793103;
82890;31/05/2019;0000;14;2.327527;5.65884;213.8;2.896341;;21.6;30.993548;19.43871;80.935484;
82890;30/06/2019;0000;14;2.814637;6.68772;181;4.655172;;51.6;29.307143;18.141379;81.553571;
82890;31/07/2019;0000;9;2.683158;5.65884;139.3;5.514706;;120.5;27.392;18.292;90.65625;
82890;31/08/2019;0000;14;3.169614;6.68772;237.7;4.301075;;96.2;27.36129;16.66129;84.895161;
82890;30/09/2019;0000;9;2.892296;8.23104;274.5;2.875;;32.4;31.09;17.993333;78.591667;
