Latitude  (graus) : -15.91
Longitude (graus) : -46.1
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83384;31/01/2016;0000;0;0.582796;2.1;;7.709677;;452.7;31.067742;22.245161;79.830645;
83384;29/02/2016;0000;0;0.525287;3.6;;3.482759;;49.9;34.631034;22.103448;62.017241;
83384;31/03/2016;0000;0;0.502151;3.6;;4.11828;;158.3;33.232258;21.754839;69.032258;
83384;30/04/2016;0000;0;0.72;4.6;;2.644444;;8.5;34.06;20.313333;59.633333;
83384;31/05/2016;0000;0;0.353763;4.1;;2.365591;;0;33.058065;18.006452;59.983871;
83384;30/06/2016;0000;0;0.622222;5.2;;2.466667;;4.9;31.533333;16.026667;58.141667;
83384;31/07/2016;0000;0;0.768817;5.7;;1.569892;;0;32.170968;15.825806;51.604839;
83384;31/08/2016;0000;0;0.884946;5.1;;2.516129;;8.1;33.651613;17.425806;47.766129;
83384;30/09/2016;0000;0;0.824444;6.2;;3.066667;;4.7;36.073333;19.906667;42.591667;
83384;31/10/2016;0000;0;0.845161;5.5;;4.645161;;206.6;35.316129;21.812903;53.201613;
83384;30/11/2016;0000;0;0.707778;3.1;;6.666667;;159.2;32.146667;21.68;70.891667;
83384;31/12/2016;0000;0;0.812903;5.1;;5.215054;;86.3;33.396774;21.76129;67;
83384;31/01/2017;0000;0;0.598005;2.6;;4.430108;;170;34.841935;21.658065;61.564516;
83384;28/02/2017;0000;0;0.70119;5.1;;6.166667;;162.9;31.657143;21.328571;72.857143;
83384;31/03/2017;0000;0;0.41828;2.6;;4.569892;;87.7;33.409677;21.283871;64.774194;
83384;30/04/2017;0000;0;0.666667;2.6;;3.5;;1.3;33.793333;20.946667;60.058333;
83384;31/05/2017;0000;0;0.851613;5.1;;3.655914;;22.8;31.906452;19.212903;62.266129;
83384;30/06/2017;0000;0;1.06;5.1;;2.266667;;0;31.286667;17.486667;53.1;
83384;31/07/2017;0000;14;2.015054;6.7;;2.666667;;0;29.035484;15.23871;46.217742;
83384;31/08/2017;0000;0;0.680645;4.2;;1.075269;;0;33.654839;15.825806;38.806452;
83384;30/09/2017;0000;9;0.972222;4.6;;2.433333;;0;33.326667;18.58;39.95;
83384;31/10/2017;0000;9;1.197849;6;;3.311828;;18.8;36.851613;21.23871;38.782258;
83384;30/11/2017;0000;0;0.763333;4.6;;6.877778;;158.7;31.82;21.433333;69.25;
83384;31/12/2017;0000;0;0.693704;4.1;;6.704301;;223.7;31.345161;21.387097;73.362903;
83384;31/01/2018;0000;0;0.636559;2.6;;5.483871;;67.3;33.293548;21.522581;65.306452;
83384;28/02/2018;0000;0;0.463095;4.6;;6.047619;;165.7;31.542857;21.257143;75.169643;
83384;31/03/2018;0000;0;0.439785;3.1;;4.946237;;175.9;32.358065;21.425806;73.879032;
83384;30/04/2018;0000;0;0.481111;3.6;;4.866667;;42;30.453333;20.093333;72.475;
83384;31/05/2018;0000;0;0.813978;6.2;;2.483871;;6.9;30.274194;16.987097;64.419355;
83384;30/06/2018;0000;0;0.444444;3.6;;2.155556;;0;30.633333;15.58;59.05;
83384;31/07/2018;0000;0;0.458065;4.6;;1.365591;;0;30.816129;14.670968;53.653226;
83384;31/08/2018;0000;0;0.545161;7.7;;3;;7.6;33.287097;18.370968;49.153226;
83384;30/09/2018;0000;0;0.512222;3.1;;2.858333;;6.1;35.013333;18.966667;45.05;
83384;31/10/2018;0000;0;0.629032;3.1;;5.709677;;42.2;35.416129;22.6;54.548387;
83384;30/11/2018;0000;0;0.374444;2.1;;7.388889;;200.7;30.75;21.506667;76.3;
83384;31/12/2018;0000;0;0.370968;3.1;;5.430108;;163.6;32.719355;21.167742;70.096774;
83384;31/01/2019;0000;0;0.573118;2.1;;3.935484;;47.7;34.409677;21.580645;58.08871;
83384;28/02/2019;0000;0;0.495582;3.1;;5.767857;;220.9;33.178571;21.942857;71.357143;
83384;31/03/2019;0000;0;0.534409;3.6;;5.537634;;214.3;31.967742;21.690323;75.379032;
83384;30/04/2019;0000;0;0.603333;2.1;;4.722222;;157.8;31.873333;21.513333;74.066667;
83384;31/05/2019;0000;0;0.560215;2.1;;3.333333;;64.3;30.951613;19.348387;71.903226;
83384;30/06/2019;0000;0;0.621111;2.1;;2.666667;;0;30.2;16.62;63.766667;
83384;31/07/2019;0000;0;0.638865;2.1;;2.403226;;0;30.33871;14.683871;56.370968;
83384;31/08/2019;0000;0;0.847312;2.6;;2.774194;;0;32.635484;16.980645;46.725806;
83384;30/09/2019;0000;0;0.713333;2.6;;2.088889;;0.4;36.286667;19.853333;38.625;
