Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
83049,31/01/2016,0,18,1.193548,3,,6.2258059999999995,,279.1,29.609677,20.045161,82.175,"-22.35
","-43.41
"
83049,29/02/2016,0,18,1.241379,2,,4.37931,,128.2,32.268966,19.762069,78.42857099999999,"-22.35
","-43.41
"
83049,31/03/2016,0,18,1.1505379999999998,3,,6.419355,,54.2,30.006452000000003,19.961289999999998,82.459677,"-22.35
","-43.41
"
83049,30/04/2016,0,18,1.111111,2,,2.311111,,25.8,29.883333,16.096667,80.833333,"-22.35
","-43.41
"
83049,31/05/2016,0,18,1.1505379999999998,3,,6.0,,14.5,25.790323,13.967742000000001,82.717742,"-22.35
","-43.41
"
83049,30/06/2016,0,18,1.111111,2,,5.3333330000000005,,85.6,23.11,11.13,85.62931,"-22.35
","-43.41
"
83049,31/07/2016,0,18,1.0430110000000001,2,,3.021505,,0.0,24.996774,9.212903,,"-22.35
","-43.41
"
83049,31/08/2016,0,18,1.311828,4,,4.462366,,12.1,26.783871,9.277419,,"-22.35
","-43.41
"
83049,31/01/2017,0,18,1.236559,4,,4.247312,,135.2,32.158065,20.025806,75.19354799999999,"-22.35
","-43.41
"
83049,28/02/2017,0,18,1.285714,2,,4.880952,,151.6,30.885714,18.435714,78.32142900000001,"-22.35
","-43.41
"
83049,31/03/2017,0,18,1.311828,4,,5.3333330000000005,,178.7,29.335484,17.545161,81.80645200000001,"-22.35
","-43.41
"
83049,30/04/2017,0,18,1.177778,2,,6.022222,,27.7,27.046667,16.556667,83.916667,"-22.35
","-43.41
"
83049,31/05/2017,0,18,1.172043,2,,4.608696,,49.3,24.835484,13.258065,84.604839,"-22.35
","-43.41
"
83049,30/06/2017,0,18,1.144444,2,,3.111111,,40.9,25.643333,11.71,84.733333,"-22.35
","-43.41
"
83049,31/07/2017,0,18,1.172043,3,,3.3870970000000002,,0.0,23.819354999999998,9.374194000000001,80.395161,"-22.35
","-43.41
"
83049,31/08/2017,0,18,1.247312,3,,4.548387,,26.9,24.093548000000002,10.535484,79.30645200000001,"-22.35
","-43.41
"
83049,30/09/2017,0,18,1.4,3,,2.977778,,8.1,28.146666999999997,11.673333,68.233333,"-22.35
","-43.41
"
83049,31/10/2017,0,18,1.2903229999999999,3,,4.72043,,105.4,29.919355,16.687097,71.91935500000001,"-22.35
","-43.41
"
83049,30/11/2017,0,18,1.277778,3,,7.111111,,160.3,27.84,17.566667000000002,78.508333,"-22.35
","-43.41
"
83049,31/12/2017,0,18,1.096774,2,,5.268816999999999,,198.3,29.396774,19.312903,78.120968,"-22.35
","-43.41
"
83049,31/01/2018,0,18,1.032258,2,,6.526882,,238.1,30.193548,19.332258,82.209677,"-22.35
","-43.41
"
83049,28/02/2018,0,18,1.095238,2,,6.357143,,164.7,29.464285999999998,18.935714,82.625,"-22.35
","-43.41
"
83049,31/03/2018,0,18,1.139785,2,,4.634409,,94.0,30.390323,19.716129000000002,81.709677,"-22.35
","-43.41
"
83049,30/04/2018,0,18,1.066667,2,,4.711111,,36.3,27.82,16.693333,80.966667,"-22.35
","-43.41
"
83049,31/05/2018,0,18,1.139785,3,,3.924731,,70.8,26.119355,12.712903,83.177419,"-22.35
","-43.41
"
83049,30/06/2018,0,18,1.1,3,,3.688889,,1.0,25.263333,12.313333,85.108333,"-22.35
","-43.41
"
83049,31/07/2018,0,18,1.086022,3,,1.5913979999999999,,6.8,26.609677,9.380645,80.112903,"-22.35
","-43.41
"
83049,31/08/2018,0,18,1.1075270000000002,2,,5.836957,,58.4,24.509677,12.506452000000001,82.33870999999999,"-22.35
","-43.41
"
83049,30/09/2018,0,18,1.111111,3,,5.2,,70.1,27.14,14.506667000000002,78.466667,"-22.35
","-43.41
"
83049,31/10/2018,0,18,1.11828,2,,7.462366,,27.8,26.983871,17.864516000000002,82.387097,"-22.35
","-43.41
"
83049,30/11/2018,0,18,1.1888889999999999,2,,7.266667,,171.1,27.65,18.103333,80.916667,"-22.35
","-43.41
"
83049,31/12/2018,0,18,1.333333,3,,4.55914,,54.6,30.812903000000002,18.43871,74.887097,"-22.35
","-43.41
"
83049,31/01/2019,0,18,1.0430110000000001,2,,3.623656,,139.5,33.816129,19.641935,75.395161,"-22.35
","-43.41
"
83049,28/02/2019,0,18,1.0119049999999998,2,,5.7380949999999995,,210.1,31.282142999999998,19.753571,81.0625,"-22.35
","-43.41
"
83049,31/03/2019,0,18,1.032258,2,,6.344086,,121.6,30.006452000000003,19.041935000000002,83.104839,"-22.35
","-43.41
"
83049,30/04/2019,0,18,1.011111,2,,4.511111,,71.1,29.47,17.62,83.533333,"-22.35
","-43.41
"
83049,31/05/2019,0,18,1.010753,2,,5.086957,,22.5,27.761290000000002,15.361289999999999,84.233871,"-22.35
","-43.41
"
83049,30/06/2019,0,18,1.088889,3,,3.3295449999999995,,48.2,26.34,12.08,84.091667,"-22.35
","-43.41
"
83049,31/07/2019,0,18,1.096774,2,,2.860215,,7.5,25.003226,8.483871,80.467742,"-22.35
","-43.41
"
83049,31/08/2019,0,18,1.182796,3,,5.494624,,7.5,25.067742000000003,11.322581,76.870968,"-22.35
","-43.41
"
83049,30/09/2019,0,18,1.133333,2,,5.033333,,92.0,28.093333,15.206667000000001,75.841667,"-22.35
","-43.41
"
