Latitude  (graus) : -31.33
Longitude (graus) : -54.1
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83980;31/01/2016;0000;5;2.666667;7;239.7;4.774194;;75.4;29.612903;20.051613;70.870968;
83980;29/02/2016;0000;5;2.33908;7;247.6;4.83908;;89.3;30.744828;20.568966;70.706897;
83980;31/03/2016;0000;14;2.290323;7;175.1;6.139785;;223.3;25.303226;17.145161;77.943548;
83980;30/04/2016;0000;5;3.463575;7.20216;78.4;7.763889;;367.9;22.823333;17.086667;86.208333;
83980;31/05/2016;0000;14;1.792243;5.1444;118.1;6.875;;81.2;16.703226;9.5;84.637097;
83980;30/06/2016;0000;0;1.54332;7.20216;160.1;4.957386;;29.1;15.486667;6.933333;80.15;
83980;31/07/2016;0000;5;2.267961;8.74548;126.5;6.57967;;115.2;16.532258;9.16129;82.862903;
83980;31/08/2016;0000;5;2.43391;7.20216;167.4;5.107527;;98.9;20.209677;10.683871;77.266129;
83980;30/09/2016;0000;14;3.012332;8.74548;198.3;5.222222;;54.8;19.39;9.413333;77.991667;
83980;31/10/2016;0000;5;3.274715;7.20216;182.9;6.115591;;106.6;23.43871;13.329032;74.943548;
83980;30/11/2016;0000;14;2.983752;7.20216;255.3;4.638889;;80.6;26.373333;14.856667;62.875;
83980;31/12/2016;0000;5;3.263652;7.20216;239.4;4.892473;;98;29.809677;18.329032;62.846774;
83980;31/01/2017;0000;5;2.634409;7;235.9;5.27957;;196.9;29.725806;19.683871;72.185484;
83980;28/02/2017;0000;5;1.940476;7;203.9;5.595238;;138;29.496429;20.503571;75.205357;
83980;31/03/2017;0000;5;3.16129;7;244.5;4.16129;;248.7;27.387097;16.535484;73.104839;
83980;30/04/2017;0000;5;2.9;7;185;4.722222;;198.8;23.4;14.403333;75.1;
83980;31/05/2017;0000;5;2.247312;9;104.6;6.924731;;259.5;20.332258;13.054839;83.798387;
83980;30/06/2017;0000;5;2.755556;7;142.2;5.2;;121.8;19.63;10.9;80.925;
83980;31/07/2017;0000;5;3.010753;7;192.3;4.268817;;33.1;21.483871;11.725806;72.975806;
83980;31/08/2017;0000;5;3.043011;7;161;5.451613;;185.7;21.36129;11.045161;77.870968;
83980;30/09/2017;0000;5;3.544444;7;105.8;7.122222;;222.3;23.07;14.206667;81.408333;
83980;31/10/2017;0000;5;3.537634;7;167.6;6.397849;;297.7;22.912903;13.019355;72.653226;
83980;30/11/2017;0000;5;3.233333;7;280.6;3.5;;30.4;26.36;13.75;62.05;
83980;31/12/2017;0000;5;3.129032;7;271;3.924731;;55.1;30.974194;18.416129;60.604839;
83980;31/01/2018;0000;5;2.956989;7;252.2;4.698925;;56.6;30.793548;19.2;64.903226;
83980;28/02/2018;0000;5;2.666667;7;266.3;3.857143;;47.5;30.685714;17.835714;59.991071;
83980;31/03/2018;0000;5;2.387097;7;246.1;4.032258;;140.2;28;16.322581;65.040323;
83980;30/04/2018;0000;5;2.555556;7;178.3;5.022222;;106.3;28.036667;18.126667;77.466667;
83980;31/05/2018;0000;5;2.333333;7;122.9;6.064516;;109.8;20.632258;13.235484;81.201613;
83980;30/06/2018;0000;32;2.033333;7;131.7;5.522222;;81.2;16.03;7.4;81.941667;
83980;31/07/2018;0000;32;3.182796;7;93.8;7.27957;;168.6;16.06129;8.506452;84.596774;
83980;31/08/2018;0000;5;2.677419;7;117.8;5.301075;;153.2;17.274194;7.622581;80.419355;
83980;30/09/2018;0000;14;3.422222;7;123.7;6.477778;;230.9;22.413333;13.603333;81.55;
83980;31/10/2018;0000;14;3.107527;7;220.5;4.903226;;205.5;23.158065;12.506452;71.451613;
83980;30/11/2018;0000;5;3.277778;7;232.9;4.477778;;102.8;27.78;16.796667;65.866667;
83980;31/12/2018;0000;5;2.677419;7;233.9;4.795699;;114.1;28.470968;17.496774;70.08871;
83980;31/01/2019;0000;5;2.849462;7;176;6.505376;;445.1;29.451613;20.258065;80.879032;
83980;28/02/2019;0000;14;2.428571;7;226.7;3.988095;;60.2;29.296429;18.364286;69.758929;
83980;31/03/2019;0000;14;2.666667;7;215.9;4.258065;;20.7;27.796774;15.806452;70.774194;
83980;30/04/2019;0000;14;3.1;7;171.2;5.066667;;122.4;25.536667;14.65;76.566667;
83980;31/05/2019;0000;14;2.225806;7;107.2;6.677419;;126.4;21.125806;12.551613;83.766129;
83980;30/06/2019;0000;5;2.936667;7;152.6;5.8;;25.4;22.62;11.77;80.55;
83980;31/07/2019;0000;32;2.236559;7;165.2;5.096774;;163.4;17.103226;7.322581;79.008065;
83980;31/08/2019;0000;14;3.193548;7;188.9;4.333333;;108;19.377419;7.316129;76.903226;
83980;30/09/2019;0000;14;2.688889;7;232.3;3.677778;;96.6;22.073333;8.443333;71.375;
