Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
82768,31/01/2016,0,0,0.72043,1.0,121.5,7.634409,,358.9,31.716129,23.467742,83.322581,-7.53,-46.03,Cerrado
82768,29/02/2016,0,0,0.7241380000000001,1.0,229.1,3.482759,,66.5,34.768,23.589655,66.939655,-7.53,-46.03,Cerrado
82768,31/03/2016,0,32,0.741935,1.0,,6.16129,,121.2,33.093103,24.248148,76.275,-7.53,-46.03,Cerrado
82768,30/04/2016,0,14,0.7111109999999999,1.0,206.1,4.655556,,52.6,34.173333,24.106667,73.62931,-7.53,-46.03,Cerrado
82768,31/05/2016,0,0,0.698925,1.0,245.9,3.311828,,23.2,35.07,23.180645,67.201613,-7.53,-46.03,Cerrado
82768,30/06/2016,0,14,0.744444,5.0,273.2,2.266667,,19.4,35.024138,21.746667,62.333333,-7.53,-46.03,Cerrado
82768,31/07/2016,0,14,0.741935,3.0,306.5,0.913978,,0.0,35.591304,19.954839,51.120968,-7.53,-46.03,Cerrado
82768,31/08/2016,0,14,0.72043,3.0,317.3,0.7956989999999999,,0.0,37.654839,21.890323,48.233871,-7.53,-46.03,Cerrado
82768,30/09/2016,0,5,0.977778,3.0,,3.411111,,22.8,37.553333,23.786667,51.974138,-7.53,-46.03,Cerrado
82768,31/10/2016,0,5,0.784946,3.0,199.5,4.172043,,59.2,36.280645,24.135484,59.375,-7.53,-46.03,Cerrado
82768,30/11/2016,0,5,0.743769,1.02888,194.8,4.657738,,118.2,34.889655,23.064,69.801724,-7.53,-46.03,Cerrado
82768,31/12/2016,0,5,0.7349140000000001,1.02888,150.3,6.127717,,55.8,33.476667,23.526667,71.966667,-7.53,-46.03,Cerrado
82768,31/01/2017,0,32,0.741935,3.0,154.6,6.096774,,236.3,32.483871,22.670968,78.895161,-7.53,-46.03,Cerrado
82768,28/02/2017,0,32,0.72619,1.0,122.3,7.571428999999998,,202.9,31.978571,22.703571,80.839286,-7.53,-46.03,Cerrado
82768,31/03/2017,0,32,0.784946,1.0,166.1,6.956989,,166.2,32.877419,23.148387,77.935484,-7.53,-46.03,Cerrado
