Latitude  (graus) : -20.03
Longitude (graus) : -45
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83582;31/01/2016;0000;18;0.986022;2.6;102.6;8.860215;;397.1;29.429032;20.212903;87.491935;
83582;29/02/2016;0000;14;0.782258;1.5;198;5.806452;;74.2;32.692308;19.323077;;
83582;31/03/2016;0000;14;0.75;3;141.7;6.962963;;122.6;30.185185;19.051852;;
83582;30/04/2016;0000;14;0.910588;2.1;262.4;3.658824;;16.3;31.4;15.74;78.648148;
83582;31/05/2016;0000;14;0.963441;2.6;218.9;4.655914;;1.7;28.764516;13.393548;81.701613;
83582;30/06/2016;0000;18;1.02;2.1;224;4.5;;64.6;26.51;10.28;82.5;
83582;31/07/2016;0000;14;1.077419;2.6;288.7;3.430108;;0;28.641935;8.6;75.330645;
83582;31/08/2016;0000;18;1.216129;2.6;254.9;4.333333;;16.3;29.945161;10.006452;72.104839;
83582;30/09/2016;0000;14;1.157778;3.1;248;4.577778;;12;33.023333;13.3;66.833333;
83582;31/10/2016;0000;18;1.177419;3.1;219.6;6.494624;;185.3;31.812903;17.277419;74.854839;
83582;30/11/2016;0000;5;1.138889;2.6;141;7.555556;;139.1;29.403333;17.84;83.291667;
83582;31/12/2016;0000;5;1.334328;3.1;;6.477612;;152;31.452174;18.2;;
83582;31/01/2017;0000;9;0.863899;2.5;163.4;7.402778;;93.9;31.937037;19.333333;;
83582;28/02/2017;0000;5;1.003571;2.1;171.6;6.785714;;86.1;30.692857;18.478571;79.125;
83582;31/03/2017;0000;18;0.943011;2.1;230.3;5.602151;;79.6;31.058065;17.470968;79.016129;
83582;30/04/2017;0000;14;0.962921;2.1;207.6;5.719101;;33.3;30.3;16.826667;78.672414;
83582;31/05/2017;0000;14;1.003488;2.6;142.2;5.744186;;98.7;27.759259;14.156667;85.43;
83582;30/06/2017;0000;;1.35;2.1;;;;25.1;;10.38;;
83582;31/07/2017;0000;5;1.291214;3.1;226.2;4.034884;;0;25.006897;7.558621;74.318966;
83582;31/08/2017;0000;5;1.146429;2.6;217.1;3.303571;;0;29.97037;9.633333;;
83582;30/09/2017;0000;23;1.438462;2.6;219.4;3.076923;;21.9;30.273077;9.553846;;
83582;31/10/2017;0000;23;1.408248;3.1;233.1;5.245192;;75;31.826923;14.211538;;
83582;30/11/2017;0000;18;1.497542;2.6;139.4;7.331731;;183.2;29.315385;18.088462;;
83582;31/12/2017;0000;23;1.621845;2.6;163.4;8.122642;;244.2;30.415385;19.146154;;
83582;31/01/2018;0000;14;1.915094;2.6;167.9;7.150943;;244.3;31.281481;18.466667;;
83582;28/02/2018;0000;18;1.489606;3.1;119.1;7.145833;;143.3;30.058333;18.975;;
83582;31/03/2018;0000;18;1.4625;3.1;238;5.5;;78.8;31.840741;18.772414;83.966667;
83582;30/04/2018;0000;;;;;;;23.4;;;;
