Latitude  (graus) : -21.25
Longitude (graus) : -43.76
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83689;31/01/2016;0000;0;1.267901;5.7;109.9;7.950617;;280.7;;17.344444;86.796296;
83689;29/02/2016;0000;0;1.164368;4.1;188.9;6.586207;;193.4;;17.22069;79.931034;
83689;31/03/2016;0000;0;1.382143;2.6;126.4;7.047619;;177.4;;17.55;84.276786;
83689;30/04/2016;0000;0;0.99;4.1;213.2;4.033333;;38.2;;15.51;76.008333;
83689;31/05/2016;0000;0;1.022727;5.1;121.4;6.477273;;20.6;;13.586667;86.955357;
83689;30/06/2016;0000;0;1.017978;4.6;142;5.595506;;44.8;;10.823333;86.956897;
83689;31/07/2016;0000;0;1.106452;6.2;196.9;3.860215;;0;;10.770968;76.008065;
83689;31/08/2016;0000;5;1.564516;7.2;192.3;4.010753;;17.8;;11.8;72.443548;
83689;30/09/2016;0000;5;1.61;5.1;174.6;5.322222;;80.2;;13.886667;74.308333;
83689;31/10/2016;0000;5;1.598925;7.7;131.7;7.27957;;53.2;;15.46129;83.475806;
83689;30/11/2016;0000;5;1.274444;4.1;101.1;7.788889;;330.9;;15.766667;86.858333;
83689;31/12/2016;0000;5;1.621505;7.7;132.7;6.752688;;162.2;;16.567742;79.225806;
83689;31/01/2017;0000;5;0.946214;3.6;154.2;6.802469;;109.7;;17.581481;78.527778;
83689;28/02/2017;0000;5;1.307143;5.7;157.9;6.916667;;213.4;;17.239286;81.857143;
83689;31/03/2017;0000;0;1.26129;3.6;166;5.956989;;75.2;;16.090323;81.322581;
83689;30/04/2017;0000;14;1.451282;3.1;99.7;6.448718;;67.8;;15.088462;86.769231;
83689;31/05/2017;0000;0;0.975269;4.1;116;6.344086;;77.4;;12.367742;87.112903;
83689;30/06/2017;0000;0;1.017778;4.1;160.3;5.022222;;27.8;;11.676667;84.325;
83689;31/07/2017;0000;0;1.250538;4.1;128.9;5.623656;;9.8;;9.919355;84.169355;
83689;31/08/2017;0000;5;1.331183;6.8;133.2;4.483871;;0;;10.658065;78.491935;
83689;30/09/2017;0000;5;1.822222;4.6;234.1;3.359551;;7.2;;12.106667;64.166667;
83689;31/10/2017;0000;5;1.604301;5.1;190.2;6.075269;;105.6;;15.806452;70.862903;
83689;30/11/2017;0000;5;1.656667;6.2;96.4;8.133333;;145.2;;15.316667;81.975;
83689;31/12/2017;0000;0;0.893704;3.1;108.7;7.637097;;282.9;;16.858065;85.314516;
83689;31/01/2018;0000;5;0.92716;4.6;127.9;6.851852;;218.6;;17.077778;83.425926;
83689;28/02/2018;0000;0;0.579768;2.1;91.9;7.520833;;127.3;;16.704167;;
83689;31/03/2018;0000;0;0.483333;2.6;152.3;6.222222;;188.6;;17.62963;;
83689;30/04/2018;0000;;;;;;;5.6;;;;
83689;31/05/2018;0000;0;0.539623;3.1;139.1;3.830189;;6.2;;11.634615;;
