Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
82113,31/01/2016,0,0.0,1.1746379999999998,3.08664,179.5,6.8958330000000005,,0.0,34.392857,24.293548,84.206897,"-0.96
","-62.91
"
82113,29/02/2016,0,0.0,0.6678689999999999,3.08664,131.9,7.039474,,53.5,34.653571,24.572414000000002,85.32142900000001,"-0.96
","-62.91
"
82113,31/03/2016,0,5.0,1.501153,4.11552,91.4,7.930328,,109.8,33.112903,23.413332999999998,87.032258,"-0.96
","-62.91
"
82113,30/04/2016,0,0.0,1.260378,4.11552,93.5,7.625,,72.4,34.244828000000005,23.44,87.25862099999999,"-0.96
","-62.91
"
82113,31/05/2016,0,0.0,1.0120129999999998,4.11552,133.2,6.987705,,46.6,33.633333,23.754839,87.06666700000001,"-0.96
","-62.91
"
82113,30/06/2016,0,0.0,1.046028,5.1444,124.5,7.4791669999999995,,22.2,33.493333,23.613332999999997,86.0,"-0.96
","-62.91
"
82113,31/07/2016,0,0.0,1.135316,3.6010800000000005,110.0,7.055085000000001,,63.0,33.992857,23.432257999999997,83.714286,"-0.96
","-62.91
"
82113,31/08/2016,0,0.0,1.0039879999999999,4.11552,175.3,7.580645,,75.0,34.970968,23.325806,85.709677,"-0.96
","-62.91
"
82113,30/09/2016,0,0.0,0.8719319999999999,4.11552,158.8,6.5677970000000006,,39.2,34.555172,23.316667000000002,85.896552,"-0.96
","-62.91
"
82113,31/10/2016,0,,,,,,,0.0,,,,"-0.96
","-62.91
"
82113,30/11/2016,0,0.0,0.7942229999999999,3.08664,168.6,6.929825,,50.8,34.551724,22.872414000000003,85.931034,"-0.96
","-62.91
"
82113,31/12/2016,0,,1.004383,4.11552,,,,46.0,33.842105,23.404545000000002,88.789474,"-0.96
","-62.91
"
82113,31/01/2017,0,0.0,1.0193530000000002,3.08664,115.0,6.828703999999999,,29.1,33.357692,23.22069,88.615385,"-0.96
","-62.91
"
82113,28/02/2017,0,0.0,1.244945,3.08664,,7.8,,162.7,33.963636,23.257143,90.136364,"-0.96
","-62.91
"
82113,31/03/2017,0,0.0,1.490102,4.11552,104.6,7.413792999999999,,98.4,33.769231,23.103226,87.115385,"-0.96
","-62.91
"
82113,30/04/2017,0,0.0,1.174476,3.08664,82.4,6.910377,,216.1,33.803846,23.235714,87.038462,"-0.96
","-62.91
"
82113,31/05/2017,0,0.0,1.038586,4.11552,,6.886792,,174.3,34.217391,23.086667000000002,86.173913,"-0.96
","-62.91
"
82113,30/06/2017,0,0.0,1.479015,4.11552,,7.347561,,100.2,33.852940999999994,23.233333,86.764706,"-0.96
","-62.91
"
82113,31/07/2017,0,0.0,0.8903770000000001,3.08664,,6.995191999999999,,45.6,34.121739,23.013793,88.217391,"-0.96
","-62.91
"
82113,31/08/2017,0,0.0,1.106531,3.08664,,6.273585,,84.4,33.704167,23.448276,86.125,"-0.96
","-62.91
"
82113,30/09/2017,0,0.0,1.162253,3.08664,152.5,6.759258999999999,,40.2,33.873077,23.325926000000003,84.5,"-0.96
","-62.91
"
82113,31/10/2017,0,0.0,1.00082,3.08664,162.8,6.590909,,33.6,33.98,23.335484,86.52,"-0.96
","-62.91
"
82113,30/11/2017,0,0.0,1.378311,3.08664,143.9,6.816038000000001,,69.8,33.841667,23.393103,85.75,"-0.96
","-62.91
"
82113,31/12/2017,0,,,,,,,0.0,,,,"-0.96
","-62.91
"
82113,28/02/2018,0,,,,,,,16.3,,,,"-0.96
","-62.91
"
82113,31/03/2018,0,0.0,0.348492,3.08664,155.5,6.612903,,206.5,33.516129,23.996774,87.516129,"-0.96
","-62.91
"
82113,30/04/2018,0,0.0,0.231498,1.02888,86.5,7.2916669999999995,,575.6,31.583333000000003,23.336667000000002,90.8,"-0.96
","-62.91
"
82113,31/05/2018,0,0.0,0.31530199999999997,1.02888,100.5,7.419355,,303.8,31.112903000000003,23.203332999999997,93.709677,"-0.96
","-62.91
"
82113,30/06/2018,0,0.0,0.366212,1.02888,154.0,7.1822029999999994,,201.2,31.758621,23.17,94.62069,"-0.96
","-62.91
"
82113,31/07/2018,0,0.0,0.298707,1.02888,162.1,6.9758059999999995,,302.4,31.806452,22.951613000000002,94.967742,"-0.96
","-62.91
"
82113,31/08/2018,0,0.0,0.42316800000000004,4.11552,207.3,5.866935,,118.2,33.129032,22.635483999999998,92.645161,"-0.96
","-62.91
"
