Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
83179,31/01/2016,0,,,,184.3,7.379032,,412.8,31.558065000000006,22.636667000000006,,-11.08,-43.16,Caatinga
83179,29/02/2016,0,,,,281.1,2.306034,,19.6,34.268966,21.651724,,-11.08,-43.16,Caatinga
83179,31/03/2016,0,,,,,,,0.0,,,,-11.08,-43.16,Caatinga
83179,30/04/2016,0,,,,270.6,2.669492,,4.6,35.536667,21.358621,,-11.08,-43.16,Caatinga
83179,31/05/2016,0,,,,292.1,2.520161,,6.4,34.835484,20.706452,,-11.08,-43.16,Caatinga
83179,30/06/2016,0,,,,291.1,1.833333,,0.0,33.846667,19.493333,,-11.08,-43.16,Caatinga
83179,31/07/2016,0,,,,311.2,1.108871,,0.0,33.154839,17.525806,,-11.08,-43.16,Caatinga
83179,31/08/2016,0,,,,313.9,1.08871,,0.0,34.66129,19.474194,,-11.08,-43.16,Caatinga
83179,30/09/2016,0,,,,272.4,2.604167,,20.2,35.25,21.326667,,-11.08,-43.16,Caatinga
83179,31/10/2016,0,,,,283.1,2.903226,,17.3,35.796774,23.225806,,-11.08,-43.16,Caatinga
83179,30/11/2016,0,,,,233.9,4.2083330000000005,,126.7,34.58,22.7,,-11.08,-43.16,Caatinga
83179,31/12/2016,0,,,,266.1,4.415323,,93.0,34.464516,22.822581,,-11.08,-43.16,Caatinga
83179,31/01/2017,0,,,,296.9,3.983871,,17.5,36.190323,23.480645000000006,,-11.08,-43.16,Caatinga
83179,28/02/2017,0,,,,185.6,6.857142999999999,,94.5,33.957143,23.210714000000007,,-11.08,-43.16,Caatinga
83179,30/04/2017,0,,,,269.2,2.913793,,53.2,34.123333,21.913793,,-11.08,-43.16,Caatinga
83179,31/05/2017,0,,,,279.3,2.693548,,0.0,34.9,21.158065,,-11.08,-43.16,Caatinga
83179,30/06/2017,0,,,,269.4,1.433333,,0.0,33.786207,19.106667,,-11.08,-43.16,Caatinga
83179,31/07/2017,0,,,,309.0,1.258065,,0.0,31.854839,16.725806,,-11.08,-43.16,Caatinga
83179,31/08/2017,0,,,,325.9,0.645161,,0.0,34.696774,18.558065,,-11.08,-43.16,Caatinga
83179,30/09/2017,0,,,,304.9,0.958333,,0.0,34.013333,20.133333,,-11.08,-43.16,Caatinga
83179,31/10/2017,0,,,,310.3,1.0483870000000002,,0.0,36.929032,22.925806,,-11.08,-43.16,Caatinga
83179,30/11/2017,0,,,,214.8,5.3333330000000005,,69.2,34.473333000000004,22.786667,,-11.08,-43.16,Caatinga
83179,31/12/2017,0,,,,248.1,4.939516,,189.8,34.1,22.609677,,-11.08,-43.16,Caatinga
83179,31/01/2018,0,,,,264.7,4.495968,,44.1,35.725806,23.129032,,-11.08,-43.16,Caatinga
83179,28/02/2018,0,,,,163.8,5.892857,,137.5,32.082143,22.217857,,-11.08,-43.16,Caatinga
83179,30/04/2018,0,,,,255.3,4.364407,,35.5,33.65,21.003333,,-11.08,-43.16,Caatinga
83179,31/05/2018,0,,,,288.2,2.741935,,0.7,33.954839,19.509677,,-11.08,-43.16,Caatinga
83179,30/06/2018,0,,,,285.6,1.333333,,0.0,33.086667,18.036667,,-11.08,-43.16,Caatinga
83179,31/07/2018,0,,,,308.6,0.665323,,0.0,33.377419,16.33871,,-11.08,-43.16,Caatinga
83179,31/08/2018,0,,,,312.3,1.0483870000000002,,0.0,34.793548,19.874194,,-11.08,-43.16,Caatinga
83179,30/09/2018,0,,,,293.5,1.458333,,0.0,35.993333,21.716667,,-11.08,-43.16,Caatinga
83179,31/10/2018,0,,,,275.0,2.520161,,75.1,36.964516,23.622581,,-11.08,-43.16,Caatinga
83179,30/11/2018,0,,,,216.0,5.166667,,15.4,35.743333,23.523333,,-11.08,-43.16,Caatinga
83179,31/12/2018,0,,,,231.5,5.766129,,157.8,,21.248387,,-11.08,-43.16,Caatinga
83179,31/01/2019,0,,,,261.3,4.133065,,7.9,,22.287097,,-11.08,-43.16,Caatinga
83179,28/02/2019,0,,,,183.0,5.558036,,96.7,,22.739286,,-11.08,-43.16,Caatinga
83179,30/04/2019,0,,,,275.6,3.983051,,71.5,,21.913333,,-11.08,-43.16,Caatinga
83179,31/05/2019,0,,,,280.7,2.681452,,13.5,,21.132258,,-11.08,-43.16,Caatinga
83179,30/06/2019,0,,,,271.5,2.083333,,0.0,,18.886667000000006,,-11.08,-43.16,Caatinga
83179,31/07/2019,0,,,,285.5,0.895833,,0.0,,17.71,,-11.08,-43.16,Caatinga
83179,31/08/2019,0,,,,303.2,0.846774,,0.0,,19.274194,,-11.08,-43.16,Caatinga
83179,30/09/2019,0,,,,295.6,1.104167,,0.0,,21.553333,,-11.08,-43.16,Caatinga
