Latitude  (graus) : 2.82
Longitude (graus) : -60.66
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82024;31/01/2016;0000;5;4.289906;9.77436;204.9;2.055085;;0;;25.15;63.071429;
82024;29/02/2016;0000;5;2.785072;9.25992;171.7;4.50431;;28.5;;25.496552;70.655172;
82024;31/03/2016;0000;5;3.051161;8.74548;183.4;3.580508;;0.4;;26.413333;65;
82024;30/04/2016;0000;;;;;;;155.5;;;;
82024;31/05/2016;0000;0;0.700703;2.5722;113.9;6.616379;;350.4;33.210714;24.916667;84.321429;
82024;30/06/2016;0000;0;0.549317;3.08664;152.8;7.224576;;352.8;32.8;24.003333;86.827586;
82024;31/07/2016;0000;0;0.51444;2.5722;172.6;6.147541;;322.8;32.877419;24.226667;86.419355;
82024;31/08/2016;0000;0;0.674675;5.1444;226.6;4.098361;;106.7;34.526667;24.36;81.283333;
82024;30/09/2016;0000;0;0.828336;3.60108;236.9;3.898305;;143;35.841379;24.65;75.724138;
82024;31/10/2016;0000;5;1.259491;4.62996;241.3;3.426724;;78.9;36.48;25.332143;71.466667;
82024;30/11/2016;0000;0;0.954052;4.62996;183.8;4.522727;;47.9;35.807407;25.417857;76.333333;
82024;31/12/2016;0000;5;1.687724;7.20216;177.8;4.210526;;110.3;35.167857;25.296552;80.392857;
82024;31/01/2017;0000;5;1.563136;5.4;180.8;4.064516;5;20.2;33.893548;24.329032;75.068966;
82024;28/02/2017;0000;;;;;;1;1.4;;;;
82024;31/03/2017;0000;5;1.224367;5.1444;139.9;5.375;8;119.4;33.7875;24.544444;78.958333;
82024;30/04/2017;0000;5;1.436884;4.62996;162.7;4.87069;11;129;34.665517;24.87931;76.689655;
82024;31/05/2017;0000;0;0.779957;4.11552;158.2;5.987903;18;361.2;33.380645;24.632258;83.580645;
82024;30/06/2017;0000;0;0.504913;2.05776;119.4;6.226852;21;243.5;33.028;24.465517;85.6;
82024;31/07/2017;0000;0;0.324909;1.02888;134.4;6.25;27;330.6;32.5;23.692857;88;
82024;31/08/2017;0000;0;0.8574;2.5722;250.2;3.596491;10;78;35.775862;24.948276;76.103448;
82024;30/09/2017;0000;0;0.902697;3.08664;183;4.95283;4;104.7;35.492308;24.885185;77.384615;
82024;31/10/2017;0000;5;1.644521;5.65884;223.5;3.360656;;5.6;36.610345;25.529032;72.9;
82024;30/11/2017;0000;5;2.013412;6.17328;218.7;3.297414;;1.1;37.313333;25.535714;68.5;
82024;31/12/2017;0000;5;2.180778;6.17328;;3.559783;;12;35.734783;25.131818;70.73913;
82024;28/02/2018;0000;;;;;;;0;;;;
82024;31/03/2018;0000;27;2.273493;5.1444;191.9;5.725806;;31.6;37.148387;25.283871;72.580645;
82024;30/04/2018;0000;9;1.80054;5.1444;130.8;6.291667;;161.6;35.873333;25.066667;71.233333;
82024;31/05/2018;0000;9;1.184408;4.11552;133.9;7.209302;;343.3;33.580645;24.016129;82.741935;
82024;30/06/2018;0000;0;0.876886;3.08664;117.7;6.994382;;375.6;32.844828;23.74;84.456897;
82024;31/07/2018;0000;0;0.990159;4.62996;114.6;6.841398;;413.4;32.574194;23.448387;85.733871;
82024;31/08/2018;0000;9;1.148916;3.08664;233.5;5.43956;;108.4;35.75;24.187097;73.916667;
82024;30/09/2018;0000;9;1.177496;5.1444;220.4;5.597222;;278.9;36.413333;24.513333;74.991667;
82024;31/10/2018;0000;9;1.515662;3.08664;267.4;5.040323;;35.4;37.896774;25.1;63.830645;
82024;30/11/2018;0000;5;1.646208;4.11552;188.8;6.319444;;41.6;36.783333;25.39;68.316667;
82024;31/12/2018;0000;5;2.255622;4.11552;151.9;5.416667;;6;35.019355;24.222581;66.370968;
82024;31/01/2019;0000;5;2.118901;5;192.7;5.827957;;8.6;35.859259;24.348387;63.741935;
82024;28/02/2019;0000;5;2.357143;5;207.7;5.297619;;0.2;36.389286;24.728571;59.625;
82024;31/03/2019;0000;5;2.225806;5;240.2;4.602151;;4.2;38.02963;25.706452;54.717742;
82024;30/04/2019;0000;5;1.911111;4;194.7;6.066667;;6.6;36.936667;26.13;57.508333;
82024;31/05/2019;0000;0;1.075269;4;88.1;7.548387;;416.5;32.229032;24.477419;83.862903;
82024;30/06/2019;0000;0;0.786517;3;145.5;6.6;;437;32.46;24.006667;83.608333;
82024;31/07/2019;0000;0;1;4;175.9;7.263158;;392.4;32.835484;23.751613;81.330645;
82024;31/08/2019;0000;0;1.063955;3.08664;159;7.017045;;346.7;33.053333;23.787097;79.685484;
82024;30/09/2019;0000;9;1.337544;5.1444;50.6;6.75;;128.3;34.633333;24.17;73.766667;
