Latitude  (graus) : -19.68
Longitude (graus) : -45.36
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83533;31/01/2016;0000;32;1.215054;4;136.7;7.813187;;337.2;29.819355;20.2;81.040323;
83533;29/02/2016;0000;36;0.873563;3;254.3;4.965116;;89.3;33.331034;19.472414;71.577586;
83533;31/03/2016;0000;36;0.806452;3;203.2;6.731183;;61.9;31.193548;19.258065;76.379032;
83533;30/04/2016;0000;0;0.677778;3;259.3;3.111111;;34.2;32.046667;15.796667;69.533333;
83533;31/05/2016;0000;0;0.677419;3;253.4;3.032258;;2;29.883871;13.141935;72.572581;
83533;30/06/2016;0000;0;0.688889;2;210.1;3.522222;;51.6;27.243333;10.95;76.1;
83533;31/07/2016;0000;0;0.784946;3;252.6;1.419355;;0;29.674194;8.741935;67.072581;
83533;31/08/2016;0000;36;1;5;232;2.086022;;3;30.925806;10.293548;59.435484;
83533;30/09/2016;0000;36;1.1;6;239.4;3.333333;;20.6;33.413333;14.323333;55.841667;
83533;31/10/2016;0000;36;1.043011;5;246.9;4.075269;;110.3;32.312903;17.783871;;
83533;30/11/2016;0000;0;0.733333;3;157.9;6.722222;;245.1;29.926667;18.906667;74.908333;
83533;31/12/2016;0000;36;0.83871;5;197.6;5.623656;;274.4;30.909677;18.712903;71.927083;
83533;31/01/2017;0000;36;0.913978;4;241.4;5.634409;;72;32.864516;19.735484;68.677419;
83533;28/02/2017;0000;36;1.02381;3;209.1;5.202381;;102.2;31.25;18.496429;72.544643;
83533;31/03/2017;0000;36;1.11828;5;256.5;4.817204;;69;32.119355;17.090323;69.91129;
83533;30/04/2017;0000;0;0.6;3;218.3;4.166667;;30.2;31.48;16.943333;70.858333;
83533;31/05/2017;0000;0;0.666667;3;207.4;4.555556;;68.2;28.46129;13.83871;76.083333;
83533;30/06/2017;0000;36;1.1;5;234.5;2.044444;;20.4;28.023333;10.486667;72.883333;
83533;31/07/2017;0000;0;0.956989;3;229.5;2.301075;;0;26.254839;7.46129;66.798387;
83533;31/08/2017;0000;36;0.769231;4;240.1;1.472527;;0;31.036667;9.53;60.325;
83533;31/01/2018;0000;;0.107143;0.3;;;;23.4;;;;
83533;28/02/2018;0000;36;0.079518;0.3;160.6;6.818182;;270.1;30.1;18.778571;81.330357;
83533;31/03/2018;0000;0;0.063441;0.3;239;5.795699;;74.1;31.751613;17.790323;79.201613;
83533;30/04/2018;0000;0;0.101111;1;176.6;4.77381;;7.4;29.696667;14.166667;77.875;
83533;31/05/2018;0000;;;;229.3;2.425287;;3.6;28.925806;10.335484;73.137097;
83533;30/06/2018;0000;0;0.752809;3;196.4;3.433333;;3.6;29.023333;10.88;73.7;
83533;31/07/2018;0000;0;0.078495;0.4;239.1;1.197802;;0;29.296774;8.154839;68.41129;
83533;31/08/2018;0000;36;0.129032;0.4;195.3;4.505376;;52;28.96129;11.225806;69.862903;
83533;30/09/2018;0000;36;0.167778;0.4;212.7;3.214286;;43.9;31.71;13.24;63.4;
83533;31/10/2018;0000;0;0.134409;0.4;178.8;6.724138;;127.1;31.680645;18.1;72.806452;
83533;30/11/2018;0000;0;0.165556;0.8;135.4;7.344444;;319;28.826667;17.163333;79.358333;
83533;31/12/2018;0000;0;0.117204;0.4;201.1;6.827586;;100.8;31.535484;18.490323;76.096774;
83533;31/01/2019;0000;0;0.1;0.3;243.5;4.633333;;68.8;33.464516;18.622581;67.709677;
