Latitude  (graus) : -15.78
Longitude (graus) : -47.92
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83377;31/01/2016;0000;0;2.007119;7;107.9;8.513441;;397.6;27.112903;18.56129;83.75;
83377;29/02/2016;0000;0;1.255861;7;234.1;5.66092;;84.8;30.172414;18.637931;68.301724;
83377;31/03/2016;0000;0;1.400334;9;196.5;6.537634;;150.6;29.322581;18.964516;71.580645;
83377;30/04/2016;0000;0;1.63558;7;257.4;3.7;;11;29.696552;17.963333;55.641667;
83377;31/05/2016;0000;0;1.067311;5;249.8;3.709677;;3.9;28.907407;16.651613;58.790323;
83377;30/06/2016;0000;0;1.890561;8;230.3;3.719444;;0;26.757143;14.627586;53.991667;
83377;31/07/2016;0000;0;1.759772;7;275.6;1.884409;;0;28.529032;14.680645;45.443548;
83377;31/08/2016;0000;0;1.756081;6;260.1;3.612903;;20.9;29.606452;15.96129;46.080645;
83377;30/09/2016;0000;0;1.690814;8;233.9;4.675;;55.9;31.633333;18.313333;43.366667;
83377;31/10/2016;0000;0;1.573619;6;203.6;6.096774;;83.7;30.251613;18.951613;59.104839;
83377;30/11/2016;0000;0;1.494665;8;124.5;8.211111;;228.4;27.956667;18.4;75.8;
83377;31/12/2016;0000;0;1.368076;6;209.6;6.981183;;156.1;28.787097;18.258065;70.483871;
83377;31/01/2017;0000;0;1.340883;7;183.8;6.38172;;146.5;29.096774;18.6;70.153226;
83377;28/02/2017;0000;0;1.643889;8;127.6;7.806548;;258.8;27.9;18.371429;76.848214;
83377;31/03/2017;0000;0;1.175148;6;202.7;6.177419;;177.2;29.1;18.26;71.532258;
83377;30/04/2017;0000;0;1.590814;5;228.4;5.263889;;26.7;28.493333;18.67;67.091667;
83377;31/05/2017;0000;0;1.916152;7;227.8;4.456989;;64.3;27.309677;16.693548;65.33871;
83377;30/06/2017;0000;14;2.313999;9;235.8;3.272222;;0;26.037931;14.99;58.258333;
83377;31/07/2017;0000;14;3.055006;8;264.6;2.575269;;0;23.383871;12.770968;49.483871;
83377;31/08/2017;0000;5;2.389271;10;281.8;1.973118;;0;28.890323;14.93871;36.959677;
83377;30/09/2017;0000;14;3.513999;9;260.5;2.333333;;9.2;27.936667;16.93;39.433333;
83377;31/10/2017;0000;0;2.882318;12;227.2;4.580645;;33.2;30.963333;18.912903;42.201613;
83377;30/11/2017;0000;0;1.790517;6;124.3;8.047222;;319.7;26.666667;18.343333;75.5;
83377;31/12/2017;0000;0;1.577776;10;128.7;8.008065;;267.6;26.548387;18.554839;77.443548;
83377;31/01/2018;0000;0;1.7148;6.17328;193.5;7.069892;;151;27.374194;18.012903;69.887097;
83377;28/02/2018;0000;0;1.880156;8.23104;158.7;7.544643;;272;26.842857;18.346429;75.741071;
83377;31/03/2018;0000;0;1.62906;10.2888;180.5;6.820652;;241.5;27.446667;18.816129;76.025;
83377;30/04/2018;0000;14;2.034639;10.2888;171.7;7.111111;;218.9;25.543333;17.316667;77.141667;
83377;31/05/2018;0000;14;2.323277;8.23104;255.9;3.454301;;10.9;25.53871;14.532258;63.846774;
83377;30/06/2018;0000;14;2.217808;5.1444;243.8;3.305556;;0;25.85;13.66;56.366667;
83377;31/07/2018;0000;14;2.511352;8.23104;258.9;1.653226;;0;25.95;13.093333;49.325;
83377;31/08/2018;0000;14;2.068943;7.20216;242.8;4.010989;;21.1;28.190323;16.13871;49.096774;
83377;30/09/2018;0000;0;1.960588;8.23104;255.7;4.027778;;38.8;30.286667;17.916667;44.6;
83377;31/10/2018;0000;0;1.37184;7.20216;155.3;7.392473;;244;29.074194;19.329032;66.395161;
83377;30/11/2018;0000;0;1.897712;9.77436;107.8;8.402778;;371.5;25.87;18.286667;81.483333;
83377;31/12/2018;0000;0;1.703737;6.17328;177.6;6.725543;;178.3;27.348387;18.190323;71.298387;
83377;31/01/2019;0000;14;1.855052;7;235.2;5.196237;;74.3;28.622581;18.454839;63.177419;
83377;28/02/2019;0000;0;1.499933;6.17328;149.9;7.202381;;151.9;28.207143;18.828571;74.508929;
83377;31/03/2019;0000;0;1.051006;5.1444;136.1;7.419355;;265.6;27.122581;18.735484;79.201613;
83377;30/04/2019;0000;0;0.8574;4.11552;166.1;6.569444;;311.8;27.243333;18.246667;78.358333;
83377;31/05/2019;0000;14;1.183765;8.23104;245;4.032258;;76.1;27.058065;16.76129;70.258065;
83377;30/06/2019;0000;14;2.537904;7.20216;245.2;3.527778;;6.9;25.316667;14.43;62.133333;
83377;31/07/2019;0000;14;2.70081;9.77436;268.2;2.581522;;0;25.86129;12.893548;51.887097;
83377;31/08/2019;0000;14;2.22924;10.80324;270.4;3.803763;;0;27.955172;15.425806;44.177419;
83377;30/09/2019;0000;5;2.17208;9.77436;254.6;2.638889;;8.7;31.356667;18.466667;38.175;
