Latitude  (graus) : -1.68
Longitude (graus) : -50.48
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82188;31/01/2016;0000;0;0.616129;2.1;119.1;6.11828;;285.7;31.006452;21.822581;85.919355;
82188;29/02/2016;0000;0;0.563218;2;93;5.827586;;354.6;31.089655;21.682759;88.017241;
82188;31/03/2016;0000;0;0.645161;2;85.7;5.043011;;440.8;32.041935;22.590323;87.575;
82188;30/04/2016;0000;0;0.655556;2;129.9;5.833333;;307.2;32.26;22.083333;83.966667;
82188;31/05/2016;0000;5;0.774194;7;;5.387097;;271.7;32.903226;22.476667;84.189655;
82188;30/06/2016;0000;0;0.655556;2;;5.111111;;171.2;33.56;22.9;81.955357;
82188;31/07/2016;0000;0;0.688172;1;;5.107527;;91;32.916129;22.912903;84.080645;
82188;31/08/2016;0000;5;0.795699;2;;5.215054;;17;33.748387;23.1;81.104839;
82188;30/09/2016;0000;5;0.723333;2;201.1;5.177778;;122.2;32.933333;22.973333;84.732143;
82188;31/10/2016;0000;5;0.892473;2;222.1;5.505376;;115.4;33.741935;22.941935;82.419355;
82188;30/11/2016;0000;0;0.746819;2.05776;183.1;5.428571;;57.8;33.721429;23.025926;82.714286;
82188;31/12/2016;0000;5;0.726926;2.5722;175.2;5.026882;;256.6;32.574194;22.751613;87.225806;
82188;31/01/2017;0000;0;0.666667;2;107.8;6.139785;;369.6;32.367742;22.235484;86.620968;
82188;28/02/2017;0000;0;0.607143;2;47.9;5.202381;;497.2;31.814286;22.735714;86.955357;
82188;31/03/2017;0000;0;0.602151;2;90.4;5.849462;;401.2;32.535484;22.506452;85.58871;
82188;30/04/2017;0000;0;0.666667;2;93.7;5.333333;;374.6;32.58;22.826667;85.316667;
82188;31/05/2017;0000;0;0.677419;2;171;5.44086;;238.8;33.496774;22.996774;82.741935;
82188;30/06/2017;0000;0;0.644444;1;194.5;5.311111;;127.6;33.873333;23.226667;81.166667;
82188;31/07/2017;0000;9;0.784946;2;233.1;5.107527;;105.6;33.574194;23.319355;83.153226;
82188;31/08/2017;0000;9;0.717204;2;231.4;5.11828;;25.3;34.109677;23.280645;81.217742;
82188;30/09/2017;0000;9;0.766667;2;160.1;5.222222;;36.4;33.226667;23.153333;82.466667;
82188;31/10/2017;0000;5;0.784946;2;196.6;5.376344;;118.2;33.1;23.016129;82.854839;
82188;30/11/2017;0000;0;0.7;2;209.5;5.522222;;76.4;33.66;23.186667;80.891667;
82188;31/12/2017;0000;9;0.686022;2;80.3;5.086022;;206.6;32.593548;22.925806;85.185484;
82188;31/01/2018;0000;0;0.731183;2;130.7;5.924731;;200.4;32.825806;22.777419;83.580645;
82188;28/02/2018;0000;0;0.642857;2;74.3;5.011905;;307;31.457143;22.753571;86.383929;
82188;31/03/2018;0000;0;0.688172;2;118.5;5.989247;;255.6;32.335484;22.7;84.314516;
82188;30/04/2018;0000;0;0.633333;2;66.8;5.177778;;264.8;32.02;22.863333;85.166667;
82188;31/05/2018;0000;0;0.612903;2;122.5;5.612903;;259.9;32.387097;22.854839;83.806452;
82188;30/06/2018;0000;0;0.744444;2;197.2;5.2;;143.4;33.163333;23.013333;82.458333;
82188;31/07/2018;0000;0;0.741935;2;174.4;5.11828;;68.2;32.909677;23.106452;82.822581;
82188;31/08/2018;0000;5;0.72043;2;249.4;5.419355;;45.6;33.516129;23.016129;80.766129;
82188;30/09/2018;0000;5;0.776667;2;173.7;5.177778;;80;33.22;23.113333;82.916667;
82188;31/10/2018;0000;5;0.752688;1;252.2;5.354839;;34.2;34.025806;23.248387;79.387097;
82188;30/11/2018;0000;0;0.644444;2;175;5.333333;;138;33.3;23.39;81.083333;
82188;31/12/2018;0000;0;0.602151;2;75;5.043011;;340;31.825806;23.206452;85.677419;
82188;31/01/2019;0000;5;0.72043;2;119.6;6.139785;;324.4;31.935484;22.054839;87.75;
82188;28/02/2019;0000;5;0.696429;2;79.7;6.5;;312.2;30.421429;22.075;91.392857;
82188;31/03/2019;0000;0;0.612903;1;80.6;5.645161;;355.1;30.774194;22.641935;88.524194;
82188;30/04/2019;0000;0;0.655556;2;83.1;5.855556;;464.8;30.713333;22.58;90.416667;
82188;31/05/2019;0000;0;0.612903;2;92.8;5.322581;;238.6;31.948387;22.954839;85.66129;
82188;30/06/2019;0000;;0.814815;2;191.4;5.411111;;225;33.08;22.863333;83.516667;
82188;31/07/2019;0000;9;0.784946;2;201.7;5.268817;;124.9;32.829032;23.096774;83.185484;
82188;31/08/2019;0000;5;0.771739;2;252.5;5.419355;;78;33.651613;23.080645;81.274194;
82188;30/09/2019;0000;5;0.8;1;247.9;5.233333;;31.8;33.693333;23.266667;81.191667;
