Latitude  (graus) : -14.06
Longitude (graus) : -42.48
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83339;31/01/2016;0000;9;;;127;7.365591;;401;;20.63871;79.032258;
83339;29/02/2016;0000;9;;;285.6;3.505747;;14;;19.668966;60.422414;
83339;31/03/2016;0000;9;;;284.2;3.884409;;0;;20.074194;59.233871;
83339;30/04/2016;0000;9;;;258.2;3.430556;;0.6;;19.22;54.7;
83339;31/05/2016;0000;9;;;259.7;3.369565;;0.2;;18.125806;55.346774;
83339;30/06/2016;0000;9;;;230.4;3.541667;;10.9;;17.136667;58.308333;
83339;31/07/2016;0000;9;;;267.6;3.024194;;5.3;;15.880645;59.483871;
83339;31/08/2016;0000;9;;;258.4;3.736559;;5.3;;16.648387;55.903226;
83339;30/09/2016;0000;9;;;253.6;3.263889;;3.6;;17.196667;53.45;
83339;31/10/2016;0000;9;;;259.8;4.287634;;7.7;;19.180645;53.927419;
83339;30/11/2016;0000;9;;;195.8;5.486111;;209.4;;19.133333;63.983333;
83339;31/12/2016;0000;9;;;224.2;5.322581;;63.4;;19.577419;68.370968;
83339;31/01/2017;0000;9;;;317.7;3.83871;;5.4;;19.493548;55.443548;
83339;28/02/2017;0000;9;;;173.7;6.130952;;84.5;;19.492857;70.044643;
83339;31/03/2017;0000;9;;;246.4;4.698925;;121.1;;19.736667;60.08871;
83339;30/04/2017;0000;9;;;240.8;4.622222;;55;;18.846667;71.775;
83339;31/05/2017;0000;9;;;212.8;4.384615;;26.5;;17.777419;69.33871;
83339;30/06/2017;0000;9;;;221.4;3.488889;;10.2;;16.416667;64.733333;
83339;31/07/2017;0000;9;;;178;5.73913;;38;;14.232258;69.604839;
83339;31/08/2017;0000;9;;;277.3;2.849462;;7.8;;15.154839;56.895161;
83339;30/09/2017;0000;9;;;238.1;4.305556;;9;;15.906667;55.916667;
83339;31/10/2017;0000;9;;;277.9;3.037634;;0.6;;18.035484;45.370968;
83339;30/11/2017;0000;9;;;179.8;6.027778;;122;;18.906667;66.55;
83339;31/12/2017;0000;9;;;189.2;6.182796;;140.5;;19.413333;70.508065;
83339;31/01/2018;0000;9;;;249.8;4.986559;;77;;19.306452;62.193548;
83339;28/02/2018;0000;9;;;172.7;6.130952;;102.4;;19.510714;74.598214;
83339;31/03/2018;0000;14;;;214.8;5.456989;;78.7;;19.741935;71.387097;
83339;30/04/2018;0000;9;;;209.8;5.375;;15.8;;18.55;64.075;
83339;31/05/2018;0000;9;;;226.6;4.596774;;18;;17.777419;63.645161;
83339;30/06/2018;0000;9;;;225.3;4.152778;;21.8;;16.77;65.991667;
83339;31/07/2018;0000;9;;;266.8;2.889785;;10.2;;15.483871;60.282258;
83339;31/08/2018;0000;9;;;254.5;3.387097;;10.2;;16.916129;54.645161;
83339;30/09/2018;0000;9;;;285.6;2.625;;1;;17.65;46.25;
83339;31/10/2018;0000;9;;;220.8;4.502688;;34.5;;19.351613;53.233871;
83339;30/11/2018;0000;9;;;190.1;6.25;;126.9;;19.026667;68.25;
83339;31/12/2018;0000;9;;;164.2;5.94086;;121.2;;19.163333;73.943548;
83339;31/01/2019;0000;14;;;280.4;4.22043;;0;;19.248387;53.870968;
83339;28/02/2019;0000;9;;;203.6;5.401786;;116.4;;20.807143;63.794643;
83339;31/03/2019;0000;9;;;250.4;5.107527;;117.4;;20.477419;62.354839;
83339;30/04/2019;0000;9;;;243.6;4.5;;63.2;;19.866667;69.208333;
83339;31/05/2019;0000;14;;;230.8;4.435484;;4.2;;19.193548;66.120968;
83339;31/07/2019;0000;9;;;259.2;3.722826;;8.8;;15.4;57.475806;
83339;31/08/2019;0000;;;;;;;0;;;;
