Latitude  (graus) : -2.25
Longitude (graus) : -49.5
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82263;31/01/2016;0000;2;2.967742;5;170.1;7.688172;;320.1;33.083871;24.4;85.387097;
82263;29/02/2016;0000;2;2.965517;5;187.5;7.666667;;289.7;33.065517;23.855172;86.633929;
82263;31/03/2016;0000;2;2.677419;5;175.8;7.967742;;494.1;32.541935;24.129032;87.491667;
82263;30/04/2016;0000;2;2.577778;4;181.9;7.733333;;447.1;33.266667;24.386667;87.566667;
82263;31/05/2016;0000;2;2.870968;5;256.7;6.483871;;299.2;33.545161;24.370968;83.072581;
82263;30/06/2016;0000;2;2.566667;4;269.5;5.033333;;122.5;33.356667;23.8;80.95;
82263;31/07/2016;0000;2;2.72043;4;280.7;4.354839;;70.8;33.541935;24.009677;80.330645;
82263;31/08/2016;0000;2;2.666667;4;292.5;3.849462;;26;34.206452;24.358065;78.541667;
82263;30/09/2016;0000;2;3.133333;4;262.3;4.911111;;63.4;34.32;24.636667;77.698276;
82263;31/10/2016;0000;2;3.505376;4;264.4;5.27957;;34.1;34.354839;24.764516;76.975806;
82263;30/11/2016;0000;2;3.471111;4;233.3;5.522222;;51;34.246667;25.236667;75.232143;
82263;31/12/2016;0000;2;3.594927;5.1444;202.8;7.325269;;607.2;33.364516;24.122581;81.427419;
82263;31/01/2017;0000;2;2.350538;5;155;8.419355;;473.1;31.787097;23.093548;88.209677;
82263;28/02/2017;0000;2;2.357143;4;135.5;8.52381;;577.8;31.617857;23.385714;87.464286;
82263;31/03/2017;0000;2;2.634409;4;175.6;8;;506.8;32.025806;23.496774;86.814516;
82263;30/04/2017;0000;2;2.555556;4;202.4;7.722222;;195.1;32.77;23.95;85.75;
82263;31/05/2017;0000;2;2.591398;5;251.5;6.430108;;313.8;33.535484;24.406452;83.637097;
82263;30/06/2017;0000;2;2.522222;4;253.4;5.377778;;106.1;33.59;24.666667;80.3;
82263;31/07/2017;0000;2;2.311828;4;287.6;3.258065;;47.5;33.551613;23.951613;77.217742;
82263;31/08/2017;0000;2;2.580645;5;305.8;3.774194;;18.6;33.974194;24.783871;76.443548;
82263;30/09/2017;0000;2;3.055556;5;270.8;5.222222;;78.3;34.236667;24.533333;77.183333;
82263;31/10/2017;0000;2;3.537634;5;259.3;5.989247;;37.5;33.86129;24.487097;76.596774;
82263;30/11/2017;0000;2;3.611111;4;234.9;5.5;;0.2;34.363333;25.193333;73.1;
82263;31/12/2017;0000;2;3.311828;4;176.2;6.752688;;227.3;33.590323;24.483871;80.895161;
82263;31/01/2018;0000;2;2.752688;4;220.5;7.032258;;264.2;32.929032;23.56129;88.112903;
82263;28/02/2018;0000;2;2.559524;4;95;8.452381;;509.9;31.239286;23.528571;90.133929;
82263;31/03/2018;0000;2;1.978495;5;180.7;7.774194;;343.5;33.051613;24.23871;87.193548;
82263;30/04/2018;0000;2;2.38;6;168.7;7.955556;;457.7;32.64;23.586667;88.675;
82263;31/05/2018;0000;2;2.752688;4;196.5;7.387097;;366.8;33.13871;23.880645;87.725806;
82263;30/06/2018;0000;2;2.255556;4;265.4;4.488889;;151.1;34.076667;24.456667;83.35;
82263;31/07/2018;0000;2;2.172043;4;270.2;4.870968;;79.3;33.706452;24.190323;82.387097;
82263;31/08/2018;0000;5;2.623656;5;289.7;5;;125.8;33.651613;23.809677;82.919355;
82263;30/09/2018;0000;2;2.844444;5;275.5;4.788889;;22.1;;24.546667;80.525;
82263;31/10/2018;0000;2;3.752688;4;303.8;4.419355;;5.3;;25.164516;75.935484;
82263;30/11/2018;0000;2;3.788889;4;242.6;5.966667;;234.3;;25.24;76.366667;
82263;31/12/2018;0000;2;3.398925;5;152.9;7.913978;;412;;23.470968;88.008065;
82263;31/01/2019;0000;2;3.365591;5;188.6;7.623656;;508.6;;23.083871;87.717742;
82263;28/02/2019;0000;2;2.47619;5;121.7;8.285714;;436.8;;23.435714;89.803571;
82263;31/03/2019;0000;2;2.365591;4;149.7;8.451613;;471.6;30.853333;23.56129;90.475806;
82263;30/04/2019;0000;2;2.155556;4;163.1;8.088889;;652.7;30.99;24.02;91.133333;
82263;31/05/2019;0000;2;2.806452;4;209;7.215054;;384.8;32.209677;24.203226;88.782258;
82263;30/06/2019;0000;2;2.468889;4;263.6;5.522222;;144.1;33.526667;24.64;82.55;
82263;31/07/2019;0000;2;2.376344;4;279.7;5.064516;;116.4;33.403226;24.248387;82.024194;
82263;31/08/2019;0000;2;2.591398;5;278.8;4.870968;;44;33.793548;24.574194;80.967742;
82263;30/09/2019;0000;2;2.8;5;293.8;4.188889;;19.7;33.803333;24.65;80.333333;
