Latitude  (graus) : -7.22
Longitude (graus) : -35.88
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82795;31/01/2016;0000;9;3.520225;5.8;149.1;8;;127.5;29.016667;20.753333;83.291667;
82795;29/02/2016;0000;;3.684211;4.8;;;;20.4;30.110526;20.815789;79.097222;
82795;31/03/2016;0000;;3.498695;5.1444;;;;24.4;30.590476;20.84;79.154762;
82795;30/04/2016;0000;9;3.358311;5.1444;177.6;7.55618;;101.8;29.003333;20.603448;81.65;
82795;31/05/2016;0000;14;3.097823;5.1444;183.5;7.043011;;79.1;27.577419;19.932258;83.58871;
82795;30/06/2016;0000;14;3.406736;5.1444;213.5;5.805556;;25.8;27.873333;19.153333;79.9;
82795;31/07/2016;0000;14;3.164924;5.65884;206.8;6.725543;;18.5;28.146667;17.945161;77.683333;
82795;31/08/2016;0000;14;3.522796;5.1444;247.4;6.168478;;8.8;29.073333;17.922581;72.645161;
82795;30/09/2016;0000;9;3.60686;5.1444;242.2;5.926966;;14.3;29.831034;18.583333;72.301724;
82795;31/10/2016;0000;9;3.949572;5.65884;286.4;5.47043;;3.2;30.964516;19.348387;69.024194;
82795;30/11/2016;0000;9;3.783992;5.65884;264.4;5.930556;;0;31.106667;19.806667;69.875;
82795;31/12/2016;0000;;3.576583;5.1444;;;;11.7;31.35;20.238095;72.875;
82795;31/01/2017;0000;;3.629032;5;;;;14.1;31.071429;20.519048;76.297619;
82795;28/02/2017;0000;9;3.99881;4.8;219.2;6.321429;;2.7;31.35;20.832143;73.785714;
82795;31/03/2017;0000;9;3.898925;5.5;210.7;7.16129;;43.9;30.864516;21.167742;77.548387;
82795;30/04/2017;0000;;3.345781;4.3;;;;89;29.67619;21.015;79.175;
82795;31/05/2017;0000;23;3.113978;5;166.4;7.516129;;55.7;28.190323;20.183871;82.443548;
82795;30/06/2017;0000;23;2.957778;5.3;131.9;8.188889;;101.7;26.366667;19.366667;85.358333;
82795;31/07/2017;0000;18;2.723656;5.3;64.1;9.032258;;193.9;24.119355;17.603226;89.467742;
82795;31/08/2017;0000;18;3.196774;5;209.8;6.806452;;22.8;26.864516;17.777419;80.137097;
82795;30/09/2017;0000;18;3.63;5;205.6;6.866667;;40.1;27.813333;17.66;76.783333;
82795;31/10/2017;0000;14;3.832258;5.5;241.2;6.397849;;30.3;29.196774;18.906452;74.266129;
82795;30/11/2017;0000;14;3.95;5.3;248.3;5.888889;;3.9;30.616667;19.64;71.666667;
82795;31/12/2017;0000;;3.826984;5.5;;;;0.5;31.342857;20.333333;71.625;
82795;31/01/2018;0000;14;3.641304;5.1;180.2;7.23913;;64.2;30.506452;20.432258;74.419355;
82795;28/02/2018;0000;;3.792157;5.1;;;;77.6;30.247059;20.611765;75.808824;
82795;31/03/2018;0000;14;3.235484;5;209.1;7.172043;;65.4;29.56129;20.476667;82.266129;
82795;30/04/2018;0000;18;2.776667;4.5;141.8;8.388889;;182.5;27.746667;20.083333;86.425;
82795;31/05/2018;0000;18;2.795556;4.3;148.8;7.377778;;110.2;27.16;19.258065;82.663793;
82795;30/06/2018;0000;18;3.126085;5.1;159;7.069767;;38.2;26.5;18.243333;82.473214;
82795;31/07/2018;0000;18;3.074194;4.3;183.4;6.645161;;34;26.903226;17.725806;79.064516;
82795;31/08/2018;0000;14;3.5;5;228.9;6.193548;;10.4;28.745161;18.312903;74.508065;
82795;30/09/2018;0000;;3.696667;5;;;;3.4;29.42;18.78;73.5625;
82795;31/10/2018;0000;9;4.012903;6.3;280;5.430108;;2.1;31.083871;19.751613;74.919355;
82795;30/11/2018;0000;14;3.937778;5.1;246.3;6.577778;;2.7;31.173333;20.406667;75.816667;
82795;31/12/2018;0000;14;3.257143;5.5;231.9;6.011905;;28.7;31.064516;20.193548;77.909091;
82795;31/01/2019;0000;9;3.651087;6.5;241.1;6.5;;11.2;31.787097;20.66129;75.058333;
82795;28/02/2019;0000;9;3.088836;5.1444;164.8;7.508929;;75.2;30.311111;21.3;82.339286;
82795;31/03/2019;0000;14;3.143172;4.62996;173.4;7.197802;;39.6;30.223333;21.225806;81.566667;
82795;30/04/2019;0000;14;3.309564;6.17328;222.5;7.166667;;87.9;29.92;20.963333;83.633333;
82795;31/05/2019;0000;9;3.440663;5.65884;200.3;6.975806;;28.8;29.629032;20.725806;84.25;
82795;30/06/2019;0000;14;3.85541;7.7166;167.8;6.713483;;118;27.506897;19.306667;85.293103;
82795;31/07/2019;0000;14;3.565844;6.17328;104.1;7.928082;;162.1;25.532;18.544;90.06;
82795;31/08/2019;0000;14;4.087862;7.7166;181.3;7.405914;;73;25.787097;17.841935;86.879032;
82795;30/09/2019;0000;14;4.498492;7.7166;209;6.666667;;29.2;27.783333;18.59;83.558333;
