Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
83714,31/01/2016,0,,,,,8.019231,,292.5,21.957692,13.772727,,-22.75,-45.6,Mata Atlântica
83714,29/02/2016,0,,,,,7.12,,210.4,23.016,13.82,,-22.75,-45.6,Mata Atlântica
83714,31/03/2016,0,,,,,,,93.2,,,,-22.75,-45.6,Mata Atlântica
83714,30/04/2016,0,,,,,4.019231,,37.3,21.069231,10.527273,,-22.75,-45.6,Mata Atlântica
83714,31/05/2016,0,,,,,6.3076919999999985,,84.1,16.757692000000002,8.742857,,-22.75,-45.6,Mata Atlântica
83714,30/06/2016,0,,,,,4.480769,,173.0,15.45,6.309091,,-22.75,-45.6,Mata Atlântica
83714,31/07/2016,0,,,,,2.730769,,0.0,17.723077,6.736364,,-22.75,-45.6,Mata Atlântica
83714,31/08/2016,0,,,,,3.907407,,45.0,18.051852,6.763636,,-22.75,-45.6,Mata Atlântica
83714,30/09/2016,0,,,,,3.788462,,65.5,20.630769,8.718182,,-22.75,-45.6,Mata Atlântica
83714,31/10/2016,0,,,,,6.75,,125.6,21.115385,11.12381,,-22.75,-45.6,Mata Atlântica
83714,30/11/2016,0,,,,,7.6538460000000015,,226.5,21.123077,11.372727,,-22.75,-45.6,Mata Atlântica
83714,31/12/2016,0,,,,,6.3333330000000005,,146.2,23.122222,11.93913,,-22.75,-45.6,Mata Atlântica
83714,31/01/2017,0,,,,,8.519231,,261.2,21.703846,13.238095,,-22.75,-45.6,Mata Atlântica
83714,28/02/2017,0,,,,,6.291667,,106.7,22.558333,11.82,,-22.75,-45.6,Mata Atlântica
83714,31/03/2017,0,,,,,,,15.2,,,,-22.75,-45.6,Mata Atlântica
83714,30/04/2017,0,,,,,6.94,,107.4,18.528,9.971429,,-22.75,-45.6,Mata Atlântica
83714,31/05/2017,0,,,,,5.407407,,138.1,16.688889,7.181817999999999,,-22.75,-45.6,Mata Atlântica
83714,30/06/2017,0,,,,,3.788462,,32.0,16.230769,5.4272730000000005,,-22.75,-45.6,Mata Atlântica
83714,31/07/2017,0,,,,,,,4.0,17.754545,,,-22.75,-45.6,Mata Atlântica
83714,31/08/2017,0,,,,,4.194444,,51.3,20.35,7.5043479999999985,,-22.75,-45.6,Mata Atlântica
83714,30/09/2017,0,,,,,1.980769,,81.3,24.665385,8.142308,,-22.75,-45.6,Mata Atlântica
83714,31/10/2017,0,,,,,,,56.2,,,,-22.75,-45.6,Mata Atlântica
83714,31/03/2018,0,,,,,,,52.3,,,,-22.75,-45.6,Mata Atlântica
83714,30/04/2018,0,,,,,4.795918,,65.8,22.28,9.64,,-22.75,-45.6,Mata Atlântica
83714,31/05/2018,0,,,,,3.814815,,21.3,20.751852,7.691667,,-22.75,-45.6,Mata Atlântica
83714,30/06/2018,0,,,,,5.961538,,19.5,19.37037,8.286364,,-22.75,-45.6,Mata Atlântica
83714,31/07/2018,0,,,,,2.788462,,14.0,19.680769,5.995238,,-22.75,-45.6,Mata Atlântica
83714,31/08/2018,0,,,,,4.814815,,123.0,19.626923,7.1521740000000005,,-22.75,-45.6,Mata Atlântica
83714,30/09/2018,0,,,,,5.166667,,94.9,21.525,9.957143,,-22.75,-45.6,Mata Atlântica
83714,31/10/2018,0,,,,,,,114.9,,,,-22.75,-45.6,Mata Atlântica
83714,30/11/2018,0,,,,,8.5,,223.1,21.215385,12.372727,,-22.75,-45.6,Mata Atlântica
83714,31/12/2018,0,,,,,6.403061,,281.1,,12.589474,,-22.75,-45.6,Mata Atlântica
83714,31/01/2019,0,,,,,5.518868,,200.3,,13.872727,,-22.75,-45.6,Mata Atlântica
83714,28/02/2019,0,,,,,,,281.7,,13.564706,,-22.75,-45.6,Mata Atlântica
83714,31/03/2019,0,,,,,,,222.5,,,,-22.75,-45.6,Mata Atlântica
