Latitude  (graus) : -22.75
Longitude (graus) : -45.6
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83714;31/01/2016;0000;;;;;8.019231;;292.5;21.957692;13.772727;;
83714;29/02/2016;0000;;;;;7.12;;210.4;23.016;13.82;;
83714;31/03/2016;0000;;;;;;;93.2;;;;
83714;30/04/2016;0000;;;;;4.019231;;37.3;21.069231;10.527273;;
83714;31/05/2016;0000;;;;;6.307692;;84.1;16.757692;8.742857;;
83714;30/06/2016;0000;;;;;4.480769;;173;15.45;6.309091;;
83714;31/07/2016;0000;;;;;2.730769;;0;17.723077;6.736364;;
83714;31/08/2016;0000;;;;;3.907407;;45;18.051852;6.763636;;
83714;30/09/2016;0000;;;;;3.788462;;65.5;20.630769;8.718182;;
83714;31/10/2016;0000;;;;;6.75;;125.6;21.115385;11.12381;;
83714;30/11/2016;0000;;;;;7.653846;;226.5;21.123077;11.372727;;
83714;31/12/2016;0000;;;;;6.333333;;146.2;23.122222;11.93913;;
83714;31/01/2017;0000;;;;;8.519231;;261.2;21.703846;13.238095;;
83714;28/02/2017;0000;;;;;6.291667;;106.7;22.558333;11.82;;
83714;31/03/2017;0000;;;;;;;15.2;;;;
83714;30/04/2017;0000;;;;;6.94;;107.4;18.528;9.971429;;
83714;31/05/2017;0000;;;;;5.407407;;138.1;16.688889;7.181818;;
83714;30/06/2017;0000;;;;;3.788462;;32;16.230769;5.427273;;
83714;31/07/2017;0000;;;;;;;4;17.754545;;;
83714;31/08/2017;0000;;;;;4.194444;;51.3;20.35;7.504348;;
83714;30/09/2017;0000;;;;;1.980769;;81.3;24.665385;8.142308;;
83714;31/10/2017;0000;;;;;;;56.2;;;;
83714;31/03/2018;0000;;;;;;;52.3;;;;
83714;30/04/2018;0000;;;;;4.795918;;65.8;22.28;9.64;;
83714;31/05/2018;0000;;;;;3.814815;;21.3;20.751852;7.691667;;
83714;30/06/2018;0000;;;;;5.961538;;19.5;19.37037;8.286364;;
83714;31/07/2018;0000;;;;;2.788462;;14;19.680769;5.995238;;
83714;31/08/2018;0000;;;;;4.814815;;123;19.626923;7.152174;;
83714;30/09/2018;0000;;;;;5.166667;;94.9;21.525;9.957143;;
83714;31/10/2018;0000;;;;;;;114.9;;;;
83714;30/11/2018;0000;;;;;8.5;;223.1;21.215385;12.372727;;
83714;31/12/2018;0000;;;;;6.403061;;281.1;;12.589474;;
83714;31/01/2019;0000;;;;;5.518868;;200.3;;13.872727;;
83714;28/02/2019;0000;;;;;;;281.7;;13.564706;;
83714;31/03/2019;0000;;;;;;;222.5;;;;
