Latitude  (graus) : -20.51
Longitude (graus) : -41.9
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83639;31/01/2016;0000;0;0.654348;3.1;168.9;7.423913;;211;28.367742;18.751613;78.201613;
83639;29/02/2016;0000;0;0.503448;2.1;250.9;5.712644;;58.9;31.103448;18.551724;73.198276;
83639;31/03/2016;0000;0;0.486957;5.1;213.4;6.532609;;162;29.651613;18.225806;79.072581;
83639;30/04/2016;0000;0;0.29;2.6;236.9;4.622222;;35.6;29.06;15.56;76.95;
83639;31/05/2016;0000;0;0.258065;1.5;194.7;5.290323;;21.6;25.870968;13.825806;79.366667;
83639;30/06/2016;0000;0;0.173333;2.1;138.3;6.077778;;74;22.79;11.293333;83.766667;
83639;31/07/2016;0000;0;0.26087;1.5;217.1;3.891304;;2.9;24.825806;11.245161;80.025;
83639;31/08/2016;0000;0;0.616129;3.1;236;4.064516;;12.7;25.96129;12.176667;72.783333;
83639;30/09/2016;0000;0;0.482022;3.1;195.5;5.044944;;66.3;26.496667;15.273333;73.85;
83639;31/10/2016;0000;0;0.567742;2.6;143.5;7.322581;;81.9;25.2;16.948387;78.040323;
83639;30/11/2016;0000;0;0.582222;3.1;149.6;7.577778;;268.4;25.776667;17.666667;79.216667;
83639;31/12/2016;0000;0;0.665591;7.2;200.8;7.11828;;317.6;27.974194;18.096774;80.058333;
83639;31/01/2017;0000;0;0.595699;6.2;258.2;5.817204;;149.9;28.390323;18.322581;74.137097;
83639;28/02/2017;0000;0;0.414286;3.1;175.3;7.154762;;105.3;28.367857;18.314286;79.026786;
83639;31/03/2017;0000;0;0.592473;2.1;216.8;5.655914;;99.6;27.441935;16.909677;78;
83639;30/04/2017;0000;0;0.661111;4.6;182.1;5.888889;;80.7;25.86;16.146667;80;
83639;31/05/2017;0000;0;0.376087;2.1;167.8;5.836957;;47.3;23.512903;13.067742;82.741935;
83639;30/06/2017;0000;0;0.641111;4.6;194.9;4.133333;;4.8;23.673333;12.5;80.666667;
83639;31/07/2017;0000;0;0.45914;4.1;163.8;4.903226;;6.5;21.474194;9;80.314516;
83639;31/08/2017;0000;0;0.533333;4.6;202.7;4.268817;;0;23.777419;10.719355;74.709677;
83639;30/09/2017;0000;0;0.8;3.1;231.8;3.722222;;12.2;25.413333;12.726667;67.091667;
83639;31/10/2017;0000;0;0.64086;2.6;206.2;5.545699;;55.4;27.567742;16.574194;68.290323;
83639;30/11/2017;0000;0;0.625556;4.6;128.8;7.8;;304.7;25.046667;17.286667;77.483333;
83639;31/12/2017;0000;0;0.598925;4.1;152;7.5;;292.6;26.464516;18.477419;79.846774;
83639;31/01/2018;0000;0;0.393478;3.1;230.9;6.565217;;147.2;28.835484;18.56129;73.822581;
83639;28/02/2018;0000;0;0.385542;1.5;133.4;8.114458;;210.1;27.071429;18.792857;79.8125;
83639;31/03/2018;0000;0;0.25914;2.1;177.4;7.204301;;406.3;28.335484;19.103226;81.733871;
83639;30/04/2018;0000;0;0.428889;3.1;135.9;6.888889;;155.6;25.336667;16.46;82.908333;
83639;31/05/2018;0000;0;0.415054;2.6;181.2;4.967742;;35.7;24.209677;12.535484;82.435484;
83639;30/06/2018;0000;0;0.225843;3.6;140.6;6.191011;;0;23.82;13.653333;82.808333;
83639;31/07/2018;0000;0;0.323656;2.1;206.2;4.043011;;1.6;23.980645;10.206452;80.112903;
83639;31/08/2018;0000;0;0.504301;3.1;137.3;6.258065;;73;23.583871;12.967742;81.798387;
83639;30/09/2018;0000;0;0.601124;3.1;177;5.573034;;53.9;25.182759;14.693333;76.793103;
83639;31/10/2018;0000;0;0.495699;3.6;133.8;7.645161;;141.1;;17.4;79.508065;
83639;30/11/2018;0000;0;0.685556;3.1;125.1;8.3;;164.7;;17.62;78.5;
83639;31/12/2018;0000;0;0.792473;4.1;181.2;7.172043;;248.5;;17.906452;78.91129;
83639;31/01/2019;0000;0;0.486022;3.1;301.6;4.473118;;7.8;;18.219355;70.274194;
83639;28/02/2019;0000;0;0.436905;3.1;170.8;6.904762;;180.6;;18.871429;77.508929;
83639;31/03/2019;0000;0;0.63871;4.1;191;6.72043;;158.8;;18.464516;79.032258;
83639;30/04/2019;0000;0;0.338889;1;169.6;5.6;;149.4;;17.753333;82.241667;
83639;31/05/2019;0000;0;0.405435;3.1;188.6;5;;23.5;;15.425806;83.217742;
83639;30/06/2019;0000;0;0.356667;2.1;189.2;4.944444;;3.5;;12.26;80.225;
83639;31/07/2019;0000;0;0.379725;2.1;237.1;3.290323;;0;;8.335484;76.274194;
83639;31/08/2019;0000;0;0.743011;3.1;203.8;4.978495;;14.1;;11.767742;75.16129;
83639;30/09/2019;0000;0;0.619101;2.6;168.6;4.606742;;21.4;;14.8;72.034483;
