Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
83592,31/01/2016,0,36,1.688172,4.0,157.9,7.666666999999999,,260.4,29.177419,20.090323,82.08064499999998,-19.73,-42.13,Mata Atlântica
83592,29/02/2016,0,36,1.563218,4.0,250.6,5.781609,,10.1,32.468965999999995,20.037931,74.310345,-19.73,-42.13,Mata Atlântica
83592,31/03/2016,0,0,1.204301,4.0,234.0,6.655914,,149.4,31.067742,20.058065,79.08064499999998,-19.73,-42.13,Mata Atlântica
83592,30/04/2016,0,9,1.166667,3.0,274.6,5.133333,,49.2,31.126667,18.483333,73.733333,-19.73,-42.13,Mata Atlântica
83592,31/05/2016,0,0,1.096774,4.0,216.1,5.4301080000000015,,7.7,27.545161,15.567742,81.16935500000002,-19.73,-42.13,Mata Atlântica
83592,30/06/2016,0,0,1.133333,4.0,125.4,5.8,,17.6,25.433333,13.866667,79.908333,-19.73,-42.13,Mata Atlântica
83592,31/07/2016,0,9,1.365591,4.0,230.8,4.387097,,0.0,26.990323,13.445161,72.604839,-19.73,-42.13,Mata Atlântica
83592,31/08/2016,0,9,1.698925,4.0,229.1,4.709677,,0.1,28.393548,14.7,64.725806,-19.73,-42.13,Mata Atlântica
83592,30/09/2016,0,9,1.788889,4.0,179.7,5.7,,69.7,28.963333,17.186667,65.591667,-19.73,-42.13,Mata Atlântica
83592,31/10/2016,0,9,1.763441,4.0,153.4,6.7741940000000005,,33.2,28.651613,18.680645,69.653226,-19.73,-42.13,Mata Atlântica
83592,30/11/2016,0,36,1.533333,3.0,144.2,7.488889,,257.0,28.323333,18.78,76.19166700000002,-19.73,-42.13,Mata Atlântica
83592,31/12/2016,0,36,1.516129,3.0,194.1,7.376344,,165.9,29.716129,19.441935,77.072581,-19.73,-42.13,Mata Atlântica
83592,31/01/2017,0,36,1.322581,3.0,258.6,6.258065,,96.1,31.119355,19.748387,70.951613,-19.73,-42.13,Mata Atlântica
83592,28/02/2017,0,9,1.404762,3.0,183.6,6.666667,,123.3,29.821429,19.675,78.1875,-19.73,-42.13,Mata Atlântica
