Latitude  (graus) : -19.73
Longitude (graus) : -42.13
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83592;31/01/2016;0000;36;1.688172;4;157.9;7.666667;;260.4;29.177419;20.090323;82.080645;
83592;29/02/2016;0000;36;1.563218;4;250.6;5.781609;;10.1;32.468966;20.037931;74.310345;
83592;31/03/2016;0000;0;1.204301;4;234;6.655914;;149.4;31.067742;20.058065;79.080645;
83592;30/04/2016;0000;9;1.166667;3;274.6;5.133333;;49.2;31.126667;18.483333;73.733333;
83592;31/05/2016;0000;0;1.096774;4;216.1;5.430108;;7.7;27.545161;15.567742;81.169355;
83592;30/06/2016;0000;0;1.133333;4;125.4;5.8;;17.6;25.433333;13.866667;79.908333;
83592;31/07/2016;0000;9;1.365591;4;230.8;4.387097;;0;26.990323;13.445161;72.604839;
83592;31/08/2016;0000;9;1.698925;4;229.1;4.709677;;0.1;28.393548;14.7;64.725806;
83592;30/09/2016;0000;9;1.788889;4;179.7;5.7;;69.7;28.963333;17.186667;65.591667;
83592;31/10/2016;0000;9;1.763441;4;153.4;6.774194;;33.2;28.651613;18.680645;69.653226;
83592;30/11/2016;0000;36;1.533333;3;144.2;7.488889;;257;28.323333;18.78;76.191667;
83592;31/12/2016;0000;36;1.516129;3;194.1;7.376344;;165.9;29.716129;19.441935;77.072581;
83592;31/01/2017;0000;36;1.322581;3;258.6;6.258065;;96.1;31.119355;19.748387;70.951613;
83592;28/02/2017;0000;9;1.404762;3;183.6;6.666667;;123.3;29.821429;19.675;78.1875;
83592;31/03/2017;0000;9;1.204301;3;242.4;6.397849;;94;30.067742;18.590323;77.08871;
83592;30/04/2017;0000;0;1.133333;3;180.2;6.344444;;67.1;28.136667;17.696667;78.633333;
83592;31/05/2017;0000;9;1.215054;3;169.9;6.451613;;20.6;26.083871;15.783871;80.766129;
83592;30/06/2017;0000;0;0.955556;2;191.1;4.877778;;17.9;26.393333;13.506667;79.433333;
83592;31/07/2017;0000;9;1.376344;3;177.3;5.731183;;5.3;24.216129;11.7;74.774194;
83592;31/08/2017;0000;0;1.258065;3;208.7;4.795699;;1.2;26.206452;12.43871;67.919355;
83592;30/09/2017;0000;9;1.822222;3;237.5;5.3;;0.3;28.24;15.753333;61.208333;
83592;31/10/2017;0000;9;1.645161;4;218.5;5.83871;;52.8;30.835484;18.429032;63.306452;
83592;30/11/2017;0000;9;1.388889;3;122.1;7.911111;;212.8;27.796667;18.516667;77.283333;
83592;31/12/2017;0000;36;1.237945;2.1;163;7.553763;;252.7;29.206452;19.819355;77.314516;
83592;31/01/2018;0000;5;1.27957;3;253.2;6.301075;;142.9;31.277419;19.816129;71.153226;
83592;28/02/2018;0000;36;1.107143;3;170.5;7.571429;;239.8;29.25;19.85;79.526786;
83592;31/03/2018;0000;0;1.064516;2;220.6;6.580645;;223.4;30.635484;19.893548;80.717742;
83592;30/04/2018;0000;0;1.177778;2;182.1;6.6;;135.1;27.706667;17.433333;82.8;
83592;31/05/2018;0000;0;1.172043;2;191.2;5.462366;;35.2;26.251613;14.596774;83.346774;
83592;30/06/2018;0000;0;0.955556;2;154.9;5.711111;;1.1;25.61;14.543333;83.583333;
83592;31/07/2018;0000;0;1.11828;2;222.2;4.473118;;1.1;26.174194;12.641935;77.443548;
83592;31/08/2018;0000;9;1.172043;3;143.4;6.225806;;8.3;26.16129;15.151613;74.741935;
83592;30/09/2018;0000;5;1.245086;3;174.1;5.805556;;35.3;28.276667;16.68;71.4;
83592;31/10/2018;0000;5;1.409677;4;156;7.344086;;68.6;29.616129;19.270968;72.024194;
83592;30/11/2018;0000;9;1.491111;4;155.9;7.522222;;85.4;28.243333;18.933333;74.966667;
83592;31/12/2018;0000;36;1.419355;4;178.2;6.795699;;233.6;29.287097;19.235484;77.75;
83592;31/01/2019;0000;36;1.377419;3;301.5;5.129032;;39.1;31.880645;19.867742;69.701613;
83592;28/02/2019;0000;36;1.154762;3;202.7;6.761905;;196;31.407143;20.360714;78.366071;
83592;31/03/2019;0000;32;1.236559;3;228.1;7.032258;;33.7;30.725806;20.216129;77.306452;
83592;30/04/2019;0000;0;1.1;3;212.2;6.233333;;102.3;29.883333;19.46;81.175;
83592;31/05/2019;0000;36;1.096774;3;197.2;5.827957;;60.4;27.929032;17.016129;84.895161;
83592;30/06/2019;0000;5;1.222222;3;186.3;5.533333;;0.4;26.766667;14.503333;85.083333;
83592;31/07/2019;0000;5;1.215054;3;248.5;4.494624;;0.2;26.687097;11.8;74.370968;
83592;31/08/2019;0000;5;1.430108;3;198.4;5.623656;;1.7;27.364516;14.193548;69.862903;
83592;30/09/2019;0000;5;1.622222;4;177.7;5.377778;;21.5;29.073333;16.766667;65.058333;
