Latitude  (graus) : -17.73
Longitude (graus) : -39.25
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83498;31/01/2016;0000;36;2.129671;6.68772;;7.056452;;182.5;30.448387;23.8;83.25;
83498;29/02/2016;0000;5;1.738452;6.17328;;4.109195;;0.4;32.186207;24.127586;79.87931;
83498;31/03/2016;0000;0;1.521194;6.17328;;4.959677;;22.6;32.245161;23.951613;77.983871;
83498;30/04/2016;0000;0;1.303248;5.1444;;5.083333;;49.6;31.29;23.113333;78.833333;
83498;31/05/2016;0000;0;1.594199;6.68772;;5.108696;;125;28.948387;20.748387;83.395161;
83498;30/06/2016;0000;18;2.034896;5.1444;;6.569444;;54.7;26.813333;19.753333;85.966667;
83498;31/07/2016;0000;9;1.593105;5.1444;;5.645161;;86.8;26.819048;19.486364;85.548387;
83498;31/08/2016;0000;0;1.864154;5.1444;;5.94086;;62.5;;;90.524194;
83498;30/09/2016;0000;5;1.920576;5.1444;;5.555556;;20.6;;;87.341667;
83498;31/10/2016;0000;36;2.461568;6.68772;;6.061828;;78.4;;;87.048387;
83498;30/11/2016;0000;36;2.092056;5.1444;;7.416667;;175;;;90.391667;
83498;31/12/2016;0000;36;2.184987;6.17328;;6.344086;;84.3;;;89.701613;
83498;31/01/2017;0000;5;1.669892;4.1;;4.204301;;47.3;;;84.91129;
83498;28/02/2017;0000;0;1.369048;4.1;;6.011905;;85.9;;;86.973214;
83498;31/03/2017;0000;0;1.365625;5;;5.402174;;50.5;;;83.433333;
83498;30/04/2017;0000;18;;;;6.011111;;289.5;;;;
83498;31/05/2017;0000;18;;;;6.322581;;145.4;;;;
83498;30/06/2017;0000;14;;;;4.922222;;110.1;;;;
83498;31/07/2017;0000;14;;;;5.967742;;113.4;;;;
83498;31/08/2017;0000;14;;;;5.645161;;137.9;;;;
83498;30/09/2017;0000;9;;;;6.555556;;75.6;;;;
83498;31/10/2017;0000;9;;;;5.737179;;5.8;;;;
83498;30/11/2017;0000;5;;;;7.375;;137.7;;;;
83498;31/12/2017;0000;5;;;;7.231183;;308.3;;;;
83498;31/01/2018;0000;5;;;;4.569892;;62.2;;;;
83498;28/02/2018;0000;;1.822338;4.11552;;;;175.4;;;;
83498;31/03/2018;0000;;;;201.6;5.357143;;28.6;32.190323;22.370968;78.185484;
83498;30/04/2018;0000;;;;153.8;6.569444;;164.6;30.013333;20.403333;82.333333;
83498;31/05/2018;0000;;;;190.2;6.008065;;125;28.767742;18.974194;82.564516;
83498;30/06/2018;0000;;;;135.8;6.138889;;99.3;28.456667;18.096667;85.591667;
83498;31/07/2018;0000;;;;195.9;5.201613;;56.8;28.503226;16.067742;84.604839;
83498;31/08/2018;0000;;;;190.3;6.008065;;28.4;28.687097;17.232258;80.967742;
83498;30/09/2018;0000;;;;;6.180556;;30.2;28.926667;18.726667;77.066667;
83498;31/10/2018;0000;;;;;6.908602;;241;29.835484;20.387097;79.830645;
83498;30/11/2018;0000;;;;192.2;6.944444;;180.8;29.86;20.806667;81.083333;
83498;31/12/2018;0000;;;;156.6;7.038043;;261.2;30.216129;20.877419;82.443548;
83498;31/01/2019;0000;;;;280.2;4.865591;;12.5;31.816129;21.13871;75.975806;
83498;28/02/2019;0000;;;;262.1;5.044643;;51.2;33.404;21.678571;75.287037;
83498;31/03/2019;0000;;;;240.3;5.896739;;163.9;32.290323;21.296774;77.5;
83498;30/04/2019;0000;;;;224.1;5.236111;;200.4;31.71;20.58;81.191667;
83498;31/05/2019;0000;;;;195.2;5.725806;;89.5;30.564516;19.27;84.508065;
83498;30/06/2019;0000;;;;149.2;6.25;;108.9;29.368966;17.006897;84.362069;
83498;31/07/2019;0000;;;;166.1;6.325301;;58.7;27.693103;15.32069;83.517241;
83498;31/08/2019;0000;;;;162.5;6.733871;;124.6;26.932258;15.190323;;
83498;30/09/2019;0000;;;;195.7;5.60241;;59.8;28.296667;16.034483;78.793478;
