Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83408,31/01/2016,0,5.0,1.914391,4.11552,143.2,8.770491999999999,,625.1,30.833333000000003,22.4,,-14.28,-43.76,Caatinga,2529445000.0
83408,29/02/2016,0,9.0,2.093239,5.1444,304.3,6.357759,,25.9,33.28275900000001,22.272414,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/03/2016,0,9.0,1.958191,4.11552,297.5,6.794355,,6.8,34.977419,22.977419,,-14.28,-43.76,Caatinga,2529445000.0
83408,30/04/2016,0,9.0,2.1435,5.1444,301.2,4.2291669999999995,,0.0,35.196667,21.603333,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/05/2016,0,14.0,1.759053,3.6010800000000005,291.8,6.048387,,0.0,33.925806,20.019354999999997,,-14.28,-43.76,Caatinga,2529445000.0
83408,30/06/2016,0,14.0,1.8005400000000005,5.1444,265.9,6.3125,,1.4,32.423333,18.54,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/07/2016,0,9.0,2.1573290000000003,5.6588400000000005,291.6,3.044355,,0.0,31.970968,17.5,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/08/2016,0,9.0,2.487866,6.17328,323.8,3.8911290000000003,,0.0,33.725806,19.158065,,-14.28,-43.76,Caatinga,2529445000.0
83408,30/09/2016,0,9.0,2.511165,5.1444,287.7,6.1875,,8.0,34.81,21.126667,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/10/2016,0,,,,,,,0.0,,,,-14.28,-43.76,Caatinga,2529445000.0
83408,30/11/2016,0,9.0,2.293182,8.23104,218.7,7.5,,288.8,33.233333,22.844828,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/12/2016,0,14.0,2.2651950000000003,5.1444,257.7,7.439516,,64.9,32.580645000000004,22.48064500000001,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/01/2017,0,9.0,2.480645,5.3,316.4,6.935484,,5.9,36.280645,22.926667000000002,,-14.28,-43.76,Caatinga,2529445000.0
83408,28/02/2017,0,9.0,2.310714,5.0,200.2,8.321429,,37.2,33.439285999999996,22.739286,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/03/2017,0,14.0,1.695313,5.0,269.4,7.4838710000000015,,251.7,33.741935,22.282759,,-14.28,-43.76,Caatinga,2529445000.0
83408,30/04/2017,0,14.0,1.958333,4.1,298.2,5.683333,,5.2,32.77,21.353333,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/05/2017,0,14.0,2.0852459999999997,4.1,283.6,4.7741940000000005,,10.1,33.180645,20.254839,,-14.28,-43.76,Caatinga,2529445000.0
83408,30/06/2017,0,14.0,2.161667,5.0,283.9,2.916667,,0.0,32.333333,18.213333,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/07/2017,0,14.0,3.1967209999999997,5.8,274.8,4.290323,,4.5,29.62,17.322581,,-14.28,-43.76,Caatinga,2529445000.0
83408,31/08/2017,0,14.0,2.243548,6.6,316.4,3.33871,,0.6,32.8,17.103226,,-14.28,-43.76,Caatinga,2529445000.0
83408,30/09/2017,0,14.0,3.4343589999999997,6.68772,303.9,2.520833,,0.0,32.66,20.13,,-14.28,-43.76,Caatinga,2529445000.0
