Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
83813,31/01/2016,0,14.0,1.11828,4.0,164.1,7.27957,,120.3,,17.087097,82.395161,-24.78,-50,Mata Atlântica
83813,29/02/2016,0,0.0,0.816667,2.0,110.5,8.033333,,224.5,,18.328,,-24.78,-50,Mata Atlântica
83813,31/03/2016,0,5.0,0.8703700000000001,2.0,145.2,7.092592999999999,,115.7,,16.12963,,-24.78,-50,Mata Atlântica
83813,30/04/2016,0,0.0,0.435295,2.05776,159.8,5.048076999999998,,97.3,,14.92,,-24.78,-50,Mata Atlântica
83813,31/05/2016,0,0.0,0.5737979999999999,3.08664,53.1,7.959184,,163.4,,10.815385,,-24.78,-50,Mata Atlântica
83813,30/06/2016,0,0.0,0.356151,2.05776,46.7,6.275,,120.9,,6.8076919999999985,,-24.78,-50,Mata Atlântica
83813,31/07/2016,0,0.0,0.427082,3.08664,61.4,5.2864580000000005,,88.7,,7.841667,,-24.78,-50,Mata Atlântica
83813,31/08/2016,0,0.0,0.407669,3.08664,128.1,5.841837,,121.1,,8.704545,,-24.78,-50,Mata Atlântica
83813,30/09/2016,0,0.0,0.910163,5.1444,180.0,4.543269,,13.1,,8.659091,,-24.78,-50,Mata Atlântica
83813,31/10/2016,0,0.0,1.068452,3.08664,85.4,8.028846000000001,,112.9,,13.733332999999998,,-24.78,-50,Mata Atlântica
83813,30/11/2016,0,,,,,,,35.9,,,,-24.78,-50,Mata Atlântica
83813,31/12/2016,0,0.0,0.7145,3.08664,104.9,7.638889,,176.0,26.440741,15.955556,,-24.78,-50,Mata Atlântica
83813,31/01/2017,0,0.0,0.75,2.0,,7.461538000000001,,136.9,27.9,18.161538,,-24.78,-50,Mata Atlântica
83813,28/02/2017,0,0.0,0.458333,3.0,,7.9375,,109.8,28.695833,18.0,,-24.78,-50,Mata Atlântica
83813,31/03/2017,0,0.0,0.777778,4.0,133.7,8.666667,,45.4,26.17037,16.444444,,-24.78,-50,Mata Atlântica
83813,30/04/2017,0,0.0,0.686275,2.0,71.6,7.843137,,117.6,23.636,13.72,,-24.78,-50,Mata Atlântica
83813,31/05/2017,0,0.0,0.584906,2.0,22.6,7.229166999999999,,116.1,22.240741,13.225926,,-24.78,-50,Mata Atlântica
83813,30/06/2017,0,0.0,0.596154,2.0,20.9,6.653061,,179.5,20.226923,10.084615,,-24.78,-50,Mata Atlântica
83813,31/07/2017,0,0.0,0.480769,4.0,,4.857143,,0.2,21.742308,6.715385,,-24.78,-50,Mata Atlântica
83813,31/08/2017,0,,,,,,,0.5,,,,-24.78,-50,Mata Atlântica
83813,30/09/2017,0,0.0,0.6346149999999999,2.0,165.8,4.6923080000000015,,46.2,28.853846,12.530769,,-24.78,-50,Mata Atlântica
83813,31/10/2017,0,0.0,0.8653850000000001,3.0,120.5,7.9423080000000015,,162.4,25.119231,13.176923,,-24.78,-50,Mata Atlântica
83813,30/11/2017,0,5.0,0.980769,3.0,169.7,6.730769,,49.8,26.384615000000004,13.853846,,-24.78,-50,Mata Atlântica
83813,31/12/2017,0,0.0,0.679245,2.0,,7.943396000000001,,264.5,26.196154,16.946154,,-24.78,-50,Mata Atlântica
83813,31/01/2018,0,0.0,0.641509,2.0,,8.415094,,182.5,26.155556,17.433332999999998,,-24.78,-50,Mata Atlântica
83813,28/02/2018,0,0.0,0.583333,2.0,135.0,6.8125,,18.8,26.854167,15.7875,,-24.78,-50,Mata Atlântica
83813,31/03/2018,0,0.0,0.388889,1.0,125.8,7.796296000000001,,128.9,27.959259000000007,17.951852,,-24.78,-50,Mata Atlântica
83813,30/04/2018,0,0.0,0.46,2.0,62.0,5.08,,12.2,27.648000000000003,14.704,,-24.78,-50,Mata Atlântica
83813,31/05/2018,0,0.0,0.518519,2.0,14.0,6.736111,,33.8,24.151852,11.437037,,-24.78,-50,Mata Atlântica
83813,30/06/2018,0,0.0,0.173077,2.0,7.9,7.0625,,72.5,20.384615,9.811538,,-24.78,-50,Mata Atlântica
83813,31/07/2018,0,0.0,0.230769,2.0,18.9,4.808824,,16.7,23.388462,8.215385000000001,,-24.78,-50,Mata Atlântica
83813,31/08/2018,0,0.0,0.907407,2.0,,7.0648149999999985,,44.6,20.940741,8.82963,,-24.78,-50,Mata Atlântica
83813,30/09/2018,0,0.0,0.7450979999999999,2.0,,6.94,,33.0,24.096,12.264,,-24.78,-50,Mata Atlântica
83813,31/10/2018,0,,,,,,,34.6,,,,-24.78,-50,Mata Atlântica
83813,30/11/2018,0,5.0,1.096154,3.0,133.0,8.038461999999999,,9.0,25.95,15.134615,,-24.78,-50,Mata Atlântica
83813,31/12/2018,0,0.0,0.769231,2.0,178.5,6.346154,,118.8,29.134615000000004,16.696154,,-24.78,-50,Mata Atlântica
83813,31/01/2019,0,0.0,0.574074,2.0,185.7,7.3148149999999985,,171.6,29.959259000000007,18.440741,,-24.78,-50,Mata Atlântica
83813,28/02/2019,0,0.0,0.645833,2.0,117.7,7.645833,,131.7,25.970833,16.895833,,-24.78,-50,Mata Atlântica
83813,31/03/2019,0,0.0,0.830189,2.0,111.9,7.849057000000001,,155.0,26.419231,17.157692,,-24.78,-50,Mata Atlântica
83813,30/04/2019,0,0.0,0.5882350000000001,4.0,11.1,7.26,,15.2,26.080769,15.442308,,-24.78,-50,Mata Atlântica
83813,31/05/2019,0,0.0,0.555556,2.0,,7.740741000000001,,154.8,22.125926,13.607407,,-24.78,-50,Mata Atlântica
83813,30/06/2019,0,0.0,0.196078,2.0,,4.488889,,17.3,21.972,10.5,,-24.78,-50,Mata Atlântica
83813,31/07/2019,0,0.0,0.509434,3.0,,4.74,,19.0,21.362963,8.007407,,-24.78,-50,Mata Atlântica
83813,31/08/2019,0,0.0,0.648148,4.0,,5.222222,,8.9,22.385185,8.311111,,-24.78,-50,Mata Atlântica
83813,30/09/2019,0,0.0,0.86,3.0,,7.46,,47.1,24.133333,12.34,,-24.78,-50,Mata Atlântica
