Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83676,31/01/2016,0,5.0,2.0,3.0,84.0,6.150943,,332.8,30.073077,22.611538,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,29/02/2016,0,5.0,1.714286,3.0,103.2,5.857143,,146.9,31.544,23.484,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,31/03/2016,0,5.0,2.018519,3.0,81.7,5.314815,,134.0,30.455556,23.488235,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,30/04/2016,0,5.0,1.961538,5.0,169.9,1.8269229999999999,,12.6,30.792308000000002,23.908333,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,31/05/2016,0,14.0,1.6576919999999995,3.0,159.0,3.865385,,75.8,26.623077000000002,,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,30/06/2016,0,14.0,1.711538,3.0,177.1,3.6730769999999997,,92.1,24.542308,,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,31/07/2016,0,,,,,,,0.0,,,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,31/08/2016,0,14.0,2.150943,5.0,183.3,2.339623,,22.2,28.637037,,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,30/09/2016,0,14.0,2.019231,5.0,162.3,3.115385,,6.6,30.411538,,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,31/10/2016,0,14.0,2.288462,5.0,145.4,3.6538459999999997,,57.8,31.484615,,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,30/11/2016,0,36.0,2.211538,5.0,136.2,5.5192309999999996,,118.9,30.734615,20.307692000000007,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,31/12/2016,0,36.0,1.907407,3.0,136.9,5.555556,,176.8,30.881481,21.522222,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,31/01/2017,0,36.0,1.846154,5.0,88.2,7.538461999999999,,114.1,29.219231,21.508696,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,28/02/2017,0,5.0,1.916667,3.0,184.0,3.895833,,122.9,31.004167,22.23913,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,31/03/2017,0,14.0,1.9259259999999998,3.0,181.6,3.592593,,83.6,30.81481500000001,21.018519,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,30/04/2017,0,14.0,1.8431369999999998,3.0,142.1,4.019608,,146.3,29.104,19.875999999999998,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,31/05/2017,0,14.0,1.867925,3.0,181.3,3.0943400000000003,,79.7,27.511111,18.696296,,-21.11,-48.93,Mata Atlântica,290600000.0
83676,30/06/2017,0,14.0,2.2,5.0,180.4,2.1538459999999997,,2.2,25.757692000000002,15.816667,,-21.11,-48.93,Mata Atlântica,290600000.0
