Latitude  (graus) : -21.11
Longitude (graus) : -48.93
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83676;31/01/2016;0000;5;2;3;84;6.150943;;332.8;30.073077;22.611538;;
83676;29/02/2016;0000;5;1.714286;3;103.2;5.857143;;146.9;31.544;23.484;;
83676;31/03/2016;0000;5;2.018519;3;81.7;5.314815;;134;30.455556;23.488235;;
83676;30/04/2016;0000;5;1.961538;5;169.9;1.826923;;12.6;30.792308;23.908333;;
83676;31/05/2016;0000;14;1.657692;3;159;3.865385;;75.8;26.623077;;;
83676;30/06/2016;0000;14;1.711538;3;177.1;3.673077;;92.1;24.542308;;;
83676;31/07/2016;0000;;;;;;;0;;;;
83676;31/08/2016;0000;14;2.150943;5;183.3;2.339623;;22.2;28.637037;;;
83676;30/09/2016;0000;14;2.019231;5;162.3;3.115385;;6.6;30.411538;;;
83676;31/10/2016;0000;14;2.288462;5;145.4;3.653846;;57.8;31.484615;;;
83676;30/11/2016;0000;36;2.211538;5;136.2;5.519231;;118.9;30.734615;20.307692;;
83676;31/12/2016;0000;36;1.907407;3;136.9;5.555556;;176.8;30.881481;21.522222;;
83676;31/01/2017;0000;36;1.846154;5;88.2;7.538462;;114.1;29.219231;21.508696;;
83676;28/02/2017;0000;5;1.916667;3;184;3.895833;;122.9;31.004167;22.23913;;
83676;31/03/2017;0000;14;1.925926;3;181.6;3.592593;;83.6;30.814815;21.018519;;
83676;30/04/2017;0000;14;1.843137;3;142.1;4.019608;;146.3;29.104;19.876;;
83676;31/05/2017;0000;14;1.867925;3;181.3;3.09434;;79.7;27.511111;18.696296;;
83676;30/06/2017;0000;14;2.2;5;180.4;2.153846;;2.2;25.757692;15.816667;;
83676;31/07/2017;0000;14;2.442308;5;196;1.730769;;0;25.038462;14.896154;;
83676;31/08/2017;0000;14;2.111111;5;172.1;2.777778;;24;28.022222;16.557692;;
83676;30/09/2017;0000;5;2.461538;5;185.6;1.346154;;6.7;32.265385;19.911538;;
83676;31/10/2017;0000;18;1.923077;3;142;4.134615;;110.2;32.426923;20.484;;
83676;30/11/2017;0000;18;1.911538;3;164.5;4.884615;;151.5;30.996154;19.661538;;
83676;31/01/2018;0000;18;1.735849;3;106.4;6.830189;;278;30.659259;21.334615;;
83676;28/02/2018;0000;18;2;5;125.8;4.75;;92.5;30.7875;21.0125;;
83676;31/03/2018;0000;18;1.611111;5;168.5;4.055556;;99.9;32.2;21.85;;
83676;30/04/2018;0000;14;2.1;5;171.1;2.98;;8.2;30.236;19.221739;;
83676;31/05/2018;0000;14;2.074074;5;197.4;2.203704;;14.5;28.42963;16.703846;;
83676;30/06/2018;0000;18;1.980769;5;149.9;3.75;;1;27.95;17.004348;;
83676;31/08/2018;0000;18;2.377358;5;182.4;3.622642;;28.8;27.348148;15.637037;;
83676;30/09/2018;0000;14;2.058824;5;137.1;3.901961;;55.7;29.648;17.583333;;
83676;31/10/2018;0000;18;1.924528;5;145.9;5.660377;;158.4;31.392593;21.088889;;
83676;30/11/2018;0000;14;2.288462;5;128.9;5.942308;;170.3;29.5;20.432;;
83676;31/12/2018;0000;27;1.615385;3;167.4;4.115385;;98.4;31.569231;21.95;;
83676;31/01/2019;0000;18;1.814815;3;200;4.055556;;76.5;32.881481;22.669565;;
83676;28/02/2019;0000;18;1.8125;3;95;6.541667;;169.8;30.145833;21.034783;;
83676;31/03/2019;0000;18;1.830189;3;148.4;5.056604;;150.5;30.219231;20.616667;;
83676;30/04/2019;0000;18;1.392157;3;166.9;3.470588;;104.9;29.930769;20.266667;;
83676;31/05/2019;0000;23;1.814815;3;158.2;3.481481;;3;29.966667;18.252;;
83676;30/06/2019;0000;14;1.88;5;191.8;2;;9.9;28.846154;16.708696;;
83676;31/08/2019;0000;18;2.188679;5;193.5;2.528302;;11.7;30.851852;16.55;;
83676;30/09/2019;0000;18;2.14;5;162.9;2.9;;83.4;34.12;20.329167;;
