Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83942,31/01/2016,0,18,1.8924729999999998,5.0,208.0,6.010753,,147.4,27.783871,18.290323,74.862903,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,29/02/2016,0,14,1.62069,5.0,171.7,6.632184,,189.7,27.751724,19.082759,79.413793,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/03/2016,0,18,1.9569889999999999,5.0,180.4,6.340909,,298.7,23.845160999999997,16.380645,82.612903,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,30/04/2016,0,36,2.046007,5.1444,145.8,7.0783130000000005,,245.8,24.926667000000002,17.146667,81.1,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/05/2016,0,18,1.449283,5.1444,117.4,7.1266229999999995,,66.1,16.070968,9.541935,87.008065,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,30/06/2016,0,0,1.2460879999999999,5.1444,177.4,5.3869050000000005,,6.3,14.846667000000002,6.566667,75.608333,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/07/2016,0,36,2.068823,5.1444,194.8,5.736111,,275.5,17.903226,9.309677,76.322581,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/08/2016,0,36,1.7369259999999995,5.1444,168.7,5.805556,,134.5,19.051613,11.264516,75.298387,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,30/09/2016,0,18,2.17208,7.202160000000001,207.9,4.862805000000002,,69.7,19.946667,9.926667,74.033333,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/10/2016,0,9,2.102013,5.1444,186.4,6.467391,,334.7,22.374194,12.806452,75.298387,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,30/11/2016,0,18,1.8748479999999998,5.1444,230.7,5.383523,,115.7,24.533333,13.98,71.616667,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/12/2016,0,32,2.035634,5.1444,181.4,5.7916669999999995,,112.0,26.541935,17.141935,74.83064499999998,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/01/2017,0,18,1.849462,5.0,186.4,6.645161,,196.5,27.309677,18.23871,78.717742,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,28/02/2017,0,32,1.4285709999999998,5.0,176.7,6.8214289999999975,,80.4,28.496429,19.278571,76.24107099999998,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/03/2017,0,18,1.537634,5.0,190.0,5.956989,,262.5,24.954839,16.129032000000002,80.298387,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,30/04/2017,0,36,1.7666669999999998,7.0,174.0,5.844444,,139.3,21.913332999999998,13.82,78.425,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/05/2017,0,36,1.752688,5.0,124.8,7.4408600000000025,,282.4,19.480645000000006,12.890323,84.314516,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,30/06/2017,0,36,2.044444,5.0,171.5,5.6,,181.1,18.42,10.48,78.908333,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/07/2017,0,36,2.010753,7.0,247.8,2.989247,,28.7,20.245161,10.509677,67.30645200000001,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/08/2017,0,36,2.032258,5.0,212.7,5.0,,153.4,20.903226,10.716128999999999,75.540323,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,30/09/2017,0,36,1.7777779999999999,5.0,156.2,6.044444,,116.8,24.56,14.906667,77.016667,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/10/2017,0,36,2.010753,5.0,173.8,7.247312,,210.2,22.387097,13.354839000000002,76.475806,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,30/11/2017,0,18,1.8666669999999999,5.0,238.5,4.877778,,207.0,23.633333,13.03,73.133333,-29.16,-51.2,Mata Atlântica,1643913000.0
83942,31/12/2017,0,18,1.7311830000000001,5.0,203.6,5.978495,,113.9,27.051613,16.877419,77.758065,-29.16,-51.2,Mata Atlântica,1643913000.0
