Latitude  (graus) : -3.73
Longitude (graus) : -43.35
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82382;31/01/2016;0000;0;0;0;125;7.032258;;214.8;32.887097;24.245161;81.064516;
82382;29/02/2016;0000;0;0;0;202.4;5.885057;;278.2;33.072414;23.782759;80.112069;
82382;31/03/2016;0000;0;0;0;129.5;6.537634;;296.3;32.493548;24.103226;86.066667;
82382;30/04/2016;0000;0;0;0;216;5.788889;;238.1;32.63;24;84.233333;
82382;31/05/2016;0000;0;0;0;243.8;3.913978;;93.8;32.651613;24.054839;80.725806;
82382;30/06/2016;0000;0;0;0;274.7;3.022222;;11.5;33.36;23.37;74.066667;
82382;31/07/2016;0000;0;0;0;295.6;2.387097;;12.6;34.112903;22.722581;67.475806;
82382;31/08/2016;0000;0;0;0;313.4;1.634409;;0;36.070968;23.048387;63.830645;
82382;30/09/2016;0000;0;0;0;283.1;2.4;;0.9;36.934483;23.803333;62.017241;
82382;31/10/2016;0000;0;0;0;287;2.419355;;18.5;37.46;23.864516;60.572581;
82382;30/11/2016;0000;;;;266.8;2.514535;;17;37.596552;24.568966;60.672414;
82382;31/12/2016;0000;;;;207.4;4.462366;;73;35.767742;24.725806;66.032258;
82382;31/01/2017;0000;0;0;0;204.1;5.88172;;174.6;33.829032;23.690323;78.024194;
82382;28/02/2017;0000;0;0;0;161.5;7.142857;;356.1;31.992857;23.392857;84.580357;
82382;31/03/2017;0000;0;0;0;158.7;6.989247;;411.1;31.780645;23.206452;87.435484;
82382;30/04/2017;0000;0;0;0;193.2;5.766667;;331.7;32.163333;23.403333;85;
82382;31/05/2017;0000;0;0;0;236.8;4.075269;;104.2;32.380645;23.658065;82.233871;
82382;30/06/2017;0000;0;0.02;1.8;243.3;3.522222;;64.7;32.32;23.5;76.958333;
82382;31/07/2017;0000;0;0;0;285.2;2.526882;;9.9;32.174194;22.064516;69.58871;
82382;31/08/2017;0000;;;;311;2.129032;;0.2;34.854839;23.103226;66.75;
82382;30/09/2017;0000;0;0;0;304.8;1.677778;;0;36.22;23.403333;62.083333;
82382;31/10/2017;0000;;;;277.1;2.526882;;0.6;37.374194;24.029032;61.806452;
82382;30/11/2017;0000;0;0;0;252.5;3.433333;;37.2;36.723333;23.953333;63.05;
82382;31/12/2017;0000;0;0;0;204.7;4.408602;;42.2;35.7;24.412903;65.524194;
82382;31/01/2018;0000;;;;212.4;6.139785;;188.1;33.264516;23;77.532258;
82382;28/02/2018;0000;0;0;0;117.6;7.583333;;379.1;31.285714;23.085714;87.401786;
82382;31/03/2018;0000;0;0;0;219.3;5.849462;;225.1;32.454839;23.474194;82.91129;
82382;30/04/2018;0000;0;0;0;150.1;7.022222;;397;31.366667;23.103333;87.508333;
82382;31/05/2018;0000;0;0;0;159.6;6.010753;;129.6;31.635484;23.2;84.403226;
82382;30/06/2018;0000;14;0;0;247.5;3.3;;76.4;31.873333;22.84;78.4;
82382;31/07/2018;0000;14;0;0;265.2;3.204301;;19.6;32.609677;22.680645;74.943548;
82382;31/08/2018;0000;14;;;286.9;2.580645;;0.3;34.429032;22.906452;69.620968;
82382;30/09/2018;0000;14;;;294.8;2.066667;;0.2;36.22;23.27;64.266667;
82382;31/10/2018;0000;14;;;284.7;3.44086;;86.5;36.387097;23.803226;65.862903;
82382;30/11/2018;0000;14;;;229.4;4.177778;;43.7;36.17;24.2;66.433333;
82382;31/12/2018;0000;5;;;172.5;6.688172;;185.3;32.3;23.119355;81.677419;
82382;31/01/2019;0000;5;;;195.9;6.274457;;282.3;32.364516;23.003226;83.362903;
82382;28/02/2019;0000;5;;;115.5;7.904762;;213.1;31.510714;23.225;88.794643;
82382;31/03/2019;0000;5;;;148.3;8.129032;;428.7;31.848387;23.329032;89.612903;
82382;30/04/2019;0000;5;;;;7.6;;523.3;31.99;23.776667;89.233333;
82382;31/05/2019;0000;14;;;221.9;5.569892;;241.3;32.429032;23.864516;84.064516;
82382;30/06/2019;0000;14;;;244.9;3.7;;45.5;32.18;23.417241;79.491667;
82382;31/07/2019;0000;14;;;257;3.924731;;10.4;32.593548;22.93871;73.693548;
82382;31/08/2019;0000;14;;;303.8;2.688172;;0;34.390323;22.9;64.048387;
82382;30/09/2019;0000;14;;;278.2;2.555556;;0;35.973333;23.513333;65.041667;
