Latitude  (graus) : -3.83
Longitude (graus) : -62.08
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82326;31/01/2016;0000;0;1.901694;5.1444;154.8;7.008427;;206.1;33.093333;25.103448;87.416667;
82326;29/02/2016;0000;5;2.15237;5.1444;155.9;7.413793;;305.8;32.47931;24.075862;88.87931;
82326;31/03/2016;0000;14;2.013507;5.1444;134.1;7.943548;;382.8;32.035484;24.545161;90.508065;
82326;30/04/2016;0000;0;1.94344;5.1444;137;7.527778;;345.4;31.913333;23.99;91.225;
82326;31/05/2016;0000;0;1.709268;5.1444;173.7;7.056452;;208.5;31.848387;23.958065;91.822581;
82326;30/06/2016;0000;0;1.720516;5.1444;215.6;5.805556;;190.5;31.86;23.176667;89.783333;
82326;31/07/2016;0000;0;1.515361;5.1444;249.1;4.945652;;72.4;34.046667;22.751613;86.425;
82326;31/08/2016;0000;0;1.648421;5.1444;239.7;4.448925;;95.4;34.032258;22.896774;84.185484;
82326;30/09/2016;0000;14;2.217808;5.1444;189.7;6.972222;;181.2;33.453333;23.32;87.275;
82326;31/10/2016;0000;5;1.804497;5.1444;209.1;6.096154;;164.6;34.403226;23.73871;90.637097;
82326;30/11/2016;0000;5;2.034376;5.1444;194.4;7.03125;;199.4;33.563333;24.103333;88.758333;
82326;31/12/2016;0000;18;2.393264;5.1444;138.6;8.586957;;481.7;32.541935;23.47;91.733871;
82326;31/01/2017;0000;5;1.604348;5;144.2;7.586957;;435.1;31.677419;22.819355;91.637097;
82326;28/02/2017;0000;0;1.45758;5.1444;102;7.901786;;485;31.117857;23.103571;93.107143;
82326;31/03/2017;0000;0;1.416093;5.1444;134.3;8.266129;;700.6;31.470968;22.854839;92.806452;
82326;30/04/2017;0000;0;1.595342;5.1444;177.4;7.598315;;364.9;32.42;23.223333;89.383333;
82326;31/05/2017;0000;0;1.509024;8.74548;215.2;6.347222;;180.5;33.126667;23.551724;89.7;
82326;30/06/2017;0000;5;1.949156;5.1444;228.3;5.597222;;51.2;32.853333;23.596552;89.141667;
82326;31/07/2017;0000;0;1.910777;5.1444;232.6;4.657738;;116.4;33.3;21.828571;88.455357;
82326;31/08/2017;0000;0;1.763794;5.1444;241.8;4.876374;;66.9;34.95;23.146667;85.733333;
82326;30/09/2017;0000;5;2.009342;5.1444;159.5;6.779412;;80.9;34.034615;23.082759;87.981481;
82326;31/10/2017;0000;5;1.972962;4.11552;186.4;6.25;;154;33.663333;23.22;87.391667;
82326;30/11/2017;0000;0;2.245379;8.23104;169.3;8.75;;180.6;33.5;23.92069;90.035714;
82326;31/12/2017;0000;0;1.822907;5.1444;140.4;8.070652;;428.2;32.274194;23.566667;92.346774;
82326;31/01/2018;0000;5;1.836495;5.1444;154.6;7.419355;;541.6;32.283871;22.770968;91.443548;
82326;28/02/2018;0000;14;1.702551;3.08664;109.2;7.202381;;328.2;31.721429;23.217857;90.366071;
82326;31/03/2018;0000;0;1.822907;5.1444;172.7;7.903226;;380.6;33.06129;23.090323;89.919355;
82326;30/04/2018;0000;5;1.65925;5.1444;154.6;7.253521;;356.8;32.16;23.096552;95.266667;
82326;31/05/2018;0000;5;1.393966;2.05776;183;6.814516;;383.2;32.109677;23.151613;96.419355;
82326;30/06/2018;0000;5;1.499723;3.08664;191;4.70339;;109.8;32.17931;22.4;92.965517;
82326;31/07/2018;0000;9;1.443751;2.05776;248.5;4.939516;;79.4;33.4;22.754839;91.580645;
82326;31/08/2018;0000;5;1.669822;3.08664;226.6;4.754098;;123.9;33.76;22.583871;93.133333;
82326;30/09/2018;0000;36;1.499723;3.08664;219.3;5.211864;;89.6;34.636667;23.041379;91.9;
82326;31/10/2018;0000;9;1.692674;3.08664;191.7;5.645161;;177.7;35.264516;23.83871;90.967742;
82326;30/11/2018;0000;5;1.903428;3.60108;143.3;6.75;;273.6;33.066667;24.206667;93.966667;
82326;31/12/2018;0000;;;;;;;23.4;;;;
82326;31/01/2019;0000;5;1.377049;3;146.6;6.688525;;345.6;31.322581;23.358065;95.322581;
82326;28/02/2019;0000;5;1.053571;2;82.9;7.821429;;469.8;31.385714;24.042857;95.928571;
82326;31/03/2019;0000;9;1.677419;3;191.5;6.790323;;205.5;33.167742;24.325806;92.516129;
82326;30/04/2019;0000;5;1.246667;2;115.4;7.033333;;589;31.837931;24.253333;94.357143;
82326;31/05/2019;0000;5;1.322581;2;151.3;6.854839;;255.5;31.677419;23.977419;94.677419;
82326;30/06/2019;0000;5;1.183333;3;26.3;5.916667;;156.2;31.773333;23.77931;94.178571;
82326;31/07/2019;0000;5;1.399478;3.08664;;6.303279;;92.3;32.53;23.083871;94.3;
82326;31/08/2019;0000;5;1.54332;3.08664;234.6;6.512097;;78.2;33.3;22.835484;93.483871;
82326;30/09/2019;0000;5;1.88628;3.08664;203.2;6.520833;;128;34.603333;23.31;90.633333;
