Latitude  (graus) : -6.03
Longitude (graus) : -44.25
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82676;31/01/2016;0000;36;0.65914;3.3;90.8;8.666667;;168.5;31.809677;23.06129;81.927419;
82676;29/02/2016;0000;0;0.610345;1.6;188.3;6.298851;;59.4;33.510345;23.058621;78.241379;
82676;31/03/2016;0000;0;0.57957;3.3;123.8;7.913978;;145.4;32.626667;23.24;84.991935;
82676;30/04/2016;0000;36;0.78033;2.05776;190.5;6.867978;;69;33.1;23.1;81.691667;
82676;31/05/2016;0000;0;0.453154;1.6;225.6;5.755376;;141.6;33.403226;22.235484;81.33871;
82676;30/06/2016;0000;36;0.744444;3.6;252.7;4;;7.6;33.666667;20.762069;72.956897;
82676;31/07/2016;0000;0;0.962366;3.3;293.5;2.88172;;26.4;35.33871;19.106452;60.532258;
82676;31/08/2016;0000;18;1.023656;3.3;296.3;3.215054;;0;37.251613;20.309677;51.564516;
82676;30/09/2016;0000;0;0.921111;3.1;242;4.6;;51;37.32;23.233333;54.705357;
82676;31/10/2016;0000;18;0.999817;2.5722;219;5.61236;;32;37.166667;23.003333;60.608333;
82676;30/11/2016;0000;18;0.928357;3.08664;190.5;5.747126;;113.4;36.039286;23.653333;64.964286;
82676;31/12/2016;0000;0;0.587133;1.54332;145.3;7.622283;;77.2;34.819355;23.283333;74.072581;
82676;31/01/2017;0000;0;0.756471;1.8;140.2;7.72043;;209.4;32.990323;22.083871;82.362903;
82676;28/02/2017;0000;;;;113.1;8.154762;;228.1;32.460714;22.364286;85.741071;
82676;31/03/2017;0000;;;;131.6;8.290323;;129;31.667742;21.954839;87.435484;
82676;30/04/2017;0000;;;;189.3;6.8;;141.8;32.566667;22.19;86.125;
82676;31/05/2017;0000;;;;213.7;5.021505;;42.2;33.06129;21.548387;82.846774;
82676;30/06/2017;0000;;;;256.5;3.388889;;59.2;33.19;19.85;75.408333;
82676;31/07/2017;0000;;;;294;3.333333;;0;33.758065;19.919355;62.604839;
82676;31/08/2017;0000;;;;304.4;3.419355;;36;36.790323;20.306452;61.258065;
82676;30/09/2017;0000;;;;;3.40625;;0;37.542857;22.938095;57.416667;
82676;31/10/2017;0000;;;;;4.107692;;54;38.285714;23.25;57.556818;
82676;30/11/2017;0000;;;;;6.69697;;48.2;35.522727;22.968182;68.738636;
82676;31/12/2017;0000;;;;;6.296875;;59.4;33.73;22.233333;78.142857;
82676;31/01/2018;0000;;;;124.1;8.021739;;125.6;32.222581;21.219355;83.572581;
82676;28/02/2018;0000;;;;111.2;8.583333;;222.9;31.539286;22.596429;85.410714;
82676;31/03/2018;0000;;;;169.1;7.172043;;138.2;32.032258;23.854839;85.314516;
82676;30/04/2018;0000;;;;194.3;6.988889;;183.3;32.013333;24.08;82.766667;
82676;31/05/2018;0000;;;;238.9;5.139785;;52.6;33.26129;23.183871;78.241935;
82676;30/06/2018;0000;0;0.964444;3.3;305.8;3.411111;;1.4;34.43;22.016667;67.783333;
82676;31/07/2018;0000;0;0.824737;2.05776;282.4;2.795977;;0;35.3;22.817241;58.344828;
82676;31/08/2018;0000;36;;;247.5;3.553571;;0;36.546429;20.317857;55.214286;
82676;30/09/2018;0000;36;;;217.6;3.931507;;65;36.9125;22.65;57.708333;
82676;31/10/2018;0000;36;;;222;5.576087;;51.4;36.280645;24.090323;64.508065;
82676;30/11/2018;0000;36;;;144.9;6.577778;;125.4;33.686667;23.403333;77.35;
82676;31/12/2018;0000;36;;;169.8;6.827957;;103.4;32.616129;22.145161;78.459677;
82676;31/01/2019;0000;36;;;159.4;7.333333;;72.6;33.325806;22.53871;80.508065;
82676;28/02/2019;0000;36;;;147.9;7.0625;;139;32.867857;22.389286;84.580357;
82676;31/03/2019;0000;36;;;148;7.752688;;177.6;32.312903;22.545161;86.580645;
82676;30/04/2019;0000;36;;;166.8;7;;160.4;32.456667;22.613333;86.1;
82676;31/05/2019;0000;36;;;205.5;5.967742;;70;33.112903;21.719355;83.677419;
82676;30/06/2019;0000;9;;;271.8;3.911111;;0.6;33.658621;20.203333;74.333333;
82676;31/07/2019;0000;36;;;246.7;4.392857;;2;34.128571;19.646429;68.125;
82676;31/08/2019;0000;36;;;292.5;2.903226;;0;36.125806;19.590323;56.379032;
82676;30/09/2019;0000;36;;;254.8;3.821429;;0;37.944444;22.135714;53.830357;
