Latitude  (graus) : -8.26
Longitude (graus) : -49.26
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82861;31/01/2016;0000;5;2.333333;5;109.5;7.817204;;257.3;31.441935;22.441935;85.403226;
82861;29/02/2016;0000;9;2.091954;5;234.2;5;;58.6;35.214286;23.393103;72.160714;
82861;31/03/2016;0000;27;2.021505;4;166.8;7.16129;;289.6;32.812903;22.948387;82.508333;
82861;30/04/2016;0000;14;2.291111;10;183.4;6.055556;;48.4;34.32;23.286667;76.866667;
82861;31/05/2016;0000;14;2.129032;4;254.9;4.602151;;26.1;35.080645;23.429032;72.895161;
82861;30/06/2016;0000;14;2.366667;5;270.6;3.566667;;34.4;34.843333;22.733333;69.008621;
82861;31/07/2016;0000;14;2.752688;6;324.3;1.333333;;0;37.016129;21.554839;55.201613;
82861;31/08/2016;0000;5;1.892473;3;295.8;2.752688;;0;38.664516;22.219355;52.532258;
82861;30/09/2016;0000;5;2.498889;5;196.5;5.377778;;67.3;36.676667;23.19;62.183333;
82861;31/10/2016;0000;18;2.57063;5.1444;210.6;6.111413;;56.8;35.46129;23.703226;70.693548;
82861;30/11/2016;0000;18;2.332128;5.1444;165.6;6.846591;;84.1;34.186667;23.083333;76.833333;
82861;31/12/2016;0000;23;2.599858;5.1444;156.6;7.05163;;136.4;33.06129;23.329032;81.733871;
82861;31/01/2017;0000;18;2.225806;6;167.6;7.225806;;255.1;32.564516;22.416129;82.766129;
82861;28/02/2017;0000;14;2.190476;5;98.9;8.119048;;289.6;31.185714;22.35;84.607143;
82861;31/03/2017;0000;23;2.021505;5;156.8;7.172043;;215.6;32.390323;22.93871;82.451613;
82861;30/04/2017;0000;23;2;4;179.4;6.322222;;189.3;33.006667;23.19;82.016667;
82861;31/05/2017;0000;9;2.032258;5;272.4;4.150538;;37.2;35.093548;23.696774;72.774194;
82861;30/06/2017;0000;14;2.155556;4;283.4;2.9;;8.9;35.516667;22.42;63.375;
82861;31/07/2017;0000;14;2.549462;5;314.7;1.88172;;0;35.732258;20.564516;53.653226;
82861;31/08/2017;0000;5;2.5;4;314.3;2.16129;;0;39.093103;22.841935;52.024194;
82861;30/09/2017;0000;5;1.933333;5;285.1;2.8;;0;39.453333;22.276667;46.833333;
82861;31/10/2017;0000;5;2.537634;6;192.3;5.451613;;19.8;36.966667;23.458065;63.112903;
82861;30/11/2017;0000;5;2.244444;5;143.3;7.055556;;217.2;33.503333;22.8;77.858333;
82861;31/12/2017;0000;23;2.182796;5;116.9;8.043011;;226.1;32.190323;22.474194;84.669355;
82861;31/01/2018;0000;18;2.11828;5;160.6;7.193548;;186.7;32.051613;22.522581;83.733871;
82861;28/02/2018;0000;32;2.247269;4.11552;103.1;7.896341;;489.7;30.575;22.332143;87.232143;
82861;31/03/2018;0000;18;2.043321;4;165.3;7.27957;;444;32.293548;22.648387;82.822581;
82861;30/04/2018;0000;18;2.1;4;166.2;6.733333;;301.4;32.593333;22.89;81.575;
82861;31/05/2018;0000;14;2.043011;4;272.7;4.236559;;34;35.032258;23.296774;70.959677;
82861;30/06/2018;0000;14;1.966667;4;302.5;2.366667;;7.2;36.076667;22.163333;62.316667;
82861;31/07/2018;0000;14;2.451613;4;317.2;1.731183;;0.3;37.470968;21.316129;53.782258;
82861;31/08/2018;0000;5;2.132258;5;292.3;3.548387;;16.3;37.932258;22.190323;58.298387;
82861;30/09/2018;0000;5;2.122222;5;219.3;5.111111;;33.3;37.02;22.976667;63.591667;
82861;31/10/2018;0000;18;2.16129;5;213.9;6.215054;;146.3;35.393548;23;75.887097;
82861;30/11/2018;0000;18;2.091111;5;156.9;7.066667;;156.1;33.956667;22.91;80.35;
82861;31/12/2018;0000;18;1.774194;5;141.8;7.548387;;237.3;32.709677;23.074194;78.427419;
82861;31/01/2019;0000;18;2.387097;5;153.7;7.387097;;185.6;32.567742;22.206452;82.612903;
82861;28/02/2019;0000;18;2.071772;5;135.2;7.077381;;153.9;32.542857;22.578571;82.473214;
82861;31/03/2019;0000;27;2.108458;5;176.3;7.126344;;244.6;32.948387;22.954839;82.306452;
82861;30/04/2019;0000;18;2.222222;4;162.9;6.155556;;319.6;33.24;22.913333;81.775;
82861;31/05/2019;0000;18;1.870968;4;252.2;4.548387;;59.6;35.187097;23.383871;75.975806;
82861;30/06/2019;0000;14;2.491803;4;;2.508197;;6.5;36.184211;22.945;64.4125;
82861;31/08/2019;0000;14;2.393939;5;;2.318182;;0;38.45;22.186364;51.454545;
82861;30/09/2019;0000;5;2.494915;5;;2.516129;;42.2;39.061905;23.1;54.761905;
