Latitude  (graus) : -13.33
Longitude (graus) : -44.61
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83286;31/01/2016;0000;;;;127.9;6.435185;;251.8;30.165385;20.548148;;
83286;29/02/2016;0000;;;;;;;0.4;;;;
83286;31/03/2016;0000;;;;;;;0;34.747059;19.188235;;
83286;30/04/2016;0000;;;;267.7;1.8125;;0;34.23;18.19;;
83286;31/05/2016;0000;;;;297.1;1.532258;;0;33.66;16.219355;;
83286;30/06/2016;0000;;;;279.3;1.458333;;3.6;31.966667;15.1;;
83286;31/08/2016;0000;;;;313.5;1.372951;;0;33.564516;15.719355;;
83286;30/09/2016;0000;;;;272.4;2.270833;;12.5;34.223333;17.856667;;
83286;31/10/2016;0000;;;;;;;0;;;;
83286;30/11/2016;0000;;;;;;;0;;;;
83286;31/12/2016;0000;;;;225.7;4.495968;;44.4;32.06129;19.535484;;
83286;31/01/2017;0000;;;;;;;2.9;34.558824;19.23125;;
83286;28/02/2017;0000;;;;164.7;6.396226;;188.9;30.959259;19.87037;;
83286;31/03/2017;0000;;;;239.1;4.258065;;28.7;33.332258;19.741935;;
83286;30/04/2017;0000;;;;244.2;2.964912;;94.4;31.910345;19.103448;;
83286;31/05/2017;0000;;;;261;2.435484;;3.4;32.480645;17.96129;;
83286;30/06/2017;0000;;;;;;;0;31.966667;15.090476;;
83286;31/07/2017;0000;;;;;;;0;;;;
83286;31/08/2017;0000;;;;323.1;1.25;;0;32.59;14.006452;;
83286;30/09/2017;0000;;;;307;1.3125;;0;32.166667;17.243333;;
83286;31/10/2017;0000;;;;;;;12.7;;;;
83286;30/11/2017;0000;;;;177.8;6.333333;;141.5;31.733333;20.28;;
83286;31/12/2017;0000;;;;184;5.907258;;98.2;31.8;20.054839;;
83286;31/01/2018;0000;;;;195;4.884259;;111.8;33.169231;19.574074;;
83286;28/02/2018;0000;;;;201;5.290179;;304.3;30.678571;19.814286;;
83286;31/03/2018;0000;;;;219.3;3.793103;;105.3;31.437931;19.755172;;
83286;30/04/2018;0000;;;;212.5;3;;17.4;30.737037;18.392593;;
83286;31/05/2018;0000;;;;286.4;1.774194;;0;31.816129;16.296774;;
83286;30/06/2018;0000;;;;285.3;0.916667;;0;31.113333;13.66;;
83286;31/07/2018;0000;;;;307.3;1.431452;;0;30.954839;12.070968;;
83286;31/08/2018;0000;;;;280.6;1.633065;;0.8;33.177419;16.096774;;
83286;30/09/2018;0000;;;;288.7;1.688596;;0;35.313793;16.713793;;
83286;31/10/2018;0000;;;;218;4.025424;;137.8;35.431034;20.516667;;
83286;30/11/2018;0000;;;;174.7;6.800847;;341;30.751724;20.113333;;
83286;31/12/2018;0000;;;;189.6;5.403226;;165.1;30.541935;18.941935;;
83286;31/01/2019;0000;;;;;;;1.8;32.95;18.715;;
83286;28/02/2019;0000;;;;193.5;5.111607;;94.2;33.735714;20.246429;;
83286;31/03/2019;0000;;;;225.9;4.435484;;262.5;32.341935;20.512903;;
83286;30/04/2019;0000;;;;266.7;2.916667;;73.4;32.443333;19.453333;;
83286;31/05/2019;0000;;;;269.4;1.814516;;15.2;32.954839;17.86129;;
83286;30/06/2019;0000;;;;272.8;1.918103;;0;31.5;14.444828;;
83286;31/07/2019;0000;;;;280.9;1.577869;;0;31.143333;13.158065;;
83286;31/08/2019;0000;;;;303.3;1.754032;;0;32.496774;14.912903;;
83286;30/09/2019;0000;;;;260.5;1.318182;;20.9;35.496429;16.762963;;
