Latitude  (graus) : -5.16
Longitude (graus) : -40.66
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82583;31/01/2016;0000;9;1.903428;4.62996;128.7;7.803279;;263.9;32.303226;23.403226;78.166667;
82583;29/02/2016;0000;9;1.809726;3.60108;214.3;6.741379;;52.3;33.431034;22.886207;78.035714;
82583;31/03/2016;0000;5;1.627654;4.11552;199.8;6.709677;;179.1;32.996774;23.416129;80.548387;
82583;30/04/2016;0000;9;1.834836;4.11552;220.4;5.5;;74.9;32.253333;22.65;81.866667;
82583;31/05/2016;0000;5;1.725863;3.08664;213.6;4.899194;;6.3;34.480645;22.1;70.967742;
82583;30/06/2016;0000;14;2.177796;4.62996;263;3.4375;;16.5;34.92;22.163333;58.666667;
82583;31/07/2016;0000;9;2.389657;6.17328;301.9;2.197581;;0.1;34.448387;21.522581;50;
82583;31/08/2016;0000;;2.439441;5.1444;;;;0;35.14;21.673333;44.4;
82583;30/09/2016;0000;;;;;;;0;;;;
82583;31/10/2016;0000;9;2.763041;6.17328;310.8;2.096774;;0;36.677419;24.177419;42.612903;
82583;30/11/2016;0000;5;2.940882;5.65884;273;3.479167;;0.1;36.54;24.716667;44.8;
82583;31/01/2017;0000;5;2.116794;4.11552;206.7;6.311475;;55.9;34.66129;23.766667;64.612903;
82583;28/02/2017;0000;9;1.954872;4.11552;172.8;7.214286;;100.8;32.992857;23.082143;75.678571;
82583;31/03/2017;0000;36;1.626294;3.60108;166;7.451613;;85.3;31.487097;22.525806;83.967742;
82583;30/04/2017;0000;9;1.480143;3.08664;179.3;6.366667;;143.6;31.6;22.393333;84.766667;
82583;31/05/2017;0000;9;2.510345;6.5;229;4.629032;;38.8;33.66129;22.2;74.193548;
82583;30/06/2017;0000;14;3.516667;7.8;238.6;3.383333;;4.6;34.117241;21.96;60.233333;
82583;31/07/2017;0000;14;3.718911;8;258.6;3.483871;;0.5;33.4;21.787097;51.866667;
82583;31/08/2017;0000;9;3.243548;7.1;290;3.258065;;0;35.309677;22.877419;46.580645;
82583;30/09/2017;0000;14;4.24;8.5;301.8;2.183333;;0;35.61;23.71;43.344828;
82583;31/10/2017;0000;9;3.558913;7.6;302.8;3.048387;;0;36.490323;24.458065;45.066667;
82583;31/12/2017;0000;9;3.036842;6.6;224.6;4.95082;;3.4;35.770968;24.622581;50.806452;
82583;31/01/2018;0000;9;2.621212;7.1;190.3;6.048387;;32.7;34.490323;23.858065;62.483871;
82583;28/02/2018;0000;5;1.756861;4.11552;150;7.375;;196.9;32.417857;22.742857;82.185185;
82583;31/03/2018;0000;5;1.499723;3.08664;199.1;6.645161;;205.8;31.793548;22.835484;83.413793;
82583;30/04/2018;0000;9;1.498972;3.60108;176.6;6.199153;;214.9;30.324138;22.196552;87.517241;
