Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83912,31/01/2016,0,9.0,1.983871,4.0,262.3,3.9193550000000004,,212.9,30.903226,19.980645000000006,,-28.63,-53.6,Pampa,1360370000.0
83912,29/02/2016,0,14.0,1.557692,4.0,200.3,5.403846,,91.0,30.515385,20.226923,,-28.63,-53.6,Pampa,1360370000.0
83912,31/03/2016,0,14.0,2.0,5.0,183.9,5.111111,,238.1,27.037036999999998,17.0,,-28.63,-53.6,Pampa,1360370000.0
83912,30/04/2016,0,,,,,,,165.3,,,,-28.63,-53.6,Pampa,1360370000.0
83912,31/05/2016,0,14.0,1.8203259999999999,3.08664,115.6,6.25,,62.4,19.346154000000002,10.6,,-28.63,-53.6,Pampa,1360370000.0
83912,30/06/2016,0,9.0,1.622465,3.08664,142.9,4.388298000000002,,5.3,17.423077,6.638462,,-28.63,-53.6,Pampa,1360370000.0
83912,31/07/2016,0,9.0,1.941283,4.11552,144.0,5.024038,,145.2,19.423077,9.653846000000001,,-28.63,-53.6,Pampa,1360370000.0
83912,31/08/2016,0,14.0,1.899471,4.11552,172.7,4.716981,,120.8,21.603704,11.518519,,-28.63,-53.6,Pampa,1360370000.0
83912,30/09/2016,0,14.0,2.156691,5.1444,194.4,3.5784309999999997,,54.7,22.25,10.115385,,-28.63,-53.6,Pampa,1360370000.0
83912,31/10/2016,0,14.0,2.176477,3.08664,180.4,5.913462,,340.1,24.961538,14.276923000000002,,-28.63,-53.6,Pampa,1360370000.0
83912,30/11/2016,0,14.0,1.8796849999999998,4.11552,225.0,4.014423000000002,,157.2,28.134615000000004,15.323077,,-28.63,-53.6,Pampa,1360370000.0
83912,31/12/2016,0,14.0,1.94344,4.11552,209.0,4.884258999999999,,93.5,29.740740999999996,18.759259,,-28.63,-53.6,Pampa,1360370000.0
83912,31/01/2017,0,14.0,1.8846150000000002,3.0,209.0,4.4807690000000004,,185.6,29.25,19.415385,,-28.63,-53.6,Pampa,1360370000.0
83912,28/02/2017,0,14.0,1.604167,3.0,188.6,5.6875,,122.6,30.229166999999997,19.758333,,-28.63,-53.6,Pampa,1360370000.0
83912,31/03/2017,0,14.0,2.0370369999999998,3.0,217.3,4.370369999999999,,120.9,28.81481500000001,18.022222,,-28.63,-53.6,Pampa,1360370000.0
83912,30/04/2017,0,14.0,1.9215689999999999,4.0,164.4,5.1372550000000015,,223.2,24.191999999999997,14.592,,-28.63,-53.6,Pampa,1360370000.0
83912,31/05/2017,0,,,,,,,226.7,,,,-28.63,-53.6,Pampa,1360370000.0
83912,30/06/2017,0,5.0,1.6923080000000001,4.0,146.1,4.634615,,150.4,20.115385,11.069231,,-28.63,-53.6,Pampa,1360370000.0
83912,31/07/2017,0,5.0,1.519231,3.0,201.2,1.8846150000000002,,0.5,22.638462,10.692308,,-28.63,-53.6,Pampa,1360370000.0
83912,31/08/2017,0,5.0,2.0,5.0,210.1,3.925926,,29.4,23.314815,11.807407000000001,,-28.63,-53.6,Pampa,1360370000.0
83912,30/09/2017,0,14.0,2.230769,4.0,149.0,6.3269230000000025,,90.7,26.211538,15.892307999999998,,-28.63,-53.6,Pampa,1360370000.0
83912,31/10/2017,0,27.0,1.9,5.0,158.0,6.1,,207.6,25.48,15.248,,-28.63,-53.6,Pampa,1360370000.0
83912,30/11/2017,0,14.0,2.038462,3.0,241.4,3.692308,,189.9,28.65,16.092308,,-28.63,-53.6,Pampa,1360370000.0
