Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
82693,31/01/2016,0,5.0,3.374194,5.8,175.3,7.177419,,162.6,33.706452,23.758065,72.37931,"-6.43
","-36.58
"
82693,29/02/2016,0,9.0,3.7672410000000003,5.6,232.3,5.275862,,127.4,34.331034,22.862069,68.10714300000001,"-6.43
","-36.58
"
82693,31/03/2016,0,9.0,3.958626,5.6588400000000005,247.8,5.774457,,121.7,35.616129,24.264516,62.475806000000006,"-6.43
","-36.58
"
82693,30/04/2016,0,14.0,4.0012,6.17328,227.1,5.861111,,24.7,33.343333,23.62,66.65,"-6.43
","-36.58
"
82693,31/05/2016,0,9.0,4.224124,6.17328,251.0,4.532967,,43.0,34.086667,23.196773999999998,60.941667,"-6.43
","-36.58
"
82693,30/06/2016,0,14.0,4.40132,7.7166,277.9,3.4305559999999997,,13.1,33.663333,22.0,57.36666700000001,"-6.43
","-36.58
"
82693,31/07/2016,0,14.0,5.039299,8.74548,295.3,3.481183,,0.0,33.887097,21.477419,51.516129,"-6.43
","-36.58
"
82693,31/08/2016,0,14.0,5.3518349999999995,7.202160000000001,308.3,2.399194,,0.0,34.570968,21.612903,58.064516000000005,"-6.43
","-36.58
"
82693,30/09/2016,0,9.0,4.641392,7.202160000000001,306.7,2.763889,,0.0,35.656667,22.86,48.458333,"-6.43
","-36.58
"
82693,31/10/2016,0,9.0,5.213919000000001,8.23104,314.7,3.1756759999999997,,0.0,36.216128999999995,23.016129,52.758065,"-6.43
","-36.58
"
82693,30/11/2016,0,9.0,4.5670839999999995,7.202160000000001,304.3,3.541667,,0.0,36.366667,23.71,48.208333,"-6.43
","-36.58
"
82693,31/12/2016,0,9.0,4.452948,7.202160000000001,255.6,5.147849,,13.1,36.164516,24.306452,50.895161,"-6.43
","-36.58
"
82693,31/01/2017,0,9.0,4.709677,6.6,272.8,4.903226,,20.5,36.119355,24.174194,60.0,"-6.43
","-36.58
"
82693,28/02/2017,0,9.0,4.233929,6.3,226.2,5.964286,,136.7,35.417857,23.789285999999997,64.39285699999999,"-6.43
","-36.58
"
82693,31/03/2017,0,9.0,3.0604400000000003,5.4,222.6,7.164835000000001,,166.6,33.83871,23.425806,71.08064499999999,"-6.43
","-36.58
"
82693,30/04/2017,0,14.0,3.2566669999999998,5.1,235.9,6.033333,,93.7,33.936667,23.28,66.35,"-6.43
","-36.58
"
82693,31/05/2017,0,9.0,3.68172,5.4,254.0,5.462366,,12.2,34.464515999999996,23.367742,59.370968000000005,"-6.43
","-36.58
"
82693,30/06/2017,0,14.0,4.501111,7.0,224.3,5.411111,,10.3,32.99,22.62,60.125,"-6.43
","-36.58
"
82693,31/07/2017,0,14.0,5.077419,8.0,164.9,6.709677,,27.0,30.687096999999998,21.86129,61.346773999999996,"-6.43
","-36.58
"
82693,31/08/2017,0,,,7.0,,,,0.2,33.719048,21.533333,53.10714300000001,"-6.43
","-36.58
"
82693,30/09/2017,0,14.0,5.302174,7.8,225.5,4.086957,,2.8,33.836,22.664,57.391304000000005,"-6.43
","-36.58
"
82693,31/10/2017,0,,5.193939,6.5,,,,0.0,35.5625,23.2625,55.9375,"-6.43
","-36.58
"
82693,31/03/2018,0,5.0,3.315789,5.5,237.6,5.719298,,75.0,34.848276,23.634483,69.037037,"-6.43
","-36.58
"
82693,30/04/2018,0,14.0,2.80597,5.5,178.0,7.343284,,222.3,31.586667,22.92,79.608333,"-6.43
","-36.58
"
82693,31/05/2018,0,14.0,3.026882,5.8,221.4,6.430108000000001,,28.5,32.203226,22.135483999999998,63.83871,"-6.43
","-36.58
"
82693,30/06/2018,0,14.0,2.952222,7.0,246.7,4.411111,,6.4,32.913333,21.17,56.35,"-6.43
","-36.58
"
82693,31/07/2018,0,14.0,3.085484,7.8,262.0,3.532258,,10.8,33.035484000000004,21.441935,57.733332999999995,"-6.43
","-36.58
"
82693,31/08/2018,0,14.0,2.617742,5.7,314.2,3.0161290000000003,,0.0,34.312903000000006,21.883871,56.35714300000001,"-6.43
","-36.58
"
82693,30/09/2018,0,14.0,2.7833330000000003,5.2,286.7,3.2,,0.0,35.17,22.6,55.7,"-6.43
","-36.58
"
82693,31/10/2018,0,5.0,2.506452,5.1,312.2,3.354839,,0.6,36.032258,23.509677,59.548387,"-6.43
","-36.58
"
82693,30/11/2018,0,14.0,2.3883330000000003,5.4,285.8,4.283333,,0.6,36.593333,24.123333,55.6,"-6.43
","-36.58
"
82693,31/12/2018,0,5.0,2.390323,5.9,266.4,4.580645,,16.8,36.145161,23.854839000000002,57.225806000000006,"-6.43
","-36.58
"
82693,31/01/2019,0,14.0,1.784161,4.1,225.9,5.7,,118.6,35.339286,23.251852,65.296296,"-6.43
","-36.58
"
82693,28/02/2019,0,14.0,1.6594080000000002,3.6010800000000005,,6.9270830000000005,,104.9,34.054167,23.820833,73.875,"-6.43
","-36.58
"
82693,31/03/2019,0,5.0,1.747155,5.6588400000000005,,6.34434,,94.9,33.857692,23.269231,77.923077,"-6.43
","-36.58
"
82693,30/04/2019,0,5.0,2.0981080000000003,5.6588400000000005,,6.568627,,136.7,33.088462,23.084615,83.192308,"-6.43
","-36.58
"
82693,31/05/2019,0,14.0,2.11492,3.6010800000000005,,5.9259260000000005,,93.9,33.933333000000005,22.381481,73.85185200000001,"-6.43
","-36.58
"
