Latitude  (graus) : -15.61
Longitude (graus) : -56.1
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83361;31/01/2016;0000;;;;115.2;6.628289;;256.8;;24.207143;80.241667;
83361;29/02/2016;0000;;;;170.5;6.388889;;213.9;;24.135714;73.401786;
83361;31/03/2016;0000;;;;144.7;6.37931;;178.4;;23.773333;77.083333;
83361;30/04/2016;0000;;;;207.6;4.352941;;98.6;34.06;22.666667;70.375;
83361;31/05/2016;0000;;;;178.7;4.166667;;1.6;31.496774;20.837931;73.443548;
83361;30/06/2016;0000;;;;164.7;3.536585;;7.2;29.896667;17.476667;71.516667;
83361;31/07/2016;0000;;;;261.4;1.11413;;0;34.025806;16.353571;62.419355;
83361;31/08/2016;0000;;;;230.1;2.457386;;45;34.929032;19.229032;62.854839;
83361;30/09/2016;0000;;;;177.4;3.78012;;41.3;34.317241;20.946667;56.913793;
83361;31/10/2016;0000;;;;206.1;4.916667;;257.5;35.190323;22.9;62.548387;
83361;30/11/2016;0000;;;;151;6.293605;;270.6;33.356667;23.175862;76.483333;
83361;31/12/2016;0000;;;;115.9;6.472222;;255;33.454839;23.96129;77.798387;
83361;31/01/2017;0000;;;;148.6;6.335227;;209;33.474194;23.417241;75.604839;
83361;28/02/2017;0000;;;;122;6.4375;;267.3;32.632143;23.503571;77.5625;
83361;31/03/2017;0000;;;;171.7;5.870968;;227;33.43871;23.677419;76.475806;
83361;30/04/2017;0000;;;;189.9;5.077778;;130.5;33.38;22.96;75.95;
83361;31/05/2017;0000;;;;188.3;4.630435;;56.1;33.254839;22.741935;74.427419;
83361;30/06/2017;0000;;;;192.1;3.333333;;0;32.073333;18.23;68.741667;
83361;31/07/2017;0000;;;;256.6;0.483333;;0.2;33.16129;15.351613;54.443548;
83361;31/08/2017;0000;;;;234.2;3.204301;;30.5;36.135484;19.893548;53.895161;
83361;30/09/2017;0000;;;;219.7;3.940341;;36.8;37.79;21.9;48.366667;
83361;31/10/2017;0000;;;;174.3;5.510753;;124.4;35.606452;23.045161;64.241935;
83361;30/11/2017;0000;;;;187.3;5.633333;;232.4;34.768966;24.23;72.383333;
83361;31/12/2017;0000;;;;113.6;6.644022;;309.1;33.213333;24.267742;75.35;
83361;31/01/2018;0000;;;;167.6;6.784946;;384.1;33.567742;23.935484;76.862903;
83361;28/02/2018;0000;;;;144.5;6.690476;;478.5;33.357143;23.957143;78.741071;
83361;31/03/2018;0000;;;;155.7;5.662791;;181.5;33.635484;24.554839;81.112903;
83361;30/04/2018;0000;;;;175;4.107143;;134.5;33.186667;22.996667;75.125;
83361;31/05/2018;0000;;;;225.2;3.08871;;32.4;32.809677;19.558065;69.314516;
83361;30/06/2018;0000;;;;159;3.196203;;0.7;30.034483;17.423333;73.939655;
83361;31/07/2018;0000;;;;225.5;1.420455;;1;32.345161;16.72;64.419355;
83361;31/08/2018;0000;;;;209.5;2.994186;;9.8;33.896774;18.33871;56.5;
83361;30/09/2018;0000;;;;193.2;4.058824;;66.2;37.096552;21.626667;54.683333;
83361;31/10/2018;0000;;;;166.9;5.912921;;140.9;34.983871;24.467742;70.991935;
83361;30/11/2018;0000;;;;144.6;6.779412;;446.8;33.686667;24.633333;75.95;
83361;31/12/2018;0000;;;;171.4;5.537634;;255.1;33.993548;24.219355;71.282258;
83361;31/01/2019;0000;;;;138.5;5.8;;184.3;33.893548;23.506452;74.25;
83361;28/02/2019;0000;;;;171.3;6.025641;;212.5;34.042857;24.222222;75.625;
83361;31/03/2019;0000;;;;200.6;5.485465;;152.3;34;24.2;75.108333;
83361;30/04/2019;0000;;;;148.4;6.067647;;272.1;33.116667;23.456667;78.908333;
83361;31/05/2019;0000;;;;155.6;3.746988;;87.7;31.962069;20.345161;75.408333;
83361;30/06/2019;0000;;;;69.8;2.602273;;0;33.523333;18.89;67.291667;
83361;31/07/2019;0000;;;;217.2;2.081395;;0;33.16129;17.313333;60.83871;
83361;31/08/2019;0000;;;;213.8;3.225806;;0;35.383871;18.941935;61.072581;
83361;30/09/2019;0000;;;;150.1;3.393258;;14.4;38.634483;23.882759;54.425;
