Latitude  (graus) : -18.75
Longitude (graus) : -44.45
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83536;31/01/2016;0000;5;1.462366;5;;6.483871;;279;;21.1;76.596774;
83536;29/02/2016;0000;5;1.406897;3;;4.321839;;92;;20.713793;63.37069;
83536;31/03/2016;0000;9;1.472043;5;;3.623656;;138.2;;20.445161;68.846774;
83536;30/04/2016;0000;9;1.688889;5;;2.3;;17.2;;18.42;60.341667;
83536;31/05/2016;0000;9;1.473118;3;;2.225806;;22.6;;16.006452;65.58871;
83536;30/06/2016;0000;9;1.561798;5;;1.853933;;0;;13.486667;63.196429;
83536;31/07/2016;0000;9;1.516129;5;;1.236559;;0;;12.806452;55.225806;
83536;31/08/2016;0000;9;2.129032;5;;1.537634;;8.7;;14.867742;53.185484;
83536;30/09/2016;0000;9;1.921348;5;;2.820225;;69.2;;17.726667;49.603448;
83536;31/10/2016;0000;9;1.924731;5;;3.344086;;86.4;;20.222581;;
83536;30/11/2016;0000;9;1.292135;5;;5.078652;;225;;20.14;72.517241;
83536;31/12/2016;0000;9;1.559783;5;;5.032609;;180.2;;20;69.833333;
83536;31/01/2017;0000;5;1.446739;5;;2.478261;;58.4;;20.322581;57.875;
83536;28/02/2017;0000;9;1.915663;5;;4.795181;;80.5;;20.114286;67.611111;
83536;31/03/2017;0000;9;1.365591;3;;3.473118;;84.2;;19.054839;64.233871;
83536;30/04/2017;0000;9;1.556818;5;;2.738636;;26.6;;18.546667;63.392857;
83536;31/05/2017;0000;9;1.322581;3;;3.215054;;42;;16.206452;67.290323;
83536;30/06/2017;0000;9;1.62809;5;;1.449438;;16.2;;14.106667;63.12069;
83536;31/07/2017;0000;9;2.184783;7;;2.235955;;0;;11.774194;57;
83536;31/08/2017;0000;9;1.634409;5;;0.655914;;0;;13.019355;49.169355;
83536;30/09/2017;0000;9;2.58427;7;;1.224719;;3.2;;15.193333;43.422414;
83536;31/10/2017;0000;9;2.064516;7;;2.505376;;40.7;;19.196774;48.951613;
83536;30/11/2017;0000;5;1.88764;5;;4.52809;;94.8;;20.043333;69.844828;
83536;31/12/2017;0000;5;1.588889;5;;5.133333;;239.4;;20.541935;73.232143;
83536;31/01/2018;0000;9;1.655914;7;;4.053763;;169;;20.348387;65.846774;
83536;28/02/2018;0000;9;1.535714;5;;4.678571;;274.2;;19.932143;75.973214;
83536;31/03/2018;0000;5;1.430108;5;;3.322581;;181.2;;20.190323;75.290323;
83536;30/04/2018;0000;9;1.511364;5;;3.261364;;45.5;;17.57;72.375;
83536;31/05/2018;0000;9;1.247312;5;;1.924731;;17.3;;14.174194;69.41129;
83536;30/06/2018;0000;9;1.344444;5;;1.7;;0;;14.223333;68.608333;
83536;31/07/2018;0000;9;1.44086;5;;0.602151;;0;;12.219355;62.846774;
83536;31/08/2018;0000;9;1.677419;5;;2.451613;;1.4;;14.625806;60.040323;
83536;30/09/2018;0000;9;1.629213;5;;2.134831;;22.3;;17.06;58.793103;
83536;31/10/2018;0000;9;1.615054;5;;4.591398;;112.8;;20.783871;65.564516;
83536;30/11/2018;0000;5;1.41;5;;4.422222;;194.3;;19.873333;77.175;
83536;31/12/2018;0000;5;1.467391;7;;4.097826;;284.1;;19.9;72.241667;
83536;31/01/2019;0000;9;1.591398;5;;2.010753;;42.8;;19.754839;60.758065;
83536;28/02/2019;0000;5;1.261905;5;;4.02381;;160.4;;20.825;72.357143;
83536;31/03/2019;0000;9;1.467391;7;;3.978261;;154.6;31.229412;20.190323;71.5;
83536;30/04/2019;0000;5;1.134831;3;;3.539326;;24.4;32.203333;19.6;70.641304;
83536;31/05/2019;0000;0;1.193548;3;;3.129032;;17.3;30.825806;16.680645;;
83536;30/06/2019;0000;9;1.573034;5;;1.393258;;1;29.264286;13.533333;56.689655;
83536;31/07/2019;0000;14;1.786517;7;;0.977778;;2.2;29.057143;12.148387;54.648148;
83536;31/08/2019;0000;9;2.01828;9;;2.139785;;0.2;30.635484;14.567742;51.658333;
83536;30/09/2019;0000;9;1.83908;5;;1.609195;;17.2;34.82963;17.366667;44.935185;
