Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
83538,31/01/2016,0,36.0,,,109.5,8.578804,,382.7,24.56,17.625806,84.68333299999998,-18.23,-43.64,Cerrado
83538,29/02/2016,0,36.0,,,,6.930233,,36.5,,17.608696,,-18.23,-43.64,Cerrado
83538,31/03/2016,0,0.0,0.0,0.0,196.7,6.32967,,90.2,26.845161,17.316129,74.774194,-18.23,-43.64,Cerrado
83538,30/04/2016,0,0.0,0.0,0.0,238.6,4.655556,,53.0,26.853333000000006,16.42,68.125,-18.23,-43.64,Cerrado
83538,31/05/2016,0,36.0,0.0,0.0,203.5,5.462366,,35.6,24.187097,14.551613,75.467742,-18.23,-43.64,Cerrado
83538,30/06/2016,0,36.0,,,197.1,5.088889,,4.3,23.253333,13.333332999999998,72.366667,-18.23,-43.64,Cerrado
83538,31/07/2016,0,36.0,,,196.8,3.509091,,4.3,23.314815,12.625926,,-18.23,-43.64,Cerrado
83538,31/08/2016,0,36.0,0.0,0.0,234.2,5.115942,,5.5,24.782759,13.593103,66.025862,-18.23,-43.64,Cerrado
83538,30/09/2016,0,36.0,,,242.6,5.677778,,22.1,27.073333,14.866667,61.05,-18.23,-43.64,Cerrado
83538,31/10/2016,0,36.0,,,227.6,6.129032,,39.2,27.019355,16.519354999999994,66.177419,-18.23,-43.64,Cerrado
83538,30/11/2016,0,36.0,,,118.4,8.0,,257.8,25.016667,16.253332999999998,78.9,-18.23,-43.64,Cerrado
83538,31/12/2016,0,36.0,,,184.4,7.139785000000002,,130.9,26.432258,16.674194,76.072581,-18.23,-43.64,Cerrado
83538,31/01/2017,0,36.0,,,272.1,5.089286,,129.8,28.059259,16.307407,,-18.23,-43.64,Cerrado
83538,28/02/2017,0,36.0,,,145.7,7.916666999999999,,218.6,24.821429,16.067857,80.160714,-18.23,-43.64,Cerrado
83538,31/03/2017,0,36.0,0.0,0.0,211.7,6.602150999999999,,102.6,26.264516,16.474194,72.895161,-18.23,-43.64,Cerrado
83538,30/04/2017,0,9.0,0.0,0.0,190.8,6.233333,,23.9,24.886667000000006,15.866667,76.008333,-18.23,-43.64,Cerrado
83538,31/05/2017,0,36.0,0.0,0.0,160.0,6.408601999999999,,42.3,22.716129,14.380645,79.241935,-18.23,-43.64,Cerrado
83538,30/06/2017,0,36.0,0.0,0.0,192.5,4.477778,,1.7,22.256667,12.903333,74.216667,-18.23,-43.64,Cerrado
83538,31/07/2017,0,9.0,,,189.6,5.1272730000000015,,5.1,19.137037,10.437037,,-18.23,-43.64,Cerrado
83538,31/08/2017,0,9.0,0.0,0.0,297.1,2.7647060000000003,,0.1,24.444444,11.785714,62.25,-18.23,-43.64,Cerrado
83538,30/09/2017,0,9.0,,,235.8,4.280899,,2.7,,12.043333,59.16379300000001,-18.23,-43.64,Cerrado
83538,31/10/2017,0,9.0,0.0,0.0,260.2,5.139785,,70.1,,15.690323,55.87096800000001,-18.23,-43.64,Cerrado
83538,30/11/2017,0,36.0,,,115.4,8.488889,,183.6,,16.39,79.5,-18.23,-43.64,Cerrado
83538,31/12/2017,0,36.0,,,145.3,7.658602,,196.4,,16.854839000000002,79.44354799999998,-18.23,-43.64,Cerrado
83538,31/01/2018,0,36.0,,,228.1,6.7311830000000015,,58.6,,17.06129,68.903226,-18.23,-43.64,Cerrado
83538,28/02/2018,0,36.0,0.0,0.0,145.5,7.791666999999999,,276.3,,16.657142999999998,79.95535699999998,-18.23,-43.64,Cerrado
