Latitude  (graus) : -20.17
Longitude (graus) : -44.87
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83635;31/01/2016;0000;36;2.225806;4;127.2;8.451613;;405.8;29.154839;19.819355;78.766129;
83635;29/02/2016;0000;36;2.08046;5;222.8;7.45977;;187.4;32.444828;19.531034;68.646552;
83635;31/03/2016;0000;36;2.032258;4;183.5;7.967742;;280.9;30.7;19.377419;72.314516;
83635;30/04/2016;0000;5;1.622222;4;254.7;3.444444;;18.3;31.053333;16.64;63.991667;
83635;31/05/2016;0000;18;2.11828;6;233.8;5.086022;;2.2;28.03871;13.916129;71.782258;
83635;30/06/2016;0000;18;2.077778;5;195.8;4.511111;;77.9;25.466667;11.61;73.55;
83635;31/07/2016;0000;23;2.204301;4;276.6;1.641304;;0;28.093548;10.56129;60.556452;
83635;31/08/2016;0000;36;2.641975;6;;2.91358;;3.7;29.575;13.011111;53.5;
83635;30/09/2016;0000;5;2.422222;7;220.8;5.244444;;23.9;31.863333;15.546667;50.291667;
83635;31/10/2016;0000;36;2.430729;6;212.1;6.784946;;77.9;31.074194;18.119355;61.459677;
83635;30/11/2016;0000;36;2.466667;6;134.3;8.344444;;185.4;28.993333;18.68;72.316667;
83635;31/12/2016;0000;36;2.430108;6;190.2;7.688172;;153.2;30.258065;18.803226;69.072581;
83635;31/01/2017;0000;36;2.49454;5;;8.37037;;118.2;32.007407;20.714815;62.287037;
83635;28/02/2017;0000;5;2.404762;5;186.3;7.309524;;126.2;30.617857;19.217857;65.866071;
83635;31/03/2017;0000;36;2.387097;6;216.3;6.236559;;108.1;30.829032;17.958065;63.774194;
83635;30/04/2017;0000;14;2.366667;5;187.7;6.255556;;47.7;29.47;17.096667;66.875;
83635;31/05/2017;0000;14;2.075269;5;191.2;6.010753;;25.1;27.151613;14.251613;71.548387;
83635;30/06/2017;0000;36;2.037037;4;196.8;3.444444;;17.1;27.107407;11.637037;66.425926;
83635;31/07/2017;0000;9;2.645161;6;254.7;3.053763;;0;24.890323;9.658065;56.032258;
83635;31/08/2017;0000;18;2.44086;7;264.5;2.709677;;0;29.46129;11.7;48.032258;
83635;30/09/2017;0000;5;2.822222;6;280.6;2.266667;;8;30.383333;13.266667;40.458333;
83635;31/10/2017;0000;36;2.346403;4.11552;230.2;5.72043;;122.3;31.596774;17.616129;53.83871;
83635;30/11/2017;0000;36;2.155556;4;146.7;8.211111;;238.6;28.663333;18.686667;69.116667;
83635;31/12/2017;0000;36;1.989558;4;162.5;8.053763;;332.5;30.080645;19.4;72.862903;
83635;31/01/2018;0000;36;2.290361;6;;8.493976;;317;30.825;19.107143;72.62963;
83635;28/02/2018;0000;5;2.13283;4;140.3;8.75;;154.3;29.571429;19.232143;79.821429;
83635;31/03/2018;0000;36;2.043011;4;226.7;6.731183;;155.8;31.087097;19.403226;71.975806;
83635;30/04/2018;0000;9;2.277778;6;203.9;6.266667;;3;28.713333;16.26;67.025;
83635;31/05/2018;0000;14;2.182796;6;247.2;3.483871;;24.4;27.393548;11.948387;65.629032;
83635;30/06/2018;0000;36;2.033333;4;176;5.788889;;10.1;27.27;12.65;69.133333;
83635;31/07/2018;0000;18;1.678571;4;196.6;2.761905;;0;27.907143;10.189286;56.160714;
83635;31/08/2018;0000;9;2.580247;5;;5.580247;;48;27.255556;13.507407;62.314815;
83635;30/09/2018;0000;9;2.511111;6;214.4;4.188889;;47.9;30.316667;15.34;58;
83635;31/10/2018;0000;36;2.16129;8;158.7;8.075269;;135.9;30.641935;18.854839;67.443548;
83635;30/11/2018;0000;36;2.322222;8;142.7;8.722222;;337.3;27.88;18.046667;74.666667;
83635;31/12/2018;0000;36;2.064516;7;196.4;7.204301;;198.8;31.029032;18.819355;70.008065;
83635;31/01/2019;0000;36;2.202703;6;220.1;6.391892;;120.6;32.996552;19.786207;61.34375;
83635;28/02/2019;0000;36;2.178571;6;159.7;7.678571;;373.2;31.075;19.360714;73.267857;
83635;31/03/2019;0000;18;2.204301;5;190.1;7.655914;;156.4;30.493548;18.825806;73.322581;
83635;30/04/2019;0000;18;1.933333;4;204.4;5.966667;;89.4;30.043333;17.986667;75.85;
83635;31/05/2019;0000;18;1.935484;5;193;5.053763;;18.5;28.5;15.032258;75.177419;
83635;30/06/2019;0000;9;2.066667;5;230.9;3.157303;;17;27.09;11.546667;66.866667;
83635;31/07/2019;0000;18;2.013699;5;244.7;2.342466;;1;26.629032;9.067742;;
83635;31/08/2019;0000;9;2.694624;7;242.6;4.172043;;0;28.980645;12.480645;55.427419;
83635;30/09/2019;0000;36;2.455556;7;223.1;3.811111;;50.3;32.71;16.153333;49.491667;
