Latitude  (graus) : -6.66
Longitude (graus) : -69.86
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82610;31/01/2016;0000;0;0;0;51.6;6.076923;;187.2;34.765517;22.566667;89.9375;
82610;29/02/2016;0000;0;0.047855;2.05776;104.1;6.526163;;316.8;34.431034;21.993103;86.913793;
82610;31/03/2016;0000;0;0.022367;2.05776;94.9;7.201087;;278;33.651613;21.974194;88.008065;
82610;30/04/2016;0000;0;0.11432;2.05776;124.6;6.513889;;186.4;33.613333;21.233333;87.341667;
82610;31/05/2016;0000;0;0.154885;2.05776;146.7;6.465054;;106.8;33.374194;20.687097;86.790323;
82610;30/06/2016;0000;0;0.045728;2.05776;143.3;5.375;;235.4;32.253333;19.426667;85.208333;
82610;31/07/2016;0000;0;0.044253;2.05776;193;4.52957;;19.6;34.729032;19.132258;82.233871;
82610;31/08/2016;0000;0;0.066379;2.05776;198.1;5;;15.2;35.348387;19.583871;79.41129;
82610;30/09/2016;0000;0;0.045728;2.05776;99.5;6.208333;;83.8;34.97;19.753333;81.05;
82610;31/10/2016;0000;0;0.088506;2.05776;123.5;6.317204;;326.2;34.587097;21.016129;85.104839;
82610;30/11/2016;0000;0;0.045728;2.05776;129.6;7.125;;194;34.703333;20.796667;87.025;
82610;31/12/2016;0000;0;0.022126;2.05776;61.1;7.110215;;289.2;32.732258;20.354839;91.120968;
82610;31/01/2017;0000;0;0;0;70.6;6.793651;;617.4;32.451613;20.064516;93.120968;
82610;28/02/2017;0000;0;0;0;65.1;6.785714;;392.8;32.45;20.1;90.625;
82610;31/03/2017;0000;0;0.066379;2.05776;102.6;6.465054;;353.6;33.116129;20.606452;88.814516;
82610;30/04/2017;0000;0;0.069363;2.05776;85.7;6.530899;;261.8;33.056667;20.613333;87.316667;
82610;31/05/2017;0000;0;0;0;96;5.875;;293.6;32.296667;20.726667;89.575;
82610;30/06/2017;0000;0;0.184967;2.05776;129.9;5.674157;;21.6;31.51;19.16;87.041667;
82610;31/07/2017;0000;0;0.140302;2.05776;177.3;4.559659;;16.2;32.689655;17.2;80.543103;
82610;31/08/2017;0000;0;0.022367;2.05776;170.6;5.258152;;56.2;34.406667;19.832258;81.625;
82610;30/09/2017;0000;0;0.024209;2.05776;70.5;6.264706;;99.6;33.744444;20.396552;83.796296;
82610;31/10/2017;0000;0;0.044253;2.05776;157.2;6.357527;;349.8;33.135484;20.36129;84.66129;
82610;30/11/2017;0000;0;0;0;92.6;7.159091;;439.6;31.95;20.755172;89.475;
82610;31/12/2017;0000;0;0;0;63.9;6.576705;;287.8;31.796667;20.553333;88.008333;
82610;31/01/2018;0000;0;0;0;88.4;6.289063;;566.6;31.767742;19.845161;90.91129;
82610;28/02/2018;0000;0;0.024497;2.05776;60.4;6.815476;;240.6;30.7;20.035714;89.857143;
82610;31/03/2018;0000;0;0.022126;2.05776;74.9;6.303763;;358.6;31.890323;20.467742;87.266129;
82610;30/04/2018;0000;0;0.022864;2.05776;62.3;6.763889;;503.6;31.343333;20.11;88.208333;
82610;31/05/2018;0000;0;0.022126;2.05776;88;6.276882;;271.6;31.412903;19.758065;87.580645;
82610;30/06/2018;0000;0;0.092484;2.05776;127.7;5.589888;;31.4;30.72069;17.853333;83.198276;
82610;31/07/2018;0000;0;0.089468;2.05776;186.3;4.6875;;84.2;32.254839;18.01;82.58871;
82610;31/08/2018;0000;0;0.044734;2.05776;175.9;5.611413;;99.8;31.887097;17.887097;82.225806;
82610;30/09/2018;0000;0;0.023121;2.05776;174.8;5.519663;;166.4;33.910345;19.006667;81.818966;
82610;31/10/2018;0000;0;0.022613;2.05776;118.7;6.771978;;227.8;33.02;20.9;84.483871;
82610;30/11/2018;0000;0;0.022864;2.05776;77.5;6.486111;;363.8;32.403333;23.813333;83.983333;
82610;31/12/2018;0000;0;0.034409;1.6;61.1;7.634409;;315;31.070968;23.03871;87.733871;
82610;31/01/2019;0000;0;0.022222;1.6;76.7;6.75;;438.4;31.670968;22.529032;88.91129;
82610;28/02/2019;0000;0;0.019048;1.6;89.5;7.940476;;528.4;32.278571;23.628571;86.285714;
82610;31/03/2019;0000;0;0;0;119.8;7.311828;;276.2;32.84;23.566667;86.669355;
82610;30/04/2019;0000;0;0;0;110.1;7.444444;;289;32.573333;23.46;87.991667;
82610;31/05/2019;0000;0;0.12043;1.6;130.2;6.817204;;214;31.546667;22.696774;86.427419;
82610;30/06/2019;0000;0;0.017778;1.6;116.8;6.488889;;121.6;32.383333;22.696552;86.325;
82610;31/07/2019;0000;0;0.132759;2.05776;179.3;5.322581;;71.8;32.164516;21.006452;84.685484;
82610;31/08/2019;0000;0;0.110632;2.05776;197.9;4.758065;;27;33.406452;20.535484;80.040323;
82610;30/09/2019;0000;0;0.135379;2.05776;142.5;5.328947;;61;34.613333;22.8;81.55;
