Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
83338,31/01/2016,0,5.0,2.384615,6.0,147.0,7.942308000000001,,327.0,30.851613,23.046154,,"-14.91
","-42.8
"
83338,29/02/2016,0,14.0,3.06,7.0,292.8,4.12,,0.4,33.231034,22.971999999999998,,"-14.91
","-42.8
"
83338,31/03/2016,0,,3.5,6.0,,,,0.0,33.35,23.942104999999998,,"-14.91
","-42.8
"
83338,30/04/2016,0,14.0,3.78,7.0,273.7,3.98,,1.0,33.353571,23.608,,"-14.91
","-42.8
"
83338,31/05/2016,0,14.0,2.92,7.0,276.6,4.26,,0.0,31.990322999999997,20.732,,"-14.91
","-42.8
"
83338,30/06/2016,0,14.0,3.365385,7.0,260.2,4.442308000000001,,1.8,30.7,19.85,,"-14.91
","-42.8
"
83338,31/07/2016,0,,3.5,7.0,,,,7.4,30.455,19.876471,,"-14.91
","-42.8
"
83338,31/08/2016,0,14.0,4.277778,8.0,291.9,3.925926,,0.0,31.796774,19.740741,,"-14.91
","-42.8
"
83338,30/09/2016,0,9.0,3.9038459999999997,8.0,275.4,4.2307690000000004,,0.1,32.963333,20.9,,"-14.91
","-42.8
"
83338,31/10/2016,0,14.0,4.130434999999999,8.0,237.9,4.73913,,10.3,34.239286,22.647826000000002,,"-14.91
","-42.8
"
83338,30/11/2016,0,,4.264705999999999,8.0,,,,0.0,33.378947,22.182353,,"-14.91
","-42.8
"
83338,31/12/2016,0,9.0,3.407407,7.0,237.6,6.574074,,80.9,31.635484,21.966667,,"-14.91
","-42.8
"
83338,31/01/2017,0,14.0,3.557692,7.0,312.7,4.9807690000000004,,3.0,34.683871,22.980769,,"-14.91
","-42.8
"
83338,28/02/2017,0,9.0,3.375,7.0,190.4,6.9375,,83.8,31.412,22.191667000000002,,"-14.91
","-42.8
"
83338,31/03/2017,0,5.0,2.944444,8.0,266.0,5.444444,,92.5,33.435484,22.392592999999998,,"-14.91
","-42.8
"
83338,30/04/2017,0,9.0,3.82,7.0,256.3,4.72,,11.0,32.148,21.496,,"-14.91
","-42.8
"
83338,31/05/2017,0,14.0,3.333333,7.0,235.7,4.944444,,2.8,31.074194,20.148148000000003,,"-14.91
","-42.8
"
83338,30/06/2017,0,14.0,3.9634620000000003,7.0,264.0,3.865385,,0.0,29.926923,18.65,,"-14.91
","-42.8
"
83338,31/07/2017,0,,5.029412000000001,8.0,,,,0.6,27.33,17.152941000000002,,"-14.91
","-42.8
"
83338,31/08/2017,0,14.0,4.031480999999999,8.0,304.1,2.296296,,0.0,30.855556,17.411111,,"-14.91
","-42.8
"
83338,30/09/2017,0,9.0,5.0192309999999996,9.0,275.7,3.9230769999999997,,0.1,30.793333,19.05,,"-14.91
","-42.8
"
83338,31/10/2017,0,,4.623529,8.2,,,,0.0,34.826316,22.411765,,"-14.91
","-42.8
"
83338,30/11/2017,0,14.0,3.7115379999999996,8.0,177.1,7.211538000000001,,68.1,32.533333,22.369231,,"-14.91
","-42.8
"
83338,31/12/2017,0,,2.727273,5.0,,,,93.5,29.447368,21.941176000000002,,"-14.91
","-42.8
"
83338,31/01/2018,0,5.0,3.5471699999999995,8.0,,5.849057,,37.6,32.65,22.5,,"-14.91
","-42.8
"
83338,28/02/2018,0,5.0,2.8125,6.0,,6.7083330000000005,,57.5,30.8625,22.165217000000002,,"-14.91
","-42.8
"
83338,31/03/2018,0,5.0,2.5370369999999998,6.0,196.0,6.1666669999999995,,80.6,31.381481,21.588,,"-14.91
","-42.8
"
83338,30/04/2018,0,14.0,3.44,7.0,,6.38,,2.0,31.188000000000002,21.486957,,"-14.91
","-42.8
"
83338,31/05/2018,0,14.0,3.4444440000000003,8.0,205.1,4.759258999999999,,1.0,30.848148,20.281481,,"-14.91
","-42.8
"
83338,30/06/2018,0,14.0,3.6538459999999997,7.0,,4.403846,,0.0,30.088462,18.746154,,"-14.91
","-42.8
"
83338,31/07/2018,0,,3.6944440000000003,6.0,,,,0.0,30.026315999999998,17.394444,,"-14.91
","-42.8
"
83338,31/08/2018,0,14.0,3.9230769999999997,8.0,,4.7307690000000004,,0.6,31.923077000000003,21.1,,"-14.91
","-42.8
"
83338,30/09/2018,0,14.0,3.8346940000000003,8.0,,3.3265309999999997,,0.0,33.868,21.788,,"-14.91
","-42.8
"
83338,31/10/2018,0,,3.222222,7.0,,,,77.0,33.972221999999995,23.417647,,"-14.91
","-42.8
"
83338,30/11/2018,0,,3.95,7.0,,,,120.6,30.675,21.57,,"-14.91
","-42.8
"
83338,31/12/2018,0,,2.606667,6.0,,,,278.6,29.92,20.846667,,"-14.91
","-42.8
"
83338,31/01/2019,0,,,,,,,6.6,,,,"-14.91
","-42.8
"
83338,28/02/2019,0,,2.394737,5.0,,,,65.9,34.073684,22.777778,,"-14.91
","-42.8
"
83338,31/03/2019,0,,,,,,,0.0,,,,"-14.91
","-42.8
"
