Latitude  (graus) : -14.91
Longitude (graus) : -42.8
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83338;31/01/2016;0000;5;2.384615;6;147;7.942308;;327;30.851613;23.046154;;
83338;29/02/2016;0000;14;3.06;7;292.8;4.12;;0.4;33.231034;22.972;;
83338;31/03/2016;0000;;3.5;6;;;;0;33.35;23.942105;;
83338;30/04/2016;0000;14;3.78;7;273.7;3.98;;1;33.353571;23.608;;
83338;31/05/2016;0000;14;2.92;7;276.6;4.26;;0;31.990323;20.732;;
83338;30/06/2016;0000;14;3.365385;7;260.2;4.442308;;1.8;30.7;19.85;;
83338;31/07/2016;0000;;3.5;7;;;;7.4;30.455;19.876471;;
83338;31/08/2016;0000;14;4.277778;8;291.9;3.925926;;0;31.796774;19.740741;;
83338;30/09/2016;0000;9;3.903846;8;275.4;4.230769;;0.1;32.963333;20.9;;
83338;31/10/2016;0000;14;4.130435;8;237.9;4.73913;;10.3;34.239286;22.647826;;
83338;30/11/2016;0000;;4.264706;8;;;;0;33.378947;22.182353;;
83338;31/12/2016;0000;9;3.407407;7;237.6;6.574074;;80.9;31.635484;21.966667;;
83338;31/01/2017;0000;14;3.557692;7;312.7;4.980769;;3;34.683871;22.980769;;
83338;28/02/2017;0000;9;3.375;7;190.4;6.9375;;83.8;31.412;22.191667;;
83338;31/03/2017;0000;5;2.944444;8;266;5.444444;;92.5;33.435484;22.392593;;
83338;30/04/2017;0000;9;3.82;7;256.3;4.72;;11;32.148;21.496;;
83338;31/05/2017;0000;14;3.333333;7;235.7;4.944444;;2.8;31.074194;20.148148;;
83338;30/06/2017;0000;14;3.963462;7;264;3.865385;;0;29.926923;18.65;;
83338;31/07/2017;0000;;5.029412;8;;;;0.6;27.33;17.152941;;
83338;31/08/2017;0000;14;4.031481;8;304.1;2.296296;;0;30.855556;17.411111;;
83338;30/09/2017;0000;9;5.019231;9;275.7;3.923077;;0.1;30.793333;19.05;;
83338;31/10/2017;0000;;4.623529;8.2;;;;0;34.826316;22.411765;;
83338;30/11/2017;0000;14;3.711538;8;177.1;7.211538;;68.1;32.533333;22.369231;;
83338;31/12/2017;0000;;2.727273;5;;;;93.5;29.447368;21.941176;;
83338;31/01/2018;0000;5;3.54717;8;;5.849057;;37.6;32.65;22.5;;
83338;28/02/2018;0000;5;2.8125;6;;6.708333;;57.5;30.8625;22.165217;;
83338;31/03/2018;0000;5;2.537037;6;196;6.166667;;80.6;31.381481;21.588;;
83338;30/04/2018;0000;14;3.44;7;;6.38;;2;31.188;21.486957;;
83338;31/05/2018;0000;14;3.444444;8;205.1;4.759259;;1;30.848148;20.281481;;
83338;30/06/2018;0000;14;3.653846;7;;4.403846;;0;30.088462;18.746154;;
83338;31/07/2018;0000;;3.694444;6;;;;0;30.026316;17.394444;;
83338;31/08/2018;0000;14;3.923077;8;;4.730769;;0.6;31.923077;21.1;;
83338;30/09/2018;0000;14;3.834694;8;;3.326531;;0;33.868;21.788;;
83338;31/10/2018;0000;;3.222222;7;;;;77;33.972222;23.417647;;
83338;30/11/2018;0000;;3.95;7;;;;120.6;30.675;21.57;;
83338;31/12/2018;0000;;2.606667;6;;;;278.6;29.92;20.846667;;
83338;31/01/2019;0000;;;;;;;6.6;;;;
83338;28/02/2019;0000;;2.394737;5;;;;65.9;34.073684;22.777778;;
83338;31/03/2019;0000;;;;;;;0;;;;
