Latitude  (graus) : -6.11
Longitude (graus) : -36.81
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82691;29/02/2016;0000;14;3.052632;4;235.5;4.578947;;54.5;33.631034;19.317241;69.730769;
82691;31/03/2016;0000;14;3.222861;4.11552;;5.708333;;74.5;;20.551724;;
82691;30/04/2016;0000;14;3.276171;4.11552;;5.789474;;80.3;;19.962963;;
82691;31/05/2016;0000;14;3.388208;6.17328;;4.806034;;28.8;;19.673333;;
82691;30/06/2016;0000;14;3.454097;6.17328;;3.837719;;24;;18.592857;;
82691;31/07/2016;0000;14;3.862813;6.17328;;3.618421;;0;;18.023333;;
82691;31/08/2016;0000;14;3.875448;6.17328;;3.479167;;0;;20.75;;
82691;30/09/2016;0000;14;3.654298;6.17328;;3.038793;;0;;21.493333;;
82691;31/10/2016;0000;14;3.84565;6.17328;;4.118852;;0;;19.258065;;
82691;30/11/2016;0000;14;3.73187;4.11552;;4.745763;;0;;19.356667;;
82691;31/12/2016;0000;14;3.677699;4.11552;;6.409574;;1;;19.786957;;
82691;28/02/2017;0000;14;3.018182;4;;4.727273;;32.5;35.210714;19.632143;68.461538;
82691;31/03/2017;0000;14;2.741935;4;;6.935484;;177.3;32.770968;19.103226;79.322581;
82691;30/04/2017;0000;14;2.833333;4;;5.183333;;130.1;32.66;19.236667;75.192308;
82691;31/05/2017;0000;14;3.193548;4;;4.709677;;55.4;33.151613;20.812903;72.580645;
82691;30/06/2017;0000;14;3.333333;4;;3.866667;;46;32.106667;20.986667;68.7;
82691;31/07/2017;0000;14;3.774194;6;;5.129032;;29.6;30.019355;20.893548;71.387097;
82691;31/08/2017;0000;14;3.603226;6;;1.177419;;0;33.306452;21.570968;64.677419;
82691;30/09/2017;0000;14;3.9;6;;2.083333;;0;33.586667;21.976667;64.1;
82691;31/10/2017;0000;14;3.688889;6;;2.533333;;0;34.677273;23.022727;64.227273;
82691;30/11/2017;0000;14;3.264912;6;;2.105263;;0;35.47931;23.082759;63.068966;
82691;31/12/2017;0000;14;3.354839;4;;3.66129;;3.9;35.316129;23.377419;65.806452;
82691;28/02/2018;0000;14;2.981818;6;;6.654545;;128.3;32.510714;22.714286;77.821429;
82691;31/03/2018;0000;14;2.645161;4;;5.612903;;131.4;33.319355;22.677419;78.3;
82691;30/04/2018;0000;14;2.933333;4;;7.3;;237.6;30.87;22.883333;83.068966;
82691;31/05/2018;0000;14;3.290323;6;;5.451613;;24.2;31.26129;22.780645;76.258065;
82691;30/06/2018;0000;;;;;;;0;;;;
