Latitude  (graus) : -19.88
Longitude (graus) : -44.41
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83581;31/01/2016;0000;;;;;;;455.4;29.525806;19.435484;;
83581;29/02/2016;0000;;;;;;;40.2;33.896552;18.965517;;
83581;31/03/2016;0000;;;;;;;128.6;31.674194;17.970968;;
83581;30/04/2016;0000;;;;;;;19.2;32.316667;15.02;;
83581;31/05/2016;0000;;;;;;;16;28.304545;12.390909;;
83581;30/06/2016;0000;;;;;;;41.6;26.83;10.373333;;
83581;31/07/2016;0000;;;;;;;0;28.948387;8.080645;;
83581;31/08/2016;0000;;;;;;;1.6;30.37;9.967742;;
83581;30/09/2016;0000;;;;;;;66.2;32.092593;13.733333;;
83581;31/10/2016;0000;;;;;;;112;31.509677;16.680645;;
83581;30/11/2016;0000;;;;;;;201.9;29.926667;16.966667;;
83581;31/12/2016;0000;;;;;;;289.2;30.643333;16.733333;;
83581;31/01/2017;0000;;;;;;;143;32.562069;16.872414;;
83581;28/02/2017;0000;;;;;;;165.2;30.807143;16.571429;;
83581;31/03/2017;0000;;;;;;;134.1;31.13871;15.058065;;
83581;30/04/2017;0000;;;;;;;31.8;30.23;14.006897;;
83581;31/05/2017;0000;;;;;;;50;27.819355;11.96129;;
83581;30/06/2017;0000;;;;;;;19.8;28.248148;8.514815;;
83581;31/07/2017;0000;;;;;;;0;25.44;5.206667;;
83581;31/08/2017;0000;;;;;;;3.2;29.909677;7.754839;;
83581;30/09/2017;0000;;;;;;;15;30.717857;8.964286;;
83581;31/10/2017;0000;;;;;;;100.2;32.141935;16.012903;;
83581;30/11/2017;0000;;;;;;;130;29.123333;18.296667;;
83581;31/12/2017;0000;;;;;;;227.4;31.022581;19.345161;;
83581;31/01/2018;0000;;;;;;;177.4;31.966667;18.673333;;
83581;28/02/2018;0000;;;;;;;292;29.188889;18.233333;;
83581;31/03/2018;0000;;;;;;;175.6;31.493333;18.486667;;
83581;30/04/2018;0000;;;;;;;7.4;30.053333;15.25;;
83581;31/05/2018;0000;;;;;;;19.8;28.419355;10.709677;;
