Latitude  (graus) : -27.58
Longitude (graus) : -48.56
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83897;31/01/2016;0000;36;2.658065;8.1;198.2;6.494624;;242.9;29.896774;22.206452;75.822581;
83897;29/02/2016;0000;14;2.511494;8.3;153.4;7.298851;;229.4;30.427586;22.775862;79.672414;
83897;31/03/2016;0000;14;2.217204;5.6;186.3;6.129032;;281.3;29.087097;20.558065;77.451613;
83897;30/04/2016;0000;36;2.17208;6.17328;183.9;5.972222;;104.9;28.84;21.423333;80.083333;
83897;31/05/2016;0000;14;1.753521;8.74548;122.8;7.33871;;73.5;22.264516;14.880645;81.516129;
83897;30/06/2016;0000;14;1.97202;8.23104;138;5.710227;;42.9;18.966667;10.683333;81.408333;
83897;31/07/2016;0000;36;2.522415;25.722;192.9;5.05814;;117.5;20.722581;12.319355;80.080645;
83897;31/08/2016;0000;36;2.616453;7.20216;182.3;6.061828;;77.6;22.390323;13.645161;78.879032;
83897;30/09/2016;0000;14;2.52933;9.25992;203.5;5.208333;;112.9;23.423333;14.753333;73.908333;
83897;31/10/2016;0000;14;2.666237;12.34656;134.1;7.916667;;177.9;24.190323;;78.709677;
83897;30/11/2016;0000;14;2.417868;8.74548;184.9;6.944444;;47.4;26.41;18.435;72.325;
83897;31/12/2016;0000;36;1.637357;7.20216;163;6.989247;;252.8;28.580645;20.641935;78.596774;
83897;31/01/2017;0000;14;2.204301;9;218.9;7.053763;;200.7;31.016129;22.277419;77.080645;
83897;28/02/2017;0000;36;1.423077;9;175.6;6.397436;;133.4;31.073077;23.469231;76.336538;
83897;31/03/2017;0000;14;1.709677;9;173.1;7.322581;;226.4;28.977419;20.967742;78.040323;
83897;30/04/2017;0000;0;1.355556;5;145.6;6.288889;;134.1;26.183333;18.286667;79.591667;
83897;31/05/2017;0000;0;1.268817;5;130.8;7.139785;;231.7;24.296774;17.345161;83.064516;
83897;30/06/2017;0000;32;1.444444;6;155.4;5.888889;;163.7;23.563333;14.38;80.533333;
83897;31/07/2017;0000;36;1.783871;9;246.7;3.053763;;9.4;23.332258;13.26129;78.83871;
83897;31/08/2017;0000;36;1.853763;9;167.9;6.150538;;116.3;23.190323;15.306452;77;
83897;30/09/2017;0000;36;2.544444;9;156.7;7.088889;;104.1;24.636667;18.506667;80.183333;
83897;31/10/2017;0000;0;1.567901;9;148.9;7.308642;;100;25.555172;18.217241;76.974138;
83897;30/11/2017;0000;0;1.384615;12;209.1;6.115385;;102.5;26.392308;18.465385;72.730769;
83897;31/12/2017;0000;;;;;;;8.5;;;;
83897;31/01/2018;0000;0;0.777778;3;;8.466667;;315.2;29.386957;22.06087;81.217391;
83897;28/02/2018;0000;0;1.151899;5;176.4;6.772152;;116.6;29.096296;20.444444;73.935185;
83897;31/03/2018;0000;0;0.634615;5;118.9;8.5;;121.3;28.473077;21.384615;80.798077;
83897;30/04/2018;0000;0;0.713462;6;206.7;4.211538;;32.5;29.330769;19.565385;78.92;
83897;31/05/2018;0000;0;0.444444;1;;6.277778;;46.4;25.077778;17.048148;81.222222;
83897;30/06/2018;0000;0;0.615385;3;;7.173077;;58;22.011538;13.896154;82.923077;
83897;31/07/2018;0000;0;1.557692;17;;6.557692;;110.9;21.242308;14.15;84.423077;
83897;31/08/2018;0000;0;1.267857;5;154.9;5.25;;70;21.042857;12.553571;78.962963;
83897;30/09/2018;0000;0;1.066667;7;141.6;6.416667;;202.5;24.243333;17;83.034483;
83897;31/10/2018;0000;0;1.870968;7;124.4;8.725806;;101.6;24.483871;18.174194;81.290323;
83897;30/11/2018;0000;36;1.283333;9;184.2;8.133333;;108.9;27.09;19.626667;76.633333;
83897;31/12/2018;0000;36;1.564516;9;248.2;7.016129;;154.9;29.477419;20.887097;76.774194;
83897;31/01/2019;0000;0;1.112903;9;209.9;7.580645;;236.3;32.493548;24.019355;81.354839;
83897;28/02/2019;0000;0;1.428571;9;168.5;6.982143;;274.8;29.728571;21.303571;80.071429;
83897;31/03/2019;0000;;1.797446;7;;7.057471;;72.5;29.232258;22.579167;74.508065;
83897;30/04/2019;0000;14;1.666667;7;;5.674157;;69.1;28.023333;19.936;78.941667;
83897;31/05/2019;0000;0;1.018519;5;;7.690909;;123.1;25.389286;19.177778;84.098214;
83897;30/06/2019;0000;0;0.823529;7;;5.196078;;12.8;25.936;15.956;83.36;
83897;31/07/2019;0000;0;1.207547;9;;6.207547;;26.6;21.918519;13.318519;80.222222;
83897;31/08/2019;0000;36;2.388889;20;;6.481481;;5.5;22.303704;14.181481;79.222222;
83897;30/09/2019;0000;18;1.92;7;;8.6;;43.4;21.992;16.244;79.52;
