Latitude  (graus) : -3.81
Longitude (graus) : -38.53
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82397;31/01/2016;0000;9;2.31087;4.6;185.5;7.478261;;309.7;31.219355;24.306452;82.58871;
82397;29/02/2016;0000;9;2.134483;5;191.4;7.218391;;169.2;31.265517;24.327586;81.544643;
82397;31/03/2016;0000;9;2.193436;6.68772;230.4;6.75;;265;32.13;24.635484;80.566667;
82397;30/04/2016;0000;9;2.069192;5.65884;185.8;6.708333;;411.3;31.19;24.013333;83.2;
82397;31/05/2016;0000;9;2.376489;5.1444;249.5;5.430108;;123.1;31.387097;24.041935;80.725806;
82397;30/06/2016;0000;9;2.835136;5.65884;261.1;4.569444;;30.3;31.74;23.926667;76.225;
82397;31/07/2016;0000;14;2.547308;5.1444;267.1;5.241935;;5.3;31.793548;23.767742;;
82397;31/08/2016;0000;9;3.446195;6.68772;295.4;4.072581;;9.7;31.729032;23.822581;71.830645;
82397;30/09/2016;0000;9;3.738264;6.17328;299.9;4.305556;;9.8;31.727586;24.563333;72.408333;
82397;31/10/2016;0000;9;3.684054;8.23104;308.1;3.91129;;7.6;32.451613;24.951613;73.459677;
82397;30/11/2016;0000;9;3.555352;7.20216;305.8;4.763889;;7.8;32.593333;25.573333;74.183333;
82397;31/12/2016;0000;9;2.976008;5.1444;238.7;6.491935;;74.2;32.370968;25.480645;76.048387;
82397;31/01/2017;0000;9;2.904301;5;243.9;6.311828;;106.8;31.332258;24.841935;78.854839;
82397;28/02/2017;0000;9;2.347619;4.6;180.8;7.071429;;227.4;31.15;24.603571;81.892857;
82397;31/03/2017;0000;9;1.445161;4.1;113.4;8.354839;;477.9;30.306452;23.903226;86.629032;
82397;30/04/2017;0000;9;1.652222;4.8;173.7;6.411111;;346;30.97;24.37;85.116667;
82397;31/05/2017;0000;9;1.891398;4.8;197.6;6.419355;;136.7;31.364516;24.593548;82.008065;
82397;30/06/2017;0000;9;2.214444;4.8;240.4;5.488889;;48;31.613333;24.166667;77.675;
82397;31/07/2017;0000;9;2.452688;5.3;229.9;5.505376;;78.1;31.596774;23.093548;75.419355;
82397;31/08/2017;0000;9;3.386022;7.6;286.8;3.494624;;1.5;31.56129;23.712903;73.379032;
82397;30/09/2017;0000;9;3.51;6.3;289.6;3.466667;;7.4;32.023333;23.93;70.783333;
82397;31/10/2017;0000;9;3.623656;5.6;290.6;4.666667;;10.7;32.067742;24.629032;72.451613;
82397;30/11/2017;0000;9;3.042222;5.3;291.7;5.577778;;9.5;31.776667;25.003333;72.891667;
82397;31/12/2017;0000;9;2.978495;5;275.4;5.924731;;20.7;31.954839;25.596774;74.725806;
82397;31/01/2018;0000;9;2.564516;5;221.1;6.774194;;151.6;31.535484;24.496774;77.185484;
82397;28/02/2018;0000;5;1.708333;5;150.4;7.761905;;229.5;30.432143;24.075;83.446429;
82397;31/03/2018;0000;9;1.943011;5.1;210.1;7.44086;;277.4;31.277419;24.535484;80.612903;
82397;30/04/2018;0000;9;1.775556;4.8;166;7.555556;;185.8;31.193333;23.766667;82.558333;
82397;31/05/2018;0000;9;1.908602;4.6;187.1;7.494624;;217.1;31.183871;23.983871;80.516129;
82397;30/06/2018;0000;9;2.463333;5;237.3;4.688889;;51.2;30.973333;23.23;76.825;
82397;31/07/2018;0000;9;2.715054;5.3;240.1;4.591398;;97.4;30.848387;23.151613;76.177419;
82397;31/08/2018;0000;9;2.995699;5;264.9;4.354839;;21;31.209677;23.754839;74.314516;
82397;30/09/2018;0000;9;3.584444;5.8;285;3.633333;;5.4;31.85;24.11;72.391667;
82397;31/10/2018;0000;9;3.445161;5.6;285.1;4.698925;;6.3;31.948387;24.951613;72.193548;
82397;30/11/2018;0000;9;3.576667;5.8;272.9;5.288889;;3.3;32.523333;25.643333;72.341667;
82397;31/12/2018;0000;9;2.597849;5;232.6;6.322581;;107.7;31.674194;24.632258;78.903226;
82397;31/01/2019;0000;9;2.202151;5.6;197.4;6.806452;;210.2;31.193548;24.709677;81.556452;
82397;28/02/2019;0000;9;1.583465;5.1444;141.8;7.741071;;319.3;31.053571;24.496429;84.741071;
82397;31/03/2019;0000;0;1.244613;3.60108;108.7;8.024194;;397.6;30.303226;23.806452;90.104839;
82397;30/04/2019;0000;0;1.263236;4.62996;96.1;8.083333;;430.4;30.426667;24.096667;87.091667;
82397;31/05/2019;0000;9;1.979476;5.1444;169.5;6.915761;;353.4;31.173333;24.325806;84.358333;
82397;30/06/2019;0000;14;2.14007;5.1444;177.4;5.475;;206.1;30.725;23.664;80.125;
82397;31/07/2019;0000;9;2.755929;5.1444;;6.488095;;49.5;30.875;23.13913;78.15;
82397;31/08/2019;0000;14;3.210487;5.1444;233;4.652778;;18.7;31.274074;23.225926;73;
82397;30/09/2019;0000;9;3.446748;5.65884;227.6;5.525;;8.9;31.424;24.364;73.36;
