Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
82893,31/01/2016,0,9.0,3.632258,7.0,70.2,8.147541,,87.0,,,,-8.88,-36.51,Caatinga
82893,29/02/2016,0,,1.9967740000000005,5.0,,,,49.2,,,,-8.88,-36.51,Caatinga
82893,31/03/2016,0,14.0,2.103692,7.202160000000001,,7.366071000000002,,35.2,,,,-8.88,-36.51,Caatinga
82893,30/04/2016,0,,2.239327,6.68772,,,,12.7,,,,-8.88,-36.51,Caatinga
82893,31/05/2016,0,18.0,1.747155,5.1444,,7.877358,,63.0,,,,-8.88,-36.51,Caatinga
82893,30/06/2016,0,18.0,2.38078,5.1444,,7.5,,34.0,,16.704762,,-8.88,-36.51,Caatinga
82893,31/07/2016,0,14.0,2.5722,5.1444,,8.341837,,45.1,,,,-8.88,-36.51,Caatinga
82893,31/08/2016,0,14.0,2.978967,6.17328,,7.761628,,34.0,,,,-8.88,-36.51,Caatinga
82893,30/09/2016,0,14.0,3.041514,6.68772,,6.644736999999999,,15.5,,,,-8.88,-36.51,Caatinga
82893,31/10/2016,0,14.0,3.65824,8.23104,,6.4120370000000015,,10.4,,,,-8.88,-36.51,Caatinga
82893,30/11/2016,0,14.0,3.353387,9.77436,,7.0833330000000005,,3.0,,,,-8.88,-36.51,Caatinga
82893,31/12/2016,0,14.0,2.777976,6.68772,,6.9021740000000005,,0.8,,,,-8.88,-36.51,Caatinga
82893,31/01/2017,0,14.0,1.823729,6.0,107.9,7.525424,,4.0,,,,-8.88,-36.51,Caatinga
82893,28/02/2017,0,18.0,1.866071,5.3,85.0,7.25,,0.8,,,,-8.88,-36.51,Caatinga
82893,31/03/2017,0,,1.995,5.8,,,,2.0,,,,-8.88,-36.51,Caatinga
82893,30/04/2017,0,14.0,1.901818,5.3,155.2,8.072727,,50.9,,,,-8.88,-36.51,Caatinga
82893,31/05/2017,0,18.0,1.515254,5.0,124.4,8.288136,,340.5,,,,-8.88,-36.51,Caatinga
82893,30/06/2017,0,,1.207692,4.1,,,,144.5,,,,-8.88,-36.51,Caatinga
82893,31/07/2017,0,18.0,2.205556,5.6,22.0,9.592593,,339.7,,,,-8.88,-36.51,Caatinga
82893,31/08/2017,0,18.0,1.984483,5.0,28.6,8.448276,,145.2,,,,-8.88,-36.51,Caatinga
82893,30/09/2017,0,,,,,,,20.6,,,,-8.88,-36.51,Caatinga
82893,31/10/2017,0,14.0,2.963158,6.6,0.3,7.701753999999998,,18.1,,,,-8.88,-36.51,Caatinga
82893,30/11/2017,0,9.0,3.330357,9.1,,6.327273,,4.0,,,,-8.88,-36.51,Caatinga
82893,31/12/2017,0,,3.7,8.3,,,,31.2,,,,-8.88,-36.51,Caatinga
82893,31/01/2018,0,14.0,2.22807,8.3,35.2,7.553571000000002,,34.0,,,,-8.88,-36.51,Caatinga
82893,28/02/2018,0,,,,,,,0.0,,,,-8.88,-36.51,Caatinga
82893,31/03/2018,0,5.0,2.208621,6.6,33.3,7.017544,,42.6,,,,-8.88,-36.51,Caatinga
82893,30/04/2018,0,18.0,1.016667,5.0,,8.125,,105.7,25.3125,18.688,,-8.88,-36.51,Caatinga
82893,31/05/2018,0,14.0,1.257407,5.8,101.6,8.5,,141.1,24.927273,18.203704,,-8.88,-36.51,Caatinga
82893,30/06/2018,0,14.0,1.157692,5.0,117.5,7.673077,,54.5,24.6,16.969231,,-8.88,-36.51,Caatinga
82893,31/07/2018,0,18.0,1.153648,5.0,113.0,8.627358000000001,,53.8,23.756522,16.169231,,-8.88,-36.51,Caatinga
82893,31/08/2018,0,14.0,2.301887,5.8,153.8,7.074074,,32.5,25.3,16.407407,,-8.88,-36.51,Caatinga
82893,30/09/2018,0,,,,,,,10.4,,,,-8.88,-36.51,Caatinga
82893,31/10/2018,0,14.0,3.096296,8.3,113.3,5.981481,,1.8,30.0,17.992593,,-8.88,-36.51,Caatinga
82893,30/11/2018,0,14.0,2.371154,5.8,120.1,7.384614999999998,,3.9,29.590909000000003,18.546154,,-8.88,-36.51,Caatinga
82893,31/12/2018,0,14.0,2.738462,7.3,135.6,6.8461539999999985,,37.5,29.6,18.192308,,-8.88,-36.51,Caatinga
82893,31/01/2019,0,14.0,1.305556,5.0,124.0,8.148147999999999,,35.1,28.491304,18.377778,,-8.88,-36.51,Caatinga
82893,28/02/2019,0,,,5.1444,,,,6.2,,,,-8.88,-36.51,Caatinga
82893,31/03/2019,0,,,,,,,14.8,,,,-8.88,-36.51,Caatinga
82893,30/04/2019,0,14.0,1.461477,3.6010800000000005,,7.386364,,39.0,,,,-8.88,-36.51,Caatinga
82893,31/05/2019,0,14.0,1.154865,3.6010800000000005,,6.913264999999999,,42.7,,,,-8.88,-36.51,Caatinga
82893,30/06/2019,0,,,4.11552,,,,25.8,,,,-8.88,-36.51,Caatinga
82893,31/07/2019,0,,1.528622,5.1444,,,,180.6,,,,-8.88,-36.51,Caatinga
82893,31/08/2019,0,14.0,1.368191,5.1444,,8.75,,125.3,,,,-8.88,-36.51,Caatinga
82893,30/09/2019,0,,,,,,,11.5,,,,-8.88,-36.51,Caatinga
