Latitude  (graus) : -8.88
Longitude (graus) : -36.51
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82893;31/01/2016;0000;9;3.632258;7;70.2;8.147541;;87;;;;
82893;29/02/2016;0000;;1.996774;5;;;;49.2;;;;
82893;31/03/2016;0000;14;2.103692;7.20216;;7.366071;;35.2;;;;
82893;30/04/2016;0000;;2.239327;6.68772;;;;12.7;;;;
82893;31/05/2016;0000;18;1.747155;5.1444;;7.877358;;63;;;;
82893;30/06/2016;0000;18;2.38078;5.1444;;7.5;;34;;16.704762;;
82893;31/07/2016;0000;14;2.5722;5.1444;;8.341837;;45.1;;;;
82893;31/08/2016;0000;14;2.978967;6.17328;;7.761628;;34;;;;
82893;30/09/2016;0000;14;3.041514;6.68772;;6.644737;;15.5;;;;
82893;31/10/2016;0000;14;3.65824;8.23104;;6.412037;;10.4;;;;
82893;30/11/2016;0000;14;3.353387;9.77436;;7.083333;;3;;;;
82893;31/12/2016;0000;14;2.777976;6.68772;;6.902174;;0.8;;;;
82893;31/01/2017;0000;14;1.823729;6;107.9;7.525424;;4;;;;
82893;28/02/2017;0000;18;1.866071;5.3;85;7.25;;0.8;;;;
82893;31/03/2017;0000;;1.995;5.8;;;;2;;;;
82893;30/04/2017;0000;14;1.901818;5.3;155.2;8.072727;;50.9;;;;
82893;31/05/2017;0000;18;1.515254;5;124.4;8.288136;;340.5;;;;
82893;30/06/2017;0000;;1.207692;4.1;;;;144.5;;;;
82893;31/07/2017;0000;18;2.205556;5.6;22;9.592593;;339.7;;;;
82893;31/08/2017;0000;18;1.984483;5;28.6;8.448276;;145.2;;;;
82893;30/09/2017;0000;;;;;;;20.6;;;;
82893;31/10/2017;0000;14;2.963158;6.6;0.3;7.701754;;18.1;;;;
82893;30/11/2017;0000;9;3.330357;9.1;;6.327273;;4;;;;
82893;31/12/2017;0000;;3.7;8.3;;;;31.2;;;;
82893;31/01/2018;0000;14;2.22807;8.3;35.2;7.553571;;34;;;;
82893;28/02/2018;0000;;;;;;;0;;;;
82893;31/03/2018;0000;5;2.208621;6.6;33.3;7.017544;;42.6;;;;
82893;30/04/2018;0000;18;1.016667;5;;8.125;;105.7;25.3125;18.688;;
82893;31/05/2018;0000;14;1.257407;5.8;101.6;8.5;;141.1;24.927273;18.203704;;
82893;30/06/2018;0000;14;1.157692;5;117.5;7.673077;;54.5;24.6;16.969231;;
82893;31/07/2018;0000;18;1.153648;5;113;8.627358;;53.8;23.756522;16.169231;;
82893;31/08/2018;0000;14;2.301887;5.8;153.8;7.074074;;32.5;25.3;16.407407;;
82893;30/09/2018;0000;;;;;;;10.4;;;;
82893;31/10/2018;0000;14;3.096296;8.3;113.3;5.981481;;1.8;30;17.992593;;
82893;30/11/2018;0000;14;2.371154;5.8;120.1;7.384615;;3.9;29.590909;18.546154;;
82893;31/12/2018;0000;14;2.738462;7.3;135.6;6.846154;;37.5;29.6;18.192308;;
82893;31/01/2019;0000;14;1.305556;5;124;8.148148;;35.1;28.491304;18.377778;;
82893;28/02/2019;0000;;;5.1444;;;;6.2;;;;
82893;31/03/2019;0000;;;;;;;14.8;;;;
82893;30/04/2019;0000;14;1.461477;3.60108;;7.386364;;39;;;;
82893;31/05/2019;0000;14;1.154865;3.60108;;6.913265;;42.7;;;;
82893;30/06/2019;0000;;;4.11552;;;;25.8;;;;
82893;31/07/2019;0000;;1.528622;5.1444;;;;180.6;;;;
82893;31/08/2019;0000;14;1.368191;5.1444;;8.75;;125.3;;;;
82893;30/09/2019;0000;;;;;;;11.5;;;;
