Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83423,31/01/2016,0,0,0.9295680000000001,3.5,,8.927419,,484.8,29.790322999999997,21.003226,80.298387,-16.66,-49.25,Cerrado,728841000.0
83423,29/02/2016,0,0,0.9713639999999999,2.8,,7.474138000000001,,155.1,33.234483000000004,21.027586,68.922414,-16.66,-49.25,Cerrado,728841000.0
83423,31/03/2016,0,0,1.051384,2.8,,7.301075,,156.2,32.319355,21.222580999999998,67.854839,-16.66,-49.25,Cerrado,728841000.0
83423,30/04/2016,0,18,1.177541,3.2,,3.8777779999999997,,1.3,33.46,20.203332999999997,50.375,-16.66,-49.25,Cerrado,728841000.0
83423,31/05/2016,0,0,0.8153020000000001,3.6,,3.8360220000000003,,33.2,32.258065,18.922581,53.22580600000001,-16.66,-49.25,Cerrado,728841000.0
83423,30/06/2016,0,18,1.048937,2.5,,4.161111,,0.0,31.23,16.22,48.258333,-16.66,-49.25,Cerrado,728841000.0
83423,31/07/2016,0,0,0.9002370000000001,3.3,,1.798387,,0.0,32.43871,16.054839,40.66129,-16.66,-49.25,Cerrado,728841000.0
83423,31/08/2016,0,0,1.026629,3.3,,3.956989,,15.7,33.396774,17.925806,42.112903,-16.66,-49.25,Cerrado,728841000.0
83423,30/09/2016,0,18,1.297986,5.0,,4.461111,,26.5,35.673333,20.586667000000002,39.075,-16.66,-49.25,Cerrado,728841000.0
83423,31/10/2016,0,18,1.2759479999999999,3.1,,6.965053999999999,,209.2,33.335484,20.622581,55.58871,-16.66,-49.25,Cerrado,728841000.0
83423,30/11/2016,0,36,1.258058,3.6,,8.675,,110.4,30.473333,20.656667000000002,71.208333,-16.66,-49.25,Cerrado,728841000.0
83423,31/12/2016,0,36,1.199759,3.3,,7.5322580000000015,,169.6,31.787096999999996,20.777419000000002,67.354839,-16.66,-49.25,Cerrado,728841000.0
83423,31/01/2017,0,0,1.061515,3.6010800000000005,,7.513441,,176.1,31.53871,20.677419,66.69354799999999,-16.66,-49.25,Cerrado,728841000.0
83423,28/02/2017,0,18,1.07332,3.1,,7.791666999999999,,153.2,31.314286,20.453571,70.6875,-16.66,-49.25,Cerrado,728841000.0
83423,31/03/2017,0,0,0.8926860000000001,2.8,,7.591398,,215.5,32.2,20.567742000000006,68.91935500000001,-16.66,-49.25,Cerrado,728841000.0
