Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83446,31/01/2016,0,,,,155.1,7.772989,,340.1,31.060714,23.1,77.887097,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,29/02/2016,0,,,,270.9,4.1369050000000005,,0.0,34.2,22.548276,64.23214300000001,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/03/2016,0,,,,252.8,5.403226,,44.4,33.519355,22.583871,67.80645200000001,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/04/2016,0,,,,228.8,5.513889,,12.7,32.233333,21.51,70.791667,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/05/2016,0,,,,198.3,5.6392050000000005,,18.0,30.141934999999997,20.141935,72.508065,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/06/2016,0,,,,164.9,5.3088239999999995,,13.6,28.13,19.163332999999998,73.25,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/07/2016,0,,,,121.6,5.752841,,112.7,26.512903,18.606451999999997,80.983871,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/08/2016,0,,,,,6.502809,,48.4,27.096774,18.458064999999998,78.83870999999998,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/09/2016,0,,,,197.1,6.015625,,37.6,28.46,19.433332999999998,75.06666700000002,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/10/2016,0,,,,171.4,7.3419539999999985,,183.1,29.067742,21.054839,79.483871,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/11/2016,0,,,,142.9,8.092949,,236.5,28.76,21.13,82.466667,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/12/2016,0,,,,,6.632353,,124.5,30.741934999999998,21.974194,77.145161,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/01/2017,0,,,,245.6,5.569891999999999,,22.5,32.183871,21.554839,71.66129000000002,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,28/02/2017,0,,,,168.1,6.7380949999999995,,175.7,30.346428999999997,21.571429000000002,79.80357099999998,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/03/2017,0,,,,233.8,5.6162790000000005,,71.1,31.806452,22.003226,74.548387,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/04/2017,0,,,,179.4,6.261364,,82.2,29.733333000000002,21.4,81.2,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/05/2017,0,,,,144.4,6.989247,,86.1,27.390323,19.93871,82.016129,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/06/2017,0,,,,196.3,4.785714,,86.7,27.236666999999997,19.066667000000002,83.025,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/07/2017,0,,,,139.4,6.655172,,97.9,24.209677,17.229032,84.41935500000002,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/08/2017,0,,,,183.0,5.449438,,41.3,26.054839,16.877419,77.685484,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/09/2017,0,,,,148.3,7.015625,,71.1,25.756667,17.88,80.31666700000002,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/10/2017,0,,,,211.8,6.657609,,4.6,29.693548,19.732257999999998,72.604839,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/11/2017,0,,,,142.4,7.7647059999999986,,92.2,29.26,20.816667000000002,78.81666700000002,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/12/2017,0,,,,146.4,7.560241,,212.6,30.312903000000002,22.009677,79.685484,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/01/2018,0,,,,245.7,4.825581,,63.2,31.577419,21.86129,72.55645200000002,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,28/02/2018,0,,,,168.4,6.231061,,154.2,31.407142999999998,21.535714000000002,77.73214300000002,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/03/2018,0,,,,217.4,6.25,,86.5,31.845160999999997,22.570968,77.395161,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/04/2018,0,,,,150.2,6.938202,,143.6,28.79,20.676667000000002,82.333333,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/05/2018,0,,,,170.2,6.9166669999999995,,75.8,27.703226,19.690323,80.80645200000002,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/06/2018,0,,,,137.4,6.590909,,58.8,26.61,18.7,85.45,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/07/2018,0,,,,202.3,4.6875,,47.4,26.848387,17.23871,82.258065,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/08/2018,0,,,,180.2,6.03022,,8.4,28.293547999999998,18.345160999999997,75.104839,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/09/2018,0,,,,127.6,7.069444,,12.5,29.29,19.086667000000002,73.3,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/10/2018,0,,,,117.0,7.430556,,32.6,30.522581,20.822581,73.314516,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/11/2018,0,,,,127.9,8.101266,,215.9,29.19,21.38,80.975,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/12/2018,0,,,,157.8,6.947674,,194.9,30.477419,21.448387,78.395161,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/01/2019,0,,,,273.3,5.013441,,28.0,32.854839,21.851613,71.129032,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,28/02/2019,0,,,,236.8,4.985119,,9.2,35.621429,23.142857,66.125,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/03/2019,0,,,,190.3,5.366848,,64.2,33.522581,22.716129000000002,71.532258,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/04/2019,0,,,,210.0,5.383523,,200.1,31.826666999999997,22.293332999999997,79.216667,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/05/2019,0,,,,216.6,5.295699,,37.5,30.109677,21.048386999999998,80.008065,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/06/2019,0,,,,171.2,5.102941,,81.6,27.756666999999997,19.286667,79.3,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/07/2019,0,,,,162.8,4.9854650000000005,,59.0,26.251613,17.829032,79.798387,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,31/08/2019,0,,,,153.8,6.841398,,106.7,26.561290000000003,18.164516,80.733871,-16.73,-39.54,Mata Atlântica,2324317000.0
83446,30/09/2019,0,,,,182.5,7.0,,38.3,28.51,19.25,76.775,-16.73,-39.54,Mata Atlântica,2324317000.0
