Latitude  (graus) : -6.36
Longitude (graus) : -39.29
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82686;31/01/2016;0000;5;2.296774;6;170.3;6.537634;;147.2;32.206452;23.1;71.158333;
82686;29/02/2016;0000;14;2.473563;5.3;262.3;4.83908;;28.6;34.472414;22.472414;52.232143;
82686;31/03/2016;0000;14;2.091559;5.65884;234;5.61828;;363.3;33.951613;23.33871;63.951613;
82686;30/04/2016;0000;14;2.231167;6.17328;257.2;4.831461;;66.8;32.436667;22.944828;72.858333;
82686;31/05/2016;0000;14;1.989922;6.68772;269.7;4.497283;;66.7;32.96129;22.232258;65.669355;
82686;30/06/2016;0000;14;2.583632;7.20216;280.3;4.305556;;20.1;33.536667;21.483333;53.525;
82686;31/07/2016;0000;14;3.036855;7.20216;315.8;2.983871;;0.2;34.096774;21;54.903226;
82686;31/08/2016;0000;14;2.749212;7.20216;313.4;2.715054;;0;35.154839;21.2;42.645161;
82686;30/09/2016;0000;14;2.895893;7.7166;289.3;3.583333;;1.6;35.88;22.748276;43.258333;
82686;31/10/2016;0000;9;3.490448;8.74548;313.1;2.889785;;0;36.890323;23.319355;41.612903;
82686;30/11/2016;0000;5;3.534938;6.68772;284.1;3.017857;;0;37.043333;24.246667;46.158333;
82686;31/12/2016;0000;5;2.92448;7.7166;245.7;4.578804;;82.1;35.425806;23.580645;53.798387;
82686;31/01/2017;0000;14;2.305376;6.8;239.5;5.44086;;81.2;35.135484;23.403226;59.975806;
82686;28/02/2017;0000;5;2.220238;9.8;179.4;6.095238;;125.8;32.967857;22.857143;70.767857;
82686;31/03/2017;0000;14;1.515054;6.1;182.5;6.516129;;252;31.119355;22.516129;82.903226;
82686;30/04/2017;0000;14;1.805556;5.3;254.9;5.2;;125.5;31.716667;22.46;79.591667;
82686;31/05/2017;0000;14;2.080645;5.3;246;5.086022;;67;32.380645;22.093548;72.580645;
82686;30/06/2017;0000;14;3.136667;7.6;274.1;4.888889;;51.8;32.056667;21.41;63.8;
82686;31/07/2017;0000;18;3.925397;8.8;234.9;5.365079;;8.5;31.441935;20.416129;59.153226;
82686;31/08/2017;0000;14;3.409677;7.1;317.8;3.483871;;0;34.983871;21.467742;44.814516;
82686;30/09/2017;0000;14;4.268889;10.3;309.1;3.311111;;0;35.44;22.453333;42.716667;
82686;31/10/2017;0000;9;3.535484;8.6;319.2;3.569892;;16.4;36.803226;23.051613;36.258065;
82686;30/11/2017;0000;5;3.932394;9.6;266.9;3.929577;;1;36.69;23.643333;43.9;
82686;31/12/2017;0000;5;3.615054;7.1;255.3;4.731183;;24.3;36.377419;23.732258;43.604839;
82686;31/01/2018;0000;5;2.660938;6;210.4;6.671875;;117.8;34.706452;23.1;;
82686;28/02/2018;0000;5;2.053571;6;145.9;7.571429;;188.9;32.321429;22.675;;
82686;31/03/2018;0000;14;2.654839;5.1;224.9;6.66129;;138.2;32.812903;22.658065;;
82686;30/04/2018;0000;14;1.89;4;208.7;6.483333;;181.7;30.993333;21.78;;
82686;31/05/2018;0000;14;3.041935;6;275.4;5.193548;;17.6;31.632258;20.712903;;
82686;30/06/2018;0000;14;3.198333;6.5;279.2;3.983333;;2.2;32.73;20.473333;;
82686;31/08/2018;0000;14;3.196774;7;315.4;3;;54.1;34.625806;21.777419;;
82686;30/09/2018;0000;14;3.715;7;309.2;3.566667;;0;36.503333;22.596667;;
82686;31/10/2018;0000;14;3.135484;6.3;288.5;4.403226;;0;36.906452;23.787097;;
82686;30/11/2018;0000;14;2.948333;6.3;268.5;4.8;;73.4;36.983333;24.14;;
82686;31/12/2018;0000;14;2.320968;6;243.2;6.225806;;123.6;33.254839;23.122581;;
82686;31/01/2019;0000;14;1.978571;6;203.6;6.196429;;149.2;33.851852;23.062069;;
82686;28/02/2019;0000;14;1.838849;6.68772;;6.648936;;147.5;;23.208696;;
82686;31/03/2019;0000;14;1.902457;5.65884;;6.933962;;207.8;;22.97037;;
82686;30/04/2019;0000;14;1.704713;3.60108;;6.593137;;238.8;;23.207692;;
82686;31/05/2019;0000;14;1.838647;3.60108;;5.416667;;88.6;;22.52963;;
82686;30/06/2019;0000;14;2.91173;6.17328;;4.4;;11.5;;21.392;;
82686;31/08/2019;0000;14;3.48676;7.20216;;4.050926;;1.5;;21.537037;;
82686;30/09/2019;0000;14;3.354149;7.20216;;3.425;;0;;22.424;;
