Latitude  (graus) : -5.53
Longitude (graus) : -47.48
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82564;31/01/2016;0000;0;0.501075;1.6;96.9;8.021505;;250.7;31.525806;20.690323;88.637097;
82564;29/02/2016;0000;0;0.63908;3;193.9;6.149425;;127.6;34.475;21.306897;77.258621;
82564;31/03/2016;0000;0;0.653763;2.1;130.6;7.591398;;190.8;32.851613;21.719355;84.233871;
82564;30/04/2016;0000;0;0.541111;1.6;174.9;7.122222;;68.2;33.482759;21.466667;82.525;
82564;31/05/2016;0000;36;0.64697;1.6;;5.984848;;45.3;34.213636;21.213636;82.079545;
82564;30/06/2016;0000;0;0.584848;1.6;;4.166667;;35.6;34.495455;20.563636;79.545455;
82564;31/08/2016;0000;0;0.785294;2;;3.661765;;0.4;37.491304;20.982609;65.858696;
82564;30/09/2016;0000;0;0.604762;1.6;;5.492063;;91.3;36.704762;21.552381;71.083333;
82564;31/10/2016;0000;0;0.655;3.6;;5.352459;;18.9;35.552381;21.735;70.559524;
82564;30/11/2016;0000;0;0.643333;1.6;;5.9;;79.5;34.755;21.71;74.092105;
82564;31/12/2016;0000;0;0.569804;1.54332;;6.542308;;261.2;32.3;21.004762;80.784091;
82564;31/01/2017;0000;0;0.438462;1.8;;7.615385;;379.2;31.672727;20.954545;85.795455;
82564;28/02/2017;0000;0;0.393333;1.5;;8.066667;;363.3;31.795;21.635;87.3875;
82564;31/03/2017;0000;0;0.408696;1.6;;7.623188;;270;32.221739;21.673913;87.097826;
82564;30/04/2017;0000;0;0.52623;1.6;;6.639344;;168.6;33.055;21.97;84.4;
82564;31/05/2017;0000;0;0.461765;1.6;;5.264706;;23.1;33.865217;22.186957;80.23913;
82564;30/06/2017;0000;0;0.390909;1.6;;2.621212;;21.4;34.427273;19.35;74.5;
82564;31/07/2017;0000;;;;;;;13.2;;;;
82564;31/08/2017;0000;0;0.532353;1.6;;3.352941;;7.9;37.095652;20.1;66.065217;
82564;30/09/2017;0000;0;0.609375;1.8;;3.046875;;0;38.27619;20.961905;59.654762;
82564;31/10/2017;0000;0;0.424615;1.8;;5.923077;;49.1;36.65;22.154545;67.659091;
82564;30/11/2017;0000;0;;;;7.227273;;169.4;33.990909;21.240909;77.954545;
82564;31/12/2017;0000;0;;;;6.721311;;214.6;32.488235;21.155;82.275;
82564;31/01/2018;0000;0;;;;6.923077;;219.4;32.818182;19.954545;83.238636;
82564;28/02/2018;0000;;;;;;;358;30.544444;21.16875;90.972222;
82564;31/03/2018;0000;0;;;;7.828125;;224;32.261905;21.138095;86.511905;
82564;30/04/2018;0000;0;;;;6.66129;;296.8;32.409524;20.790476;85.738095;
82564;31/05/2018;0000;0;;;;4.671875;;64.9;33.495238;19.614286;77.892857;
82564;30/06/2018;0000;0;;;;2.873016;;13.8;34.57619;19.814286;72.964286;
82564;31/07/2018;0000;;;;;;;4.1;;;;
82564;31/08/2018;0000;0;;;;4.558824;;10.6;36.365217;21.447826;69.521739;
82564;30/09/2018;0000;0;;;;5.517241;;18.6;37.031579;21.657895;68.210526;
82564;31/10/2018;0000;0;;;;6.092308;;24;36.213636;21.322727;70.920455;
82564;30/11/2018;0000;0;;;;7.3;;315.1;33.89;20.905;80.302632;
82564;31/12/2018;0000;0;;;;6.383333;;155.3;;;83.05;
82564;31/01/2019;0000;0;;;;7;;193.4;;;85.863636;
82564;28/02/2019;0000;0;;;;7.25;;174.4;32.685;23.435;84.9875;
82564;31/03/2019;0000;0;;;;8.065574;;273.8;31.985;23.695;87.8125;
82564;30/04/2019;0000;0;;;;7.177419;;322;32.561905;23.904762;86.22619;
82564;31/05/2019;0000;0;;;;5.606061;;71.8;33.554545;23.859091;79.568182;
82564;30/06/2019;0000;9;;;;3.137931;;6.7;34.363158;22.805263;78.276316;
82564;31/07/2019;0000;;;;;;;3.4;;;;
82564;31/08/2019;0000;9;;;;3.666667;;0;36.06;22.17;73.4125;
82564;30/09/2019;0000;9;;;;3.951613;;2.8;36.514286;24.166667;72.440476;
