Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83881,31/01/2016,0,0.0,0.805405,5.0,231.6,5.747253,,52.9,33.766667,21.536667,69.091667,-27.18,-53.23,Mata Atlântica,182185000.0
83881,29/02/2016,0,,,,,,,40.5,,,,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/03/2016,0,0.0,0.629927,3.6010800000000005,,5.9545449999999995,,169.0,28.978946999999998,18.294118,82.328947,-27.18,-53.23,Mata Atlântica,182185000.0
83881,30/04/2016,0,0.0,0.700925,4.11552,176.7,5.632716,,125.8,29.468965999999998,18.385185,81.913793,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/05/2016,0,0.0,0.6722020000000001,3.6010800000000005,95.3,6.408451,,113.8,22.208333,12.711111,86.572917,-27.18,-53.23,Mata Atlântica,182185000.0
83881,30/06/2016,0,0.0,0.381395,1.54332,,5.558511,,41.1,18.6,8.712,90.586957,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/07/2016,0,0.0,0.726268,5.1444,154.1,4.6875,,108.9,22.513333,9.836667,83.7,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/08/2016,0,0.0,0.638901,5.1444,150.1,5.172414,,149.4,24.437037,11.703704,85.15740699999998,-27.18,-53.23,Mata Atlântica,182185000.0
83881,30/09/2016,0,0.0,0.658483,3.08664,173.9,3.75,,78.9,25.784000000000002,10.687999999999999,78.68,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/10/2016,0,0.0,0.811232,5.1444,140.6,6.9,,224.5,26.969231,15.784614999999999,82.076923,-27.18,-53.23,Mata Atlântica,182185000.0
83881,30/11/2016,0,0.0,1.090861,6.17328,219.9,4.638554,,77.1,30.186207,16.313333,69.63793100000001,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/12/2016,0,0.0,0.77166,4.11552,,5.15625,,73.9,,19.384210999999997,,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/01/2017,0,,,2.05776,,,,45.1,,,,-27.18,-53.23,Mata Atlântica,182185000.0
83881,28/02/2017,0,0.0,0.43010600000000004,2.0,152.5,6.6666669999999995,,225.5,32.342857,21.007143,79.74107099999998,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/03/2017,0,0.0,0.641538,2.8,,6.4,,182.5,30.19,19.245455,80.952381,-27.18,-53.23,Mata Atlântica,182185000.0
83881,30/04/2017,0,0.0,0.268085,1.2,,6.0,,12.0,25.9875,17.0375,82.0625,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/05/2017,0,0.0,0.4814810000000001,4.8,,7.574074,,143.5,25.2625,16.052632,87.578125,-27.18,-53.23,Mata Atlântica,182185000.0
83881,30/06/2017,0,0.0,0.580996,3.08664,,5.7012199999999975,,27.2,,12.48,,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/07/2017,0,0.0,0.402817,2.8,,2.73913,,3.1,24.086957,9.264,75.88043499999998,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/08/2017,0,0.0,0.720833,6.0,,4.057143,,229.2,25.604167,13.496552,75.9375,-27.18,-53.23,Mata Atlântica,182185000.0
83881,30/09/2017,0,0.0,0.564368,5.8,147.3,5.0689660000000005,,108.4,29.735714,16.566667000000002,73.92857099999998,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/10/2017,0,0.0,0.775,5.0,,6.753846,,377.0,27.426087,16.423077,78.673913,-27.18,-53.23,Mata Atlântica,182185000.0
83881,30/11/2017,0,0.0,0.867532,8.0,162.1,4.461538,,174.8,29.648000000000003,15.6,73.85,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/12/2017,0,0.0,0.742188,4.5,,4.609375,,18.9,34.466667,19.775,65.014706,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/01/2018,0,0.0,0.831169,5.1,89.8,5.819277,,365.3,32.02963,20.513333,77.625,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/03/2018,0,,0.408333,5.0,,,,97.1,,,,-27.18,-53.23,Mata Atlântica,182185000.0
83881,30/04/2018,0,,,,,,,0.0,,,,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/05/2018,0,0.0,0.22894699999999998,2.6,,5.24359,,53.4,23.826667,13.552941,,-27.18,-53.23,Mata Atlântica,182185000.0
83881,30/06/2018,0,,,,,,,37.7,,,,-27.18,-53.23,Mata Atlântica,182185000.0
83881,31/07/2018,0,,,,,,,0.5,,,,-27.18,-53.23,Mata Atlântica,182185000.0
