Latitude  (graus) : -11.3
Longitude (graus) : -41.86
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83182;31/01/2016;0000;9;;;136.1;8.400735;;330.7;29.419355;18.1;;
83182;29/02/2016;0000;14;;;271.9;4.676724;;1.4;31.848276;17.441379;;
83182;31/03/2016;0000;14;;;279.3;4.032258;;9.2;33.183871;17.964516;;
83182;30/04/2016;0000;14;;;246.7;4.625;;1.2;32.223333;17.783333;;
83182;31/05/2016;0000;14;;;263;4.637097;;11.1;30.951613;17.674194;;
83182;30/06/2016;0000;9;;;268.2;3.791667;;0.8;30.096667;17.01;;
83182;31/07/2016;0000;;;;;;;0;;;;
83182;31/08/2016;0000;9;;;287.9;4.475806;;7.6;30.722581;17.187097;;
83182;30/09/2016;0000;9;;;249.3;4.791667;;10.1;31.166667;17.71;;
83182;31/10/2016;0000;9;;;283.4;4.455645;;46.1;32.812903;18.151613;;
83182;30/11/2016;0000;9;;;207.7;6.0625;;49.7;32.093333;18.946667;;
83182;31/12/2016;0000;9;;;255;7.18254;;24.8;33.512903;19.164516;;
83182;31/01/2017;0000;9;;;284.6;5;;21.3;34.245161;18.606452;;
83182;28/02/2017;0000;9;;;199;7.428571;;63.3;32.785714;18.439286;;
83182;31/03/2017;0000;14;;;236.5;5.806452;;66;33.343333;18.880645;;
83182;30/04/2017;0000;14;;;250.2;4.816667;;41.1;30.717241;18.533333;;
83182;31/05/2017;0000;14;;;260.3;5.241935;;0;30.703226;17.993548;;
83182;30/06/2017;0000;14;;;256.2;5.133333;;1.2;29.7;17.26;;
83182;31/07/2017;0000;14;;;246.4;6.459677;;1.4;26.767742;14.687097;;
83182;31/08/2017;0000;;;;;;;0;;;;
83182;30/09/2017;0000;9;;;251.6;6.35;;0.4;29.366667;16.563333;;
83182;31/10/2017;0000;9;;;314.4;3.548387;;0;33.348387;18.529032;;
83182;30/11/2017;0000;9;;;205;6.1875;;69;31.283333;19.386667;;
83182;31/12/2017;0000;9;;;223;6.754032;;97.2;32.209677;19.409677;;
83182;31/01/2018;0000;9;;;253.2;5.967742;;5.8;33.325806;19.219355;;
83182;28/02/2018;0000;9;;;174.2;7.321429;;97.5;31.107143;19.575;;
83182;31/03/2018;0000;14;;;213.5;7.03629;;78.1;30.680645;19.522581;;
83182;30/04/2018;0000;14;;;210.3;7.0625;;6;30.28;18.833333;;
83182;31/05/2018;0000;14;;;244.9;5.16129;;2.9;30.064516;18.364516;;
83182;30/06/2018;0000;9;;;233.2;5.729167;;0;28.98;17.206667;;
83182;31/07/2018;0000;;;;;;;0;;;;
83182;31/08/2018;0000;14;;;270.9;4.610656;;1.1;30.529032;17.2;;
83182;30/09/2018;0000;9;;;280.6;3.75;;0;32.583333;18.533333;;
83182;31/10/2018;0000;9;;;256.3;4.918033;;6.1;33.806667;20.009677;;
83182;30/11/2018;0000;9;;;209.7;7.479167;;31.4;32.323333;19.71;;
83182;31/12/2018;0000;5;;;219.1;7.842742;;198.6;30.819355;19.512903;;
83182;31/01/2019;0000;14;;;257.1;5.826613;;18.4;32.441935;20.032258;;
83182;28/02/2019;0000;9;;;199.3;7.03125;;61.4;32.896429;20.589286;;
83182;31/03/2019;0000;9;;;240.6;6.451613;;139;32.935484;19.880645;;
83182;30/04/2019;0000;9;;;243.3;7.727273;;109.7;31.425;20.474074;;
83182;31/05/2019;0000;14;;;249.4;6.189516;;2.1;31.835484;20.303226;;
83182;30/06/2019;0000;14;;;236.7;6.416667;;1.3;29.473333;18.116667;;
83182;31/07/2019;0000;;;;;;;13.2;;;;
83182;31/08/2019;0000;14;;;275.5;7.379032;;4.5;29.351613;17.774194;;
83182;30/09/2019;0000;14;;;284.1;5.625;;0.2;32.18;18.866667;;
