Latitude  (graus) : -3.13
Longitude (graus) : -58.43
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82336;31/01/2016;0000;0;1.258865;3.08664;164.2;5.970588;;187.4;33.262069;25.193333;75.362069;
82336;29/02/2016;0000;0;1.369846;3.08664;161.9;7.281977;;402.4;31.746429;24.713793;81.419643;
82336;31/03/2016;0000;0;1.12394;3.08664;101;8.220109;;628.9;31.473333;24.316129;84.458333;
82336;30/04/2016;0000;0;1.120336;4.11552;138.7;7.680556;;353.2;31.673333;24.6;84.383333;
82336;31/05/2016;0000;0;0.907185;3.08664;158.4;6.922043;;308.3;32.093548;24.609677;83.395161;
82336;30/06/2016;0000;0;1.006016;5.1444;226;5.555556;;96.7;32.776667;24.236667;79.1;
82336;31/07/2016;0000;0;1.231758;3.08664;235.7;3.663194;;132.7;33.123333;23.873333;77.233333;
82336;31/08/2016;0000;0;1.130637;3.08664;254.9;3.96978;;79.3;33.758065;24.326667;75.112903;
82336;30/09/2016;0000;0;1.236968;4.11552;198.9;6.039326;;73.2;33.751724;24.39;76.224138;
82336;31/10/2016;0000;0;1.316524;4.11552;215.7;6.102151;;143.2;33.393548;24.370968;75.362903;
82336;30/11/2016;0000;0;1.087339;4.11552;182.8;6.09375;;115.8;33.303448;24.303448;77.224138;
82336;31/12/2016;0000;0;1.29458;3.08664;118.3;7.815934;;467.4;31.53871;23.675;82.201613;
82336;31/01/2017;0000;0;0.952381;3;143.1;6.968254;;326.5;30.993548;23.177419;85.669355;
82336;28/02/2017;0000;0;0.918299;3.08664;100;7.979167;;377.5;30.525;23.560714;83.866071;
82336;31/03/2017;0000;0;0.718807;3.08664;127.9;7.44863;;584.9;30.787097;23.793333;84.524194;
82336;30/04/2017;0000;0;1.145798;3.08664;121.7;7.585227;;386.9;30.896667;23.986667;85.266667;
82336;31/05/2017;0000;0;1.194828;3.08664;209.3;5.362903;;144;32.258065;24.932258;79.298387;
82336;30/06/2017;0000;0;1.161825;4.62996;211.3;4.873596;;166.7;32.356667;24.586667;78.291667;
82336;31/07/2017;0000;0;1.166064;3.08664;232.2;4.739011;;181.1;32.28;23.945161;75.416667;
82336;31/08/2017;0000;0;1.221088;3.08664;253.9;3.434066;;14;34.723333;24.743333;70.266667;
82336;30/09/2017;0000;0;1.342274;3.08664;180;6.393678;;85.7;33.472414;24.537931;75.086207;
82336;31/10/2017;0000;0;1.074105;3.08664;204.5;6.098901;;270.4;32.948387;23.763333;76.5;
82336;30/11/2017;0000;0;1.083999;3.08664;138.5;6.918605;;40.6;32.796429;24.562069;78.294643;
82336;31/12/2017;0000;0;1.040572;3.08664;130.3;7.794944;;253.2;31.415385;23.809677;81.357143;
82336;31/01/2018;0000;0;0.868645;4.62996;142.5;6.577869;;241.5;30.82;23.586667;85.3;
82336;28/02/2018;0000;0;0.8574;4.11552;104.4;7.842262;;225.4;30.832143;23.453571;83.151786;
82336;31/03/2018;0000;0;1.023164;4.11552;122.8;7.569444;;285.6;31.036667;23.593103;81.616667;
82336;30/04/2018;0000;0;0.901715;3.08664;111;7.696629;;513.2;30.644444;23.13;84.214286;
82336;31/05/2018;0000;0;0.928229;3.08664;123.9;7.690217;;227.9;30.833333;23.33871;85.185484;
82336;30/06/2018;0000;0;0.957098;3.08664;175.6;5.377907;;302.1;31.469231;23.273333;80.101852;
82336;31/07/2018;0000;0;0.637616;3.08664;197.7;4.911972;;100.6;32.082759;23.23871;79.836207;
82336;31/08/2018;0000;0;1.229926;3.08664;208.2;4.034091;;25;32.825926;23.887097;72.148148;
82336;30/09/2018;0000;0;1.309484;5.1444;238.7;4.815341;;85.8;33.934483;24.058621;72.974138;
82336;31/10/2018;0000;5;1.459444;4.11552;240.6;5.230978;;52.9;34.99;24.664516;68.275;
82336;30/11/2018;0000;0;1.241752;5.1444;127.1;6.832386;;164.9;32.572414;24.023333;77.353448;
82336;31/12/2018;0000;0;1.108904;4.11552;110.5;7.375;;231.6;30.783871;22.796552;82.766129;
82336;31/01/2019;0000;0;0.909091;3;159.6;6.515152;;366.9;30.796774;22.816129;85.55;
82336;28/02/2019;0000;0;1.151899;5;75.4;8.240506;;424;30.35;23.039286;86.366071;
82336;31/03/2019;0000;9;1.311828;3;182.5;6.731183;;239.9;31.974194;23.683333;78.330645;
82336;30/04/2019;0000;0;1.077778;3;137.8;7.4;;380.8;31.52;23.516667;81.558333;
82336;31/05/2019;0000;0;0.784946;3;137.2;7.419355;;447;31.164516;23.187097;84.725806;
82336;30/06/2019;0000;0;0.811111;3;196.6;5.855556;;158.5;32.113333;23.386667;80.75;
82336;31/07/2019;0000;0;1.172043;3;247;4.602151;;83.9;32.877419;23.506667;75.040323;
82336;31/08/2019;0000;0;1.182796;3;271.3;4.548387;;40.6;33.536667;23.632258;72.379032;
82336;30/09/2019;0000;0;1.103684;3.08664;229.7;3.783088;;59.7;34.448276;24.113333;72.241379;
