Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
82445,31/01/2016,0,0,0.813978,3.5,116.7,7.688172,,95.5,,25.496667000000002,78.967742,-4.28,-55.98,Amazônia,62040947000.0
82445,29/02/2016,0,0,1.111494,4.1,155.7,7.229885,,226.0,,25.189286,80.405172,-4.28,-55.98,Amazônia,62040947000.0
82445,31/03/2016,0,0,0.683871,6.9,118.0,8.709677000000001,,466.4,32.712903000000004,24.854839000000002,86.733871,-4.28,-55.98,Amazônia,62040947000.0
82445,30/04/2016,0,0,0.74,3.6,140.0,7.811111,,223.8,32.903333,25.25,85.591667,-4.28,-55.98,Amazônia,62040947000.0
82445,31/05/2016,0,0,0.701075,3.5,184.6,6.978495,,192.6,34.048387,24.741935,84.596774,-4.28,-55.98,Amazônia,62040947000.0
82445,30/06/2016,0,0,0.506667,4.5,225.9,5.866667,,157.1,34.406667,23.853333,83.658333,-4.28,-55.98,Amazônia,62040947000.0
82445,31/07/2016,0,0,0.7236560000000001,3.0,257.9,5.827957,,56.1,35.4,23.845160999999997,78.298387,-4.28,-55.98,Amazônia,62040947000.0
82445,31/08/2016,0,0,1.03871,3.5,266.3,4.688172,,41.2,36.103226,24.570968,75.467742,-4.28,-55.98,Amazônia,62040947000.0
82445,30/09/2016,0,9,1.008889,3.6,218.9,7.188889,,112.1,35.053333,24.5,76.9,-4.28,-55.98,Amazônia,62040947000.0
82445,31/10/2016,0,9,1.224731,5.6,194.4,7.5698919999999985,,140.3,35.012903,24.764516,76.983871,-4.28,-55.98,Amazônia,62040947000.0
82445,30/11/2016,0,0,1.0144440000000001,4.0,193.4,7.322222,,122.8,35.476667,25.02,77.8,-4.28,-55.98,Amazônia,62040947000.0
82445,31/12/2016,0,0,0.829032,4.0,126.5,8.16129,,391.8,32.777419,24.36129,83.459677,-4.28,-55.98,Amazônia,62040947000.0
