Latitude  (graus) : -4.28
Longitude (graus) : -55.98
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82445;31/01/2016;0000;0;0.813978;3.5;116.7;7.688172;;95.5;;25.496667;78.967742;
82445;29/02/2016;0000;0;1.111494;4.1;155.7;7.229885;;226;;25.189286;80.405172;
82445;31/03/2016;0000;0;0.683871;6.9;118;8.709677;;466.4;32.712903;24.854839;86.733871;
82445;30/04/2016;0000;0;0.74;3.6;140;7.811111;;223.8;32.903333;25.25;85.591667;
82445;31/05/2016;0000;0;0.701075;3.5;184.6;6.978495;;192.6;34.048387;24.741935;84.596774;
82445;30/06/2016;0000;0;0.506667;4.5;225.9;5.866667;;157.1;34.406667;23.853333;83.658333;
82445;31/07/2016;0000;0;0.723656;3;257.9;5.827957;;56.1;35.4;23.845161;78.298387;
82445;31/08/2016;0000;0;1.03871;3.5;266.3;4.688172;;41.2;36.103226;24.570968;75.467742;
82445;30/09/2016;0000;9;1.008889;3.6;218.9;7.188889;;112.1;35.053333;24.5;76.9;
82445;31/10/2016;0000;9;1.224731;5.6;194.4;7.569892;;140.3;35.012903;24.764516;76.983871;
82445;30/11/2016;0000;0;1.014444;4;193.4;7.322222;;122.8;35.476667;25.02;77.8;
82445;31/12/2016;0000;0;0.829032;4;126.5;8.16129;;391.8;32.777419;24.36129;83.459677;
82445;31/01/2017;0000;0;1.073118;3.5;142.1;8.021505;;338.8;32.164516;23.9;83.112903;
82445;28/02/2017;0000;0;0.785714;5.2;91.5;8.72619;;399;31.625;23.842857;85.633929;
82445;31/03/2017;0000;0;0.769892;3;143.1;8.462366;;394.1;32.287097;24.119355;85.370968;
82445;30/04/2017;0000;0;0.716667;5;138.6;8.211111;;473.6;32.54;24.44;86.308333;
82445;31/05/2017;0000;0;0.745161;3;223.6;6.935484;;152;34.47;24.935484;81.112903;
82445;30/06/2017;0000;0;0.494444;3;250.6;5.433333;;108.2;34.989655;24.333333;79.516667;
82445;31/07/2017;0000;0;0.74086;3.6;273.8;4.043011;;17.8;36.27037;23.348387;73.548387;
82445;31/08/2017;0000;5;0.974194;3;269.1;4.72043;;80.9;37.074194;24.509677;71.782258;
82445;30/09/2017;0000;5;1.226667;4;239.7;6.422222;;34.8;36.52;24.916667;71.641667;
82445;31/10/2017;0000;5;1.38172;8;209.8;6.870968;;109.6;36;25.280645;72.717742;
82445;30/11/2017;0000;9;1.196667;4;160.1;8.066667;;87.2;34.796667;24.993333;76.483333;
82445;31/12/2017;0000;0;0.955914;3;131.4;8.268817;;274.2;32.219355;24.464516;83.120968;
82445;31/01/2018;0000;0;0.750538;3.6;138.2;7.634409;;214.1;31.490323;24.029032;85.959677;
82445;28/02/2018;0000;0;0.684524;3;87.9;8.785714;;427;30.710714;23.75;89.285714;
82445;31/03/2018;0000;0;0.912903;4;165.4;7.956989;;347;32.129032;24.393548;84.943548;
82445;30/04/2018;0000;0;0.63;8;119.4;8.588889;;380;31.276667;23.886667;87.658333;
82445;31/05/2018;0000;0;0.517204;8;169.5;7.72043;;368;32.103226;23.977419;86.822581;
82445;30/06/2018;0000;0;0.465556;3.5;214.8;5.7;;71.8;33.333333;23.816667;84.158333;
82445;31/07/2018;0000;0;0.634265;6.5;240.5;6.634409;;141.4;33.629032;23.490323;83.991935;
82445;31/08/2018;0000;0;1.060215;9;259.1;5.870968;;37.6;34.567742;24.019355;78.08871;
82445;30/09/2018;0000;5;1.151111;3.5;241.4;6.288889;;68.8;35.24;24.673333;77.116667;
82445;31/10/2018;0000;9;1.208602;4;262.1;5.698925;;81;36.536667;25.158065;75.854839;
82445;30/11/2018;0000;0;0.948889;3.5;159.1;7.377778;;162.2;33.489655;25.136667;81.833333;
82445;31/12/2018;0000;0;0.719355;3;120.2;7.956989;;291.9;31.190323;23.851613;87.572581;
82445;31/01/2019;0000;0;0.889247;4;142.6;7.784946;;274.4;31.63871;23.977419;86.645161;
82445;28/02/2019;0000;0;0.646429;3;102.9;8.940476;;319.3;31.607143;24.285714;88.571429;
82445;31/03/2019;0000;0;1.194624;4;169.7;8.387097;;268.2;32.545161;24.309677;84.33871;
82445;30/04/2019;0000;0;0.725556;3.6;172.1;8.222222;;240.7;33.07;24.623333;85.125;
82445;31/05/2019;0000;0;0.476344;3;157.7;7.924731;;319.1;32.754839;24.293548;87.258065;
82445;30/06/2019;0000;0;0.595556;5;234.7;6.4;;133.9;34.466667;24.45;85.075;
82445;31/07/2019;0000;0;0.604301;4.5;243.3;5.784946;;96.5;34.003226;24.032258;80.5;
82445;31/08/2019;0000;0;0.646237;3;257.7;5.043011;;61.7;35.080645;24.006452;76.903226;
82445;30/09/2019;0000;9;1.045556;3;259;6.822222;;35.8;35.636667;25.236667;73.625;
