Latitude  (graus) : -17.85
Longitude (graus) : -42.85
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83488;31/01/2016;0000;14;1.806452;4;;8.053763;;476.2;27.329032;19.406452;79.451613;
83488;29/02/2016;0000;14;1.83908;4;;4.781609;;27.7;30.793103;18.031034;66.732759;
83488;31/03/2016;0000;14;2.021505;5;;4.967742;;57.5;29.258065;18.619355;72.451613;
83488;30/04/2016;0000;14;1.977778;5;;3.622222;;28.2;29.07;16.743333;67.933333;
83488;31/05/2016;0000;14;1.774194;5;;4.387097;;19.6;26.43871;15.003226;76.572581;
83488;30/06/2016;0000;14;1.77381;5;;4.630952;;2.9;25.496429;12.775;73.5;
83488;31/07/2016;0000;14;2.012658;5;;3.202532;;4.3;25.553846;11.923077;70.105769;
83488;31/08/2016;0000;14;2.151083;5;;4.70625;;1.1;27.103704;13.488889;63.555556;
83488;30/09/2016;0000;;;;;;;22.8;;;;
83488;31/10/2016;0000;14;2.217949;5;;4.294872;;42.5;29.353846;17.180769;64.125;
83488;30/11/2016;0000;14;2.038462;5;;6.769231;;345.8;27.538462;18.015385;75.076923;
83488;31/12/2016;0000;14;1.987654;5;;6.382716;;194;28.32963;17.755556;78.185185;
83488;31/01/2017;0000;14;2.038832;5;;4.794872;;37.3;29.842308;17.676923;67.019231;
83488;28/02/2017;0000;14;2.166667;4;;7.430556;;151.5;27.070833;18.720833;79.65625;
83488;31/03/2017;0000;14;1.938272;4;;5.345679;;98.7;27.822222;17.944444;75.25;
83488;30/04/2017;0000;14;1.881579;5;;4.513158;;5.6;26.88;17.208;76.52;
83488;31/05/2017;0000;14;1.9;5;;5.775;;74.6;24.733333;15.611111;79.888889;
83488;30/06/2017;0000;14;1.910256;5;;4.192308;;3.8;24.330769;13.123077;77.528846;
83488;31/07/2017;0000;14;2.307692;5;;5.333333;;5.7;20.926923;10.748;75.961538;
83488;31/08/2017;0000;14;2.001426;5;;3.052469;;0.5;25.166667;10.359259;65.166667;
83488;30/09/2017;0000;14;2.650101;5;;4.285714;;5.4;25.553846;13.776923;61.865385;
83488;31/10/2017;0000;14;2.449458;5;;4.089744;;22;29.688462;16.026923;56.182692;
83488;30/11/2017;0000;;;;;;;42.6;;;;
83488;31/12/2017;0000;14;2.013024;4;;6.772152;;203;27.023077;17.653846;79.201923;
83488;31/01/2018;0000;14;2.15;5;;5.0125;;116.8;29.544444;17.581481;70.175926;
83488;28/02/2018;0000;14;1.890092;5;;6.732639;;355.6;28;18.141667;79.552083;
83488;31/03/2018;0000;14;1.75;3;;5.8;;93.2;28.792593;18.373077;78.277778;
83488;30/04/2018;0000;14;2.226667;5;;7.08;;34.1;25.136;17.112;81.82;
83488;31/05/2018;0000;14;2.197531;5;;5.061728;;8.8;24.7;14.074074;78.111111;
83488;30/06/2018;0000;14;1.858974;4;;4.371795;;2.9;24.880769;12.269231;77.644231;
83488;31/07/2018;0000;14;1.928205;5;;2.935897;;2.9;25.011538;10.984615;71.240385;
83488;31/08/2018;0000;14;2.185185;5;;5.098765;;26.5;25.618519;13.825926;71.777778;
83488;30/09/2018;0000;14;2.176456;5;;3.861486;;6.6;28.228;14.676;62.635417;
83488;31/10/2018;0000;14;2.375;5;;5.875;;108.8;28.911111;17.840741;67.12037;
83488;30/11/2018;0000;14;2.333333;5;;7.346154;;102.1;26.384615;17.815385;75.451923;
83488;31/12/2018;0000;;1.85;4;;;;106.3;;;;
83488;31/01/2019;0000;14;2.115625;4;;3.578125;;9.7;29.485714;17.636364;67.345238;
83488;28/02/2019;0000;14;1.736111;5;;5.736111;;159.7;30.541667;18.420833;75.114583;
83488;31/03/2019;0000;14;2.075949;5;;5.556962;;58.7;29.369231;19.111538;74.192308;
83488;30/04/2019;0000;14;1.805195;4;;4.987013;;20.6;29.242308;17.815385;76.105769;
83488;31/05/2019;0000;14;1.864198;4;;4.345679;;2.6;28.218519;15.874074;73.5;
83488;30/06/2019;0000;;;;;;;0.6;;;;
83488;31/07/2019;0000;14;2.337838;5;;3.405405;;1.4;25.264;11.5;66.44;
83488;31/08/2019;0000;14;2.506173;5;;4.395062;;23.2;25.114815;12.337037;69.564815;
83488;30/09/2019;0000;14;2.487179;7;;3.705128;;20.3;29.157692;14.065385;61.528846;
