Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
83695,31/01/2016,0,0.0,0.580645,4.0,173.0,6.258065,,168.5,32.235484,22.903226,75.903226,"-21.2
","-41.9
"
83695,29/02/2016,0,0.0,0.103448,3.0,260.1,4.2068970000000006,,100.9,35.286207,23.234482999999997,68.25,"-21.2
","-41.9
"
83695,31/03/2016,0,0.0,0.47311800000000004,4.0,217.7,4.956989,,143.1,33.158065,23.016129,74.16129000000001,"-21.2
","-41.9
"
83695,30/04/2016,0,0.0,0.280488,3.0,247.5,2.7111110000000003,,29.3,34.19,21.653333,66.025,"-21.2
","-41.9
"
83695,31/05/2016,0,,,,185.8,4.3763440000000005,,23.7,29.522581,18.448387,73.467742,"-21.2
","-41.9
"
83695,30/06/2016,0,,,,121.3,5.7,,66.0,25.576667,16.39,81.30833299999999,"-21.2
","-41.9
"
83695,31/07/2016,0,,,,199.4,3.8064519999999997,,0.3,28.341935,16.654839000000003,70.375,"-21.2
","-41.9
"
83695,31/08/2016,0,,,,248.3,2.7956990000000004,,6.3,30.887096999999997,16.854839000000002,64.08064499999999,"-21.2
","-41.9
"
83695,30/09/2016,0,,,,209.6,4.235632,,77.9,32.1,19.368966,64.740741,"-21.2
","-41.9
"
83695,31/10/2016,0,,,,172.3,6.206395,,31.5,30.62,20.403448,70.689655,"-21.2
","-41.9
"
83695,30/11/2016,0,,,,170.4,6.123596,,174.6,31.020690000000002,20.946667,73.25,"-21.2
","-41.9
"
83695,31/12/2016,0,,,,174.2,5.9375,,176.0,32.15,22.370967999999998,75.69166700000001,"-21.2
","-41.9
"
83695,31/01/2017,0,,,,265.8,2.809524,,107.2,35.006452,23.235484,,"-21.2
","-41.9
"
83695,28/02/2017,0,,,,215.5,4.818182,,140.6,33.578571000000004,22.671429,,"-21.2
","-41.9
"
83695,31/03/2017,0,,,,244.4,3.791209,,59.1,33.254839000000004,21.9,69.75,"-21.2
","-41.9
"
83695,30/04/2017,0,,,,189.9,4.855556,,64.6,31.36,20.703332999999997,71.283333,"-21.2
","-41.9
"
83695,31/05/2017,0,,,,187.7,4.903226,,64.0,28.441934999999997,18.196773999999998,75.064516,"-21.2
","-41.9
"
83695,30/06/2017,0,,,,194.1,4.0777779999999995,,52.7,28.476667,17.436667,76.44166700000001,"-21.2
","-41.9
"
83695,31/07/2017,0,,,,169.6,5.688172,,25.5,25.693548,15.416129000000002,77.879032,"-21.2
","-41.9
"
83695,31/08/2017,0,,,,203.5,4.397849,,6.6,28.390323,15.825806,65.467742,"-21.2
","-41.9
"
83695,30/09/2017,0,,,,257.2,1.7222220000000001,,0.0,31.51,17.053333,61.333332999999996,"-21.2
","-41.9
"
83695,31/10/2017,0,,,,209.0,4.44086,,15.0,33.754839000000004,21.219355,61.92741899999999,"-21.2
","-41.9
"
83695,30/11/2017,0,,,,138.4,6.7444440000000005,,214.2,30.71,21.133333,70.716667,"-21.2
","-41.9
"
